,x1,x2,x3
3360,-0.839113,-0.35994506,-1.4033352
2970,-0.17796326,-1.0908656,-1.139401
3404,0.4178892,-0.67261016,-0.3878459
2868,-2.0588,-2.6655488,-4.947712
3006,-0.29047084,-1.4035822,-1.6847736
3464,-0.98829615,-1.7609336,-2.6542199
3656,-0.32776323,-0.5424847,-0.911363
3158,-0.9055584,-0.21245736,-1.0637293
3994,-0.6492161,-0.2784651,-0.8177063
3688,-1.7934927,-1.2610509,-2.9980428
2076,-1.3578727,-0.39577955,-1.6549397
2483,-1.0032467,-1.6026204,-2.6615055
2665,-2.3872335,-3.2062898,-5.561613
2643,-0.30075842,-0.5513017,-1.0631101
3314,-0.08232207,0.060016446,-0.069287166
2980,-0.06523378,-1.2087138,-1.2497764
3481,-0.12483233,0.029122397,-0.040717516
3175,0.11647621,-1.9302644,-1.845666
3520,-0.50171655,-0.6916969,-1.3203866
2730,0.17315122,-0.43025753,-0.3359576
3093,0.49059168,-0.7146504,-0.23518184
2847,-1.2038119,-0.62257785,-1.908609
3931,-1.6973591,-1.4397248,-3.0175195
3936,-1.3785359,-1.736935,-3.0624998
2231,-0.08872662,-1.7586198,-1.8214601
3398,0.15602542,-1.9212849,-1.780126
3253,-0.81078994,-1.4080782,-2.3553178
3289,-0.67632973,-1.3812106,-2.0942183
3417,-1.6121475,-4.3912725,-6.2061605
2826,-1.0015582,-2.8244948,-3.927513
2024,-0.1290104,-0.041350044,-0.225459
2940,-0.61545855,-0.8558858,-1.6342586
2296,-0.7693091,0.18427616,-0.585397
2317,-1.5554146,-2.7425494,-4.366549
3271,-0.9003199,-0.28827953,-1.2017322
3905,-0.19436103,-0.53691965,-0.7112862
2461,0.22993337,-1.115182,-1.0102259
3476,1.0442505,-1.0795746,0.06364018
2896,0.83074254,-1.0660203,-0.28386074
3040,-1.1842037,-0.85242605,-2.09856
3750,0.8283432,-1.0729733,-0.002906233
3181,-0.19903468,0.04765913,-0.11406435
2734,-0.37885746,0.3493422,-0.027086146
3079,-1.7820653,-0.92418355,-2.6315234
2943,-1.0597825,-0.5728481,-1.6382452
3803,-1.9182069,-0.7805922,-2.75393
2297,-1.5053545,0.10222185,-1.29811
2213,-0.6508823,-1.6616843,-2.3747609
2467,-1.3461655,0.11875844,-1.1613759
3458,-0.8670173,-2.623806,-3.3614178
3808,-0.16615508,-0.12422161,-0.2928891
3559,-0.38855815,-1.4265592,-1.7256026
3248,-0.8529478,-1.0579687,-1.7408481
2820,0.03675462,-0.8576632,-0.8631943
2895,-0.02890428,-0.6090286,-0.694981
3255,-0.7620855,-2.364098,-2.9488158
3896,-0.37995437,0.0068576336,-0.35350955
3883,-0.8185389,-1.969355,-2.8716114
2199,-0.7764208,-2.472935,-3.1093595
2304,-0.9526334,0.27164292,-0.47749603
3802,-0.45450574,-0.62316203,-1.048187
2182,-0.17759804,0.042994946,-0.27769583
2014,-1.7398036,-0.7226454,-2.2891319
3533,-0.9398827,-0.42340577,-1.2350725
2200,-0.6903982,0.69510245,-0.1695627
2466,0.25004274,-2.1184006,-1.8143619
3240,-0.4538836,-1.9153306,-2.3561506
2513,-1.1463234,-0.734468,-1.731047
3725,-0.32342273,-0.3487259,-0.6849155
3160,0.7081817,-0.86329275,-0.12244151
3012,-0.016690621,-1.7910793,-1.8597329
3736,0.5120902,-0.7582271,-0.25853094
2997,0.45560718,-0.9833287,-0.6694714
2072,0.88423645,-1.1212755,-0.15464091
3887,-1.0855706,-1.987072,-3.0705879
2168,-0.88892245,-1.1106274,-1.9176719
2568,-0.9503606,-3.4187934,-4.3326206
2075,0.02256479,-0.43984875,-0.35525084
3638,-0.6914365,-0.62844324,-1.436071
3146,-0.3008841,-1.1774343,-1.643209
3596,-0.14912589,-0.42264384,-0.5140659
3995,-1.084827,-0.7340219,-1.7336761
3377,-1.2630329,-2.238749,-3.4522166
2158,-1.1043239,2.2888184e-05,-0.905548
3261,-0.77276117,0.6346927,-0.34551287
3394,0.0075057386,-1.3059258,-1.3812019
3618,-0.959253,-0.99534965,-1.9476774
3990,-0.403252,-1.2379792,-1.5988053
3880,-0.07556518,-0.29667243,-0.34617147
3718,-0.16663228,-0.7523071,-0.87636524
3036,1.0405612,-1.0748038,-0.1311025
2306,-1.1435369,-1.755077,-2.9497328
3587,-0.9587541,-0.27483594,-1.1613387
3191,-0.45820314,-0.17074111,-0.63996947
3979,-0.019256348,-0.0909285,-0.18788314
2763,0.42426795,-1.0493958,-0.75143087
3491,-0.50442374,-1.6576931,-2.2073543
2071,-1.2927297,-2.1408572,-3.4553108
3479,-1.1446154,-2.4272754,-3.7705917
3323,-1.8006678,-2.1259727,-3.936684
3586,-2.2461634,-1.4517174,-3.617986
3694,-0.34686682,-1.2237742,-1.5001978
