,y
2766,0.0
2793,0.0
3989,0.0
3693,0.0
3061,1.0
3982,0.0
2418,0.0
3304,0.0
3473,1.0
3972,1.0
2156,1.0
2595,1.0
3018,1.0
3636,1.0
3918,1.0
3984,0.0
2612,0.0
3181,0.0
3813,0.0
3663,0.0
2310,1.0
3249,0.0
2596,1.0
2019,1.0
2271,1.0
2155,1.0
3111,1.0
2453,0.0
3725,1.0
2558,0.0
2526,1.0
2986,0.0
3103,0.0
2270,0.0
3184,0.0
3765,1.0
3166,1.0
2991,1.0
2767,1.0
3538,0.0
2706,0.0
3854,1.0
2888,1.0
3440,0.0
3216,0.0
2458,1.0
3125,0.0
3562,1.0
2613,1.0
3086,0.0
2741,1.0
3168,1.0
3135,1.0
3780,1.0
2795,0.0
3811,1.0
2607,0.0
2021,0.0
3507,1.0
2869,0.0
3667,0.0
3965,0.0
2251,1.0
2836,0.0
2723,0.0
3953,0.0
2887,1.0
3164,0.0
3522,0.0
2467,0.0
2892,1.0
2812,1.0
2184,1.0
2366,1.0
2046,1.0
2092,0.0
3140,1.0
2922,1.0
2114,1.0
3133,0.0
3852,0.0
2759,1.0
3696,1.0
3710,0.0
3241,1.0
3171,1.0
2747,1.0
2686,0.0
3190,0.0
3596,1.0
3768,1.0
3656,0.0
2298,1.0
3420,0.0
3684,0.0
3771,0.0
2478,1.0
2752,0.0
3853,0.0
3664,0.0
2952,1.0
2750,1.0
3177,1.0
3006,1.0
2862,1.0
2800,0.0
3588,0.0
3719,1.0
3094,0.0
3100,0.0
2691,1.0
3836,1.0
2119,1.0
2657,1.0
2004,1.0
3065,1.0
2205,1.0
2470,0.0
2490,1.0
3174,0.0
2398,1.0
2633,0.0
3347,1.0
3200,1.0
2606,0.0
2219,0.0
2987,0.0
3746,0.0
3503,0.0
2422,0.0
2037,1.0
3669,1.0
3629,0.0
2377,1.0
2497,1.0
3739,0.0
3010,0.0
3906,1.0
2852,0.0
2799,0.0
2072,0.0
2034,0.0
3573,0.0
2903,1.0
2997,0.0
2350,0.0
3788,1.0
2671,1.0
2740,1.0
3188,1.0
3620,0.0
3848,1.0
2112,0.0
3007,1.0
3535,0.0
3121,1.0
2636,1.0
2071,0.0
2944,0.0
2158,0.0
3698,1.0
2830,0.0
3761,1.0
3666,1.0
3333,1.0
2554,0.0
3445,1.0
2129,1.0
3358,0.0
3792,1.0
2169,0.0
3781,0.0
3116,0.0
3278,0.0
3041,0.0
2452,0.0
3681,0.0
3091,0.0
3048,1.0
2179,0.0
2776,0.0
2637,0.0
3090,0.0
3544,0.0
3994,1.0
2890,1.0
3343,1.0
3026,1.0
2616,0.0
3559,1.0
3359,1.0
3495,1.0
2454,1.0
3427,1.0
2503,1.0
2040,1.0
3554,0.0
2031,1.0
2397,1.0
3594,0.0
