,x1,x2,x3
3393,-1.4880567,-0.52828634,-2.0457406
3934,-1.1161985,-1.0877353,-2.2206082
3040,-0.6648011,-0.13135338,-0.8694111
2874,-1.7979277,-1.0080864,-2.781449
3918,-0.55183643,-1.4460139,-1.8965871
3394,0.085180216,-1.6608039,-1.3925842
2742,-0.8776284,-0.46282226,-1.3282081
3948,-1.1150812,-2.50008,-3.6690722
3094,0.8359065,-1.1795468,-0.3857409
3657,-0.018732434,-0.23469432,-0.12700205
3529,-0.7375356,-1.5057302,-2.0689893
3800,-0.8841886,-1.7838333,-2.8660524
3438,-1.074341,-1.311871,-2.4918633
2891,0.09574641,-0.31693035,-0.25581452
2448,-0.655532,-0.6072279,-1.2671634
3337,-0.590836,-0.46992263,-0.9450191
2555,-0.7686794,-0.6153339,-1.4374651
3419,-0.7137896,-1.27683,-1.8998914
3342,-0.61531883,-1.7115009,-2.4695873
3503,-0.76361203,0.40691304,-0.4382985
3203,-0.99428934,0.42892116,-0.5855864
2211,-1.2412775,-0.19394433,-1.4121115
3644,-0.697611,0.10614145,-0.63355863
3289,-0.9945171,-1.0426484,-2.006904
2213,-1.2145534,-0.9882637,-2.3067012
2754,-0.030018143,-2.2392046,-2.3677418
3338,-0.7336818,-2.3381877,-3.0088284
2058,-1.3358334,-2.7435904,-3.9721987
2945,0.29107356,-0.3962137,-0.1173194
3272,-0.45655593,-2.4523077,-2.9775336
3715,-1.0068643,-2.19042,-3.2530832
2031,-1.017353,-1.9864707,-2.9082432
3811,-0.09101099,-0.39173156,-0.7407906
2396,-0.23420194,-2.270455,-2.5307288
3852,-0.9611711,-1.632894,-2.5015185
2672,-0.7869935,-2.0374835,-2.8657734
2178,0.23583382,-0.69548213,-0.46773902
3211,-0.05474716,-0.56468326,-0.5213318
2616,-1.8194833,-1.8755006,-3.7444713
2418,-0.60994816,-1.2274072,-1.8537201
2290,-0.7310807,-1.6688004,-2.5639825
3407,0.031864945,-1.0093118,-1.0563298
3296,0.087228104,-1.136231,-0.91470915
2640,-1.2294133,-0.28616393,-1.3846841
2830,-1.389187,-1.6611769,-2.948603
3479,-0.6665953,-0.8380901,-1.3719758
3196,-0.8465192,-1.7003658,-2.598074
2915,-0.5752487,-1.4694495,-1.944988
2868,-0.547773,-0.62487495,-1.1352534
3955,0.19238195,-0.60835505,-0.5177274
2086,-0.76158535,-0.8493589,-1.4194664
2602,-0.6608664,-1.7443203,-2.4603493
2374,-1.5606942,-0.96313643,-2.6348531
3883,-0.6747812,-1.7154583,-2.3364456
3137,-0.3569459,-0.9038352,-1.2131939
2406,-0.6968722,-1.0982926,-1.8143753
2908,-0.4437953,-0.013559669,-0.5370082
3191,-0.22739872,-0.6163323,-0.92021614
2360,0.20288245,-1.2337316,-0.9149389
2382,-0.8923759,-0.48639923,-1.2562543
3087,-0.5120911,0.25763804,-0.3826266
3217,-0.31567836,-0.27754495,-0.67735094
2731,-0.5662666,0.026687145,-0.3407107
3017,0.030615894,-0.63532174,-0.45227432
2090,-0.502744,0.4375173,-0.021240253
2812,-0.87223476,-3.0486002,-3.8344545
3960,-1.3762074,0.13499093,-1.2221156
3020,-0.67329013,-2.0058918,-2.7075033
2886,-0.48487172,-0.63587123,-1.1969707
2274,-0.5118621,-1.2905675,-1.6858749
3483,-0.48540983,-1.0946362,-1.4938855
2153,-1.3196186,-3.9276857,-5.0920224
3941,-0.6883404,-1.5403075,-2.2761135
3205,-1.4511509,0.71317244,-0.81265455
2293,0.079218194,-1.1908139,-1.1794533
2910,0.46191067,-1.7452505,-1.1405555
2507,-0.5378258,-1.6690016,-2.0644088
2313,-0.11880943,-1.6465529,-1.8732388
2629,-1.1313435,-1.1423391,-2.334503
3078,0.25391844,-0.52538323,-0.27904668
3887,-0.6826715,-1.23363,-1.8692796
2258,-1.3519543,-0.71521854,-2.1624477
3259,-1.3046464,-1.4141997,-2.695978
2700,-1.6259005,-1.0717876,-2.6441545
2779,-0.6318697,-0.7635613,-1.4610316
3403,-1.7762988,-2.620467,-4.2713304
2163,-0.7316024,-0.10909867,-0.8952948
3891,-0.7844814,-3.0789537,-3.8575377
3198,-0.7506053,-3.0276058,-3.7520447
3013,-0.41026434,-1.0893773,-1.5172232
3703,-1.4345692,-3.0290422,-4.445734
3106,-0.54495573,-2.1855638,-2.5592964
3491,0.44709727,-1.3364717,-0.9314411
2110,0.24153945,-0.94004285,-0.6995472
2962,-0.18073413,-0.18686424,-0.4154248
2226,-1.3635287,-0.3120433,-1.7250954
2075,0.09560953,-2.1817067,-2.034336
2253,-0.20709807,-1.5046937,-1.6073388
3535,-1.2486719,-3.6805406,-4.9323645
2592,-0.5322498,-0.8108434,-1.2684425
3190,-0.20436223,-1.3257673,-1.6136937
2971,-1.1749426,-2.6749935,-3.965784
3759,-0.63751644,0.30557895,-0.4907496
3764,-0.54548025,-1.8537147,-2.4131854
2330,-0.425486,-0.30721566,-0.59105
3391,0.15533854,-1.0086982,-0.85026675
3177,-0.78723747,0.34723705,-0.53072184
2659,-0.53177714,0.44519407,-0.026084952
3979,0.32926148,-1.062336,-0.73474574
2898,-0.5286685,0.13914728,-0.29329878
2757,0.33658233,-0.9768379,-0.75419
2817,-1.3555977,-1.735327,-3.07872
2620,-0.8481323,-2.7776093,-3.8676727
2483,1.0537162,-1.2760708,-0.23220417
2013,-0.13724726,0.0673293,-0.21329206
3056,-1.1430072,-1.146012,-2.2651563
2544,-0.47672886,-1.6733973,-2.2701206
2795,-1.3688283,-2.6732395,-4.010099
3308,-2.4556513,-3.672556,-6.102457
2181,-1.2375343,-1.1051773,-2.2552474
3548,0.11168443,-0.4643951,-0.5289341
2931,-0.1310843,0.03010282,-0.0923464
3350,-0.7506813,0.7320949,-0.06467494
2770,-1.7356178,-1.1246189,-2.9154153
2114,-1.2174776,-1.2646178,-2.3276718
2567,-0.81094533,-1.1950291,-2.1201186
3910,-0.62815815,-2.0384066,-2.7004073
3807,-0.99545336,-0.75242794,-1.74755
2421,-0.29446718,-0.8841764,-1.1928939
3626,-1.5048091,0.15206051,-1.342526
3307,-0.58330697,-2.0491521,-2.573556
2967,-0.9881938,-0.6174575,-1.5784413
3962,-2.25091,-1.0588415,-3.225276
3114,0.5132652,-1.0088184,-0.571674
3727,-0.38402554,-0.043275535,-0.42896438
3993,-0.48822188,-0.7654729,-1.3636662
3870,-1.3933352,-1.6030546,-3.0597715
3395,-0.7851616,-1.4155693,-2.2300923
3925,-0.5374926,-1.0528326,-1.735454
2948,-0.8497758,-0.51626873,-1.402549
3658,-0.6959943,-0.4799558,-1.2310861
3988,-1.3213527,-1.0965304,-2.411745
3730,-0.56392145,0.43795025,-0.08471401
3871,-1.3826867,-0.68007547,-2.0818238
3418,-0.7283058,-0.7576767,-1.3743664
3446,-1.4697297,-0.8587816,-2.4034865
2781,-0.999428,0.38114804,-0.6154021
3457,-1.181246,-0.83953226,-2.0510437
2159,0.65963846,-1.7275178,-1.1521591
2142,-0.4558606,-1.9819283,-2.5465438
3076,-0.20126258,-0.61180556,-0.69509804
2029,-0.475778,0.049942166,-0.50724304
3372,-2.3426476,-4.9858875,-7.372026
3716,0.07050129,-0.507831,-0.36108303
2845,-1.72744,-1.7096477,-3.4485006
3500,-0.017353484,-0.48057523,-0.48405638
2334,0.20478497,-0.70709836,-0.51416606
2773,-1.2200724,-1.487349,-2.5868018
2342,-0.7669507,0.7126714,0.0433155
3895,-0.92925656,-1.8495146,-2.999919
3109,-0.57264054,-1.0146744,-1.5548931
3367,-0.71673673,0.17706901,-0.621371
2080,-1.2397732,-0.5537411,-1.8289324
3249,-0.2730151,-1.8151042,-2.130144
2076,-1.4443495,-3.6576355,-5.3793125
3111,-0.77652264,-0.3650639,-1.1604245
3985,-1.0603491,-0.95605636,-1.9125937
3509,0.48118693,-2.61847,-2.103767
3678,-0.031164926,-1.5976535,-1.6703113
2869,-1.5337328,-0.62721467,-2.2506685
3998,-0.25823832,-0.6951884,-0.96524066
3670,-1.4227823,-1.6207902,-3.039394
2014,-0.80656445,-1.5305465,-2.425665
3253,0.44696286,-1.9779224,-1.7349279
3003,-1.2470739,-1.3806334,-2.7370236
2191,-0.90056056,-1.353481,-2.4174705
3501,-0.19016746,-1.8812608,-2.1550357
3074,-1.0151113,-0.68437284,-1.8298222
2607,-1.0756629,-0.17100662,-1.1571183
2741,-0.12559728,-0.25141534,-0.39057568
2990,-0.2705288,-0.18905596,-0.42005062
3709,-0.710303,0.6416338,-0.06942687
2713,-1.3617722,-0.7145599,-1.8854837
2949,0.15580402,-0.49226332,-0.17424065
2656,-1.628761,-1.7863854,-3.4422371
2092,-0.64982456,-2.2061334,-2.9086578
2349,-1.2470121,-1.9702582,-3.3434353
2558,-1.5250995,-1.8943961,-3.4525294
3411,-1.5393131,-2.8579595,-4.3203073
3059,-0.9722287,-0.6249971,-1.8996742
2248,0.10583321,-2.427755,-2.3963897
2045,0.17524578,-0.72164834,-0.4703781
2857,-0.5858522,-2.0944555,-2.6801062
2026,0.07746566,-1.4031122,-1.3689003
3697,-0.28814673,-1.3003935,-1.4545283
3652,-1.8171748,-1.6864011,-3.5739875
2263,-1.343383,-1.5623944,-3.0136974
2002,-0.55865324,0.3602574,-0.0029951334
3360,-0.8199805,-0.1792627,-0.93725574
3496,-1.5163155,-1.2439884,-2.778886
