,y
2677,1.0
2707,1.0
2641,1.0
3750,1.0
2973,1.0
2780,1.0
2003,1.0
3550,1.0
2075,0.0
3983,0.0
2646,0.0
3386,1.0
3932,1.0
3890,1.0
2620,0.0
2585,1.0
3479,1.0
2454,0.0
3373,1.0
2884,1.0
2900,0.0
3520,1.0
3874,1.0
2076,1.0
2290,1.0
3067,1.0
3681,1.0
3815,0.0
3297,1.0
2528,1.0
2179,1.0
2296,1.0
2260,0.0
2916,1.0
3888,1.0
2910,1.0
3858,0.0
2731,1.0
3079,0.0
3869,1.0
2687,1.0
2209,0.0
2724,1.0
3435,0.0
2786,1.0
2121,0.0
2581,1.0
3979,1.0
2424,0.0
2661,1.0
3653,1.0
3881,1.0
2439,1.0
2545,0.0
2348,1.0
3798,1.0
3927,1.0
3609,1.0
2465,1.0
2141,0.0
3926,1.0
3876,1.0
2275,1.0
3601,1.0
2042,1.0
2367,1.0
2183,0.0
3354,1.0
3545,1.0
3749,1.0
3485,1.0
2045,0.0
3705,1.0
2989,1.0
3780,1.0
3235,1.0
3632,1.0
2499,1.0
2680,1.0
2375,0.0
2531,1.0
2733,0.0
2830,1.0
3923,1.0
3949,1.0
2119,1.0
2243,1.0
3579,1.0
3543,1.0
3268,1.0
3865,1.0
3209,1.0
2272,1.0
2336,1.0
3883,1.0
2945,1.0
3429,1.0
3307,1.0
2819,1.0
2888,1.0
3476,1.0
2836,1.0
2478,1.0
3019,1.0
3046,1.0
3306,1.0
2315,0.0
2398,1.0
3084,0.0
2586,0.0
3130,0.0
3127,1.0
2498,1.0
2899,1.0
2757,0.0
2940,1.0
2934,1.0
2656,1.0
2604,0.0
3854,1.0
2213,0.0
2593,1.0
2392,1.0
3807,0.0
3937,1.0
3195,1.0
3512,1.0
3892,1.0
3562,1.0
2881,1.0
3357,1.0
3547,1.0
3478,1.0
3986,1.0
2043,1.0
2372,0.0
2639,1.0
2001,1.0
3191,1.0
3582,1.0
3218,1.0
3062,1.0
2237,1.0
3364,1.0
2202,1.0
3291,1.0
3837,1.0
3594,1.0
2058,1.0
3256,1.0
3156,0.0
2939,1.0
2009,1.0
3367,1.0
3866,1.0
3002,1.0
3505,1.0
3634,1.0
3415,0.0
2167,0.0
2339,1.0
3813,0.0
2597,1.0
2540,1.0
2570,1.0
2599,1.0
2382,1.0
2740,0.0
3274,1.0
3118,0.0
3770,1.0
2696,1.0
3060,1.0
3662,1.0
3248,1.0
2793,0.0
2855,1.0
3724,0.0
2500,1.0
2139,0.0
2685,1.0
2288,1.0
2175,1.0
2613,0.0
3707,1.0
2591,1.0
2555,1.0
3395,1.0
2887,1.0
3753,0.0
2949,1.0
3994,1.0
2508,1.0
3719,1.0
2859,1.0
3277,1.0
3583,1.0
2514,1.0
2998,1.0
2385,1.0
