,x1,x2,x3
2431,0.4,1.6,4.1
3747,-0.0,0.9,3.9
2378,1.6,0.1,3.6
3497,0.0,0.5,0.2
2341,-0.0,0.4,1.0
2507,-0.0,0.3,2.4
2454,0.0,0.3,1.8
2314,1.7,1.0,5.7
3264,0.9,1.8,6.4
2006,0.0,-0.0,0.3
3656,-0.0,0.0,0.5
2619,0.2,0.1,1.4
3281,0.0,0.3,0.9
3869,0.3,0.8,2.8
3244,-0.0,0.4,3.0
3724,0.2,0.7,2.3
2015,0.5,1.2,4.7
3037,0.2,0.1,2.9
3643,0.4,1.6,3.9
2478,0.4,0.4,2.4
3425,0.2,0.9,2.6
2517,0.1,0.2,0.9
3131,-0.0,0.0,1.5
2869,0.4,1.4,4.7
3676,-0.0,-0.0,2.8
3443,0.2,1.0,5.0
3027,-0.0,0.4,4.1
2771,0.0,0.0,0.6
2323,-0.0,0.0,1.3
3059,0.7,0.8,7.7
2406,0.2,0.7,2.3
2505,-0.0,0.0,0.5
2699,0.1,0.1,0.9
2175,-0.0,0.2,4.5
3234,0.0,0.6,3.6
2296,0.1,0.0,1.3
2589,0.0,0.0,0.4
3167,-0.0,-0.0,0.2
3634,0.5,0.5,3.0
2513,0.4,0.0,1.9
3811,0.1,-0.0,0.7
3780,0.0,1.9,3.1
3061,0.0,0.0,1.3
2731,0.2,0.7,3.0
2374,0.3,-0.0,1.8
3198,0.5,0.2,2.5
3313,0.1,0.3,1.3
2631,0.2,0.8,3.0
3118,0.1,0.0,0.9
2176,-0.0,-0.0,3.6
2263,0.3,1.0,2.1
3633,-0.0,0.8,4.2
3856,-0.0,0.1,1.2
3108,-0.0,0.4,3.7
3250,0.2,0.1,1.0
2565,0.1,0.3,1.5
2132,0.1,0.4,2.1
3323,-0.0,0.0,2.0
2551,0.0,0.3,1.8
2755,0.3,0.1,5.4
2154,-0.0,1.0,2.4
3271,0.5,0.2,2.9
2277,0.1,0.1,0.8
2316,0.0,0.0,0.3
3107,0.1,-0.0,0.4
2789,-0.0,0.0,0.4
2757,0.3,0.8,2.6
3295,0.1,0.4,2.5
3985,-0.0,0.0,0.1
2543,0.2,0.8,2.8
3287,-0.0,0.4,1.9
2660,-0.0,0.2,1.2
3657,-0.0,-0.0,0.9
2272,0.0,1.6,3.7
3853,-0.0,-0.0,1.1
3553,0.0,0.1,0.8
2082,0.0,1.8,5.6
3113,0.0,0.2,1.1
2369,0.0,0.2,0.4
2783,0.4,0.1,1.1
2165,0.1,0.5,2.4
3386,0.4,0.0,3.9
2903,0.0,0.0,2.0
3213,0.8,0.7,2.6
3721,-0.0,-0.0,5.8
3044,0.0,0.0,0.1
3483,0.1,0.8,6.7
2014,0.4,-0.0,5.9
3049,0.0,0.4,1.0
3328,0.7,0.1,2.3
3226,0.3,0.3,4.5
3548,0.1,-0.0,2.2
3949,-0.0,-0.0,0.7
2849,-0.0,0.1,0.9
3644,-0.0,-0.0,0.1
2353,0.0,-0.0,0.4
2663,0.8,0.1,4.7
3584,0.2,0.1,1.4
3866,0.1,0.0,0.9
3563,0.0,0.3,0.9
2205,0.0,0.9,4.9
2558,0.5,0.0,3.2
3922,0.1,0.0,0.0
2046,0.7,0.4,5.1
3116,0.1,0.3,2.0
2908,0.5,1.5,3.0
2545,2.8,2.8,8.4
2340,-0.0,0.2,0.9
3868,1.4,0.4,4.5
2951,0.2,1.5,3.6
2803,-0.0,0.5,5.5
2537,0.0,0.0,0.9
2815,-0.0,0.4,0.7
2973,-0.0,0.2,1.1
3775,0.1,0.0,0.7
3344,0.0,0.6,2.7
2628,0.0,0.3,1.7
2071,-0.0,-0.0,0.2
3790,0.0,0.7,3.7
3262,0.0,0.8,2.6
3114,0.6,2.1,8.8
3032,0.2,1.1,3.0
3210,0.1,2.1,3.3
3816,-0.0,0.7,1.5
3551,0.1,0.2,1.5
3476,-0.0,0.0,0.4
3777,0.2,0.3,1.1
2859,0.0,0.1,-0.0
3845,0.2,0.3,2.9
2975,0.1,0.1,1.6
3658,0.0,0.1,5.5
2067,1.2,0.9,4.2
3041,-0.0,0.1,1.4
3099,-0.0,-0.0,0.4
2916,-0.0,-0.0,1.9
3197,-0.0,0.2,0.4
2284,-0.0,0.9,2.0
3407,0.0,-0.0,0.3
3848,0.0,0.7,1.4
3800,-0.0,-0.0,0.7
3803,0.8,0.0,2.6
3017,0.2,0.0,2.5
3598,0.0,0.2,1.3
2051,0.0,-0.0,0.1
2274,0.1,0.9,4.7
3962,0.3,0.7,2.3
3596,0.2,0.1,0.5
3574,-0.0,0.1,3.2
2210,0.1,0.0,0.5
3056,0.1,1.3,2.1
2381,1.0,0.3,3.6
3140,-0.0,0.7,1.5
2697,0.1,0.2,1.1
2136,0.4,-0.0,0.6
3878,0.6,0.2,3.3
2846,0.5,0.9,3.3
3109,0.3,1.3,2.3
3870,0.3,0.2,0.9
2944,1.3,0.9,7.0
2833,0.4,-0.0,2.0
3451,-0.0,0.0,1.9
2891,0.0,0.2,0.2
3565,0.1,0.2,1.4
3732,1.0,0.6,6.0
3632,0.1,0.0,2.5
2689,0.2,0.0,1.4
3200,0.0,1.8,2.7
3338,-0.0,0.0,2.3
2807,0.3,0.0,0.8
2164,0.1,0.1,4.7
3157,-0.0,0.0,0.3
2217,0.0,0.5,1.2
3952,0.6,0.3,3.9
3573,0.0,-0.0,0.1
3461,0.1,0.6,4.6
3008,0.1,2.3,4.5
3285,0.1,-0.0,5.3
2862,-0.0,-0.0,2.0
3587,0.1,0.2,1.6
3372,0.0,0.5,1.3
3299,0.1,1.3,3.3
2522,0.0,-0.0,1.2
3362,0.0,0.0,0.6
3074,0.5,1.4,4.3
2487,0.0,0.2,1.3
3918,0.1,-0.0,0.5
3936,-0.0,0.4,2.4
2642,0.2,0.7,4.1
3556,0.0,0.4,1.1
2644,0.9,0.1,3.6
3370,0.0,0.0,0.7
2989,0.0,0.0,2.5
3015,0.1,0.9,1.3
2438,0.0,0.0,0.2
3693,0.0,0.5,1.3
3524,-0.0,0.8,1.3
2651,0.9,0.3,4.3
2625,-0.0,0.1,3.4
2342,2.3,2.7,6.7
3155,-0.0,-0.0,0.4
