,x1,x2,x3
2337,-0.00975813,-0.15017302,-0.18529129
3143,-0.19031383,-0.2067304,-0.41327325
3386,0.026715375,-0.8057818,-0.70242375
2987,-1.4453118,-1.6317813,-3.1895058
3019,-2.520264,-0.54112816,-3.0065775
2971,-0.7515831,-1.8042922,-2.5776982
3245,-0.05415044,-0.0989138,-0.23099065
3339,0.10484765,-1.6183552,-1.5370332
3226,-0.100673206,0.048584275,-0.14605474
3661,-0.75768197,-3.306603,-4.1218147
3570,-0.11132858,-1.3808373,-1.5892457
2424,-0.93097305,-0.07272661,-0.99369967
2685,0.5489779,-1.1816664,-0.50909567
2038,-1.2290277,-1.4060761,-2.599028
3140,-1.7954316,-1.7128857,-3.393142
2491,-1.2847503,-0.51874214,-1.8223122
3007,-1.0701412,-1.4296417,-2.5400321
2449,-1.8036797,-2.9066806,-4.87558
2036,-0.11579586,-1.9360772,-2.0356612
2669,-1.1080015,-0.40716648,-1.439663
2461,-1.5112184,-0.29934132,-1.9748315
3289,-0.040791187,-0.770357,-0.7621511
3036,-0.42217,-1.9360617,-2.2970884
3715,-0.35415176,-0.3502913,-0.6684613
2257,0.74352366,-1.429874,-0.67849135
3415,-1.0261678,0.5857359,-0.40918294
3761,-0.69689614,-0.039528072,-0.7471233
3360,-0.69097173,0.5923147,-0.144439
2939,0.20887414,-1.7970086,-1.6639913
3916,-1.4816812,-1.7595868,-3.3114412
2205,-0.76749504,-0.37218356,-1.1404378
3988,-1.3110579,-0.5844058,-1.822459
2365,-0.8995363,-0.71906203,-1.6728938
2566,-0.7711253,-1.569793,-2.546443
2478,-0.43232766,-1.1382759,-1.6099005
2613,-0.029144326,-1.5229286,-1.6571535
3482,-1.3384445,-3.159295,-4.3932686
3384,-1.0544033,-1.5112288,-2.4400952
3813,-0.76848507,-2.4205008,-3.2541478
3597,0.50399023,-0.5172127,-0.029241746
2871,-0.5045473,-0.18728921,-0.91991305
3692,-0.175137,-1.689637,-1.9447907
2554,-1.2545662,-3.6253068,-4.953583
2757,-0.3836158,-1.0353374,-1.4077283
3599,-0.9904692,-1.3018903,-2.1373148
2531,-0.58905405,-1.6315265,-2.1833687
3551,-1.2231383,-2.0645876,-3.3459141
3687,0.17827822,-1.5790393,-1.5163631
2025,-1.0876046,-1.1064521,-2.0513573
2570,-1.8038592,-1.9005469,-3.604403
2190,0.15886386,-1.2642729,-1.0246578
2063,-0.06544281,-0.15487863,-0.095400386
2131,-1.2200528,-0.67700356,-1.97322
3179,-1.5097654,1.0369265,-0.43180093
3772,-0.7090961,-2.1355095,-2.9684973
