,x1,x2,x3
2498,0.19525537,-0.024017751,0.18703389
2505,-0.07372409,0.055249117,0.05498085
2740,0.16172981,-0.15091522,0.050635003
3826,0.729207,0.4547726,-1.3034872
2494,0.7712335,-0.7544535,0.29490277
2953,-0.050686013,0.15208723,0.106293276
2031,0.12666759,0.057549953,-0.18112345
3130,-0.5200043,0.7607688,0.122547686
2359,-0.45882672,2.3036475,-1.9779668
2607,-0.3617621,0.5428941,0.2001109
3854,0.07109924,0.052409835,0.07274082
3144,-0.12240233,0.5451566,0.2488958
2741,-0.44619536,0.42798662,0.102108195
3547,0.16294336,1.2750156,-1.5051415
3882,0.4745528,-0.42431888,0.10510206
3248,-0.27868882,0.3065205,0.04767862
2879,-0.5030409,2.2431185,-1.8864317
2927,-0.3468067,0.41862947,-0.045096118
3461,0.948558,-0.7574694,0.21844837
2391,0.11761181,0.029467165,-0.11593709
3210,0.032282054,0.15986481,0.21201506
3441,0.54514945,-0.6058215,0.1624401
2590,-0.02855363,0.3818864,0.24104741
3569,0.17775714,-0.120754935,0.014237836
3110,-0.49970037,0.61252797,-0.08412199
3411,0.360968,-0.15767844,0.1396046
2334,0.44713572,-0.46474764,0.052378558
2508,0.4690836,-0.54845685,0.112739846
3681,0.14072713,0.31431547,0.44702694
2122,0.34222206,0.22753617,-0.60554403
3362,-0.35788986,0.42725196,0.042367626
3096,0.6292544,0.21005067,-0.8989008
2767,0.9480498,-0.6658538,-0.27887744
2102,0.19890332,-0.111711696,-0.063296676
2531,-0.12391782,0.39152724,-0.2543726
3213,-0.09020375,0.1450046,0.19734159
3621,-0.17374156,0.2803151,0.0048021823
2419,-0.525849,0.7202672,0.23531154
3890,-0.6145424,0.7164567,0.20725358
3143,0.7372632,-0.63179624,0.18047723
3801,-0.0018566966,0.21659668,0.16343385
2030,-0.14058033,0.34115857,0.22628072
2649,-0.28197086,0.28867167,0.16152817
2670,-0.5840489,0.8684705,0.13204122
3114,0.1138866,-0.10819693,0.10118115
3810,1.3077444,0.05105915,-1.4829731
2576,0.24180195,-0.39397144,0.20094156
2980,0.38998142,-0.30537328,0.10543936
3363,0.5336609,-0.592295,0.14693277
3310,0.7037553,0.70641106,-1.5201417
2974,0.45364368,-0.42583543,0.06289723
2134,0.36646524,0.36126745,-0.722956
3596,0.3695792,-0.13063693,0.3845203
2922,-0.23988977,0.27969465,-0.0065063
2224,-0.10596056,0.13301565,0.0016406644
2586,0.44486037,-0.28892425,0.21274333
2707,-0.50464696,0.73056215,0.36803833
2070,0.17787293,0.06319275,0.3191409
3267,-0.08218652,0.1573195,0.11008062
2272,0.2820145,-0.24273515,0.059034966
3125,-0.06173837,0.5610177,-0.33985382
3400,0.6814269,-0.21993577,-0.46262136
2340,-0.3494769,0.40081367,0.016980361
2584,0.9826437,-0.85563874,0.15825455
2140,-0.061454277,0.02072912,0.08248966
3103,0.5006482,-0.45060357,-0.03487165
2612,1.6931808,1.2846453,-3.306077
2036,0.75947195,-0.7149349,0.086340815
3675,-0.23499683,0.48202214,0.09460096
2018,-0.13865119,0.16437948,0.04291451
3172,0.043595124,0.057789907,-0.03039135
3274,-0.8605515,0.944194,0.022684753
2390,0.0029059947,0.20999445,0.14773247
2009,0.91107845,1.4546188,-2.4993353
2570,0.2298861,-0.014536023,0.30973154
3941,-0.07569005,1.672343,-1.7455024
2744,0.46419668,0.93471944,-1.5380869
