,x1,x2,x3
2259,-0.9743103,-2.6599665,-3.6549094
3602,-2.001397,-3.0598898,-5.0416555
2541,0.7281229,-0.96098,-0.16562131
3913,-0.32030907,-0.61876416,-1.0248427
3642,-0.11746439,-1.1638258,-1.3468735
2194,-1.3217822,-0.11903739,-1.5853782
2682,-0.3628901,0.081436306,-0.12749916
3735,0.23601112,-0.6092628,-0.24904257
3415,-0.04263169,0.06269792,0.054956608
2043,-0.52342474,0.06558114,-0.46298143
3333,-0.2302296,-1.2643194,-1.4141946
3809,0.00059531094,-1.048758,-1.1684082
2048,-1.3686835,-4.329714,-5.706532
2459,-3.0422418,-3.5476265,-6.5590343
3350,-0.13590993,-0.34439301,-0.69244576
2837,0.16179985,-0.97537297,-0.74546236
2368,0.5873668,-0.8260151,-0.26647663
2897,0.13589229,-1.0687717,-0.9748564
3647,-0.052820917,-0.7867836,-0.8785819
3267,-0.6265825,0.22628635,-0.24630173
3681,-1.1157775,-2.1529188,-3.2897
3907,-0.5776493,-0.90753436,-1.5090922
2788,-1.2569678,-1.8619456,-3.1263833
3993,-1.5586746,-2.7587202,-4.302908
3042,-2.1496897,-2.2318506,-4.310997
3850,-1.2299535,-2.5084643,-3.763631
3991,-0.71085733,-0.90789783,-1.6472566
3611,0.31308904,-0.76983416,-0.48998177
2942,-1.1178252,0.31936562,-0.8466383
2529,-1.6507446,-1.45013,-3.096479
2637,-1.1148742,-2.6968288,-3.6800117
3203,-0.2780261,-0.39972496,-0.6887857
2156,-0.79556835,-0.66383076,-1.4021378
2257,-0.290512,0.26239803,0.017441254
3272,-0.5957132,0.20995247,-0.42162573
2083,-0.23182945,0.07481979,-0.15909651
3156,-1.2848923,-0.11425054,-1.4711134
3179,-0.5456408,0.45753837,0.01159402
2975,-0.5678255,0.10218227,-0.5362945
2777,-0.66736674,-3.6441572,-4.4100714
2649,-0.15670767,-0.5005654,-0.7990131
2180,-0.82487047,0.49139857,-0.27546346
3558,-0.64523333,-0.0099983215,-0.6099257
2239,-0.8809681,-0.77401036,-1.7437398
3657,-1.6142232,-2.9554465,-4.452087
2514,-1.0042535,-0.20990801,-1.2369657
3758,0.05317326,-1.0346477,-0.97851485
2226,-1.0363454,-0.13744861,-1.2845836
2000,0.017659368,-0.4049582,-0.44140345
3113,-0.47607684,-1.3345776,-1.8963504
3197,-0.7630426,-1.9466274,-2.8574848
3103,-1.1321989,0.50492334,-0.49345613
3834,-0.94790816,-0.093816936,-1.0199751
3284,-0.7382956,0.15962905,-0.3967166
3627,1.052881,-1.127877,-0.3166979
3841,-0.64014137,-0.5852986,-1.2872589
3607,-0.59368193,-0.5474303,-1.2619193
3561,-1.9044307,-1.5060874,-3.5043066
3152,-0.5484939,-1.5916221,-2.0860422
3294,-0.30554584,-0.4712447,-0.8626004
3969,-0.48651382,-2.381697,-2.934864
2780,-2.4120085,-3.2377026,-5.5369496
3798,-0.31530496,-0.07771398,-0.42166835
3774,-0.62021357,-1.6253834,-2.1174076
2655,-0.27329087,-0.4602399,-0.7929144
3345,-0.54005164,-1.4057324,-1.9383487
2836,0.9786233,-0.9960618,-0.08245735
2852,-1.058641,-1.3282084,-2.1377275
3942,-0.6669461,-0.45421714,-1.126818
2237,-1.7088064,-1.7135841,-3.2859068
2609,-0.35352442,-0.9843521,-1.4562612
2486,-1.0519266,-0.45539236,-1.4605203
2482,-0.20899612,-1.5010393,-1.8102341
2947,-0.76973814,0.41013688,-0.4210699
2136,-0.96503156,0.47782415,-0.48294672
2981,-0.08787737,-0.7248374,-0.89655226
2978,-0.9141138,-0.58090025,-1.5020736
2195,-0.5797538,-0.5365385,-1.0721127
3868,-0.89452446,-1.8853076,-2.809657
2170,0.42140818,-1.0614625,-0.50516623
3673,-0.7499104,0.19577539,-0.45673072
3662,-0.105043694,-0.700414,-0.86251867
3198,-0.35434073,-1.0442384,-1.372976
2393,-0.99626195,0.79606414,-0.18132634
2493,-1.2976067,-0.6041531,-1.8109275
3124,-0.5570312,-2.0357866,-2.4362128
3715,-0.69166726,-2.5493965,-3.205992
2704,-1.3348299,-1.806095,-3.1268156
2293,0.090691574,-0.7009064,-0.47126108
