,y
3530,1.0
3063,1.0
2264,1.0
3085,1.0
3230,1.0
2661,1.0
2807,1.0
2810,1.0
3267,1.0
2961,1.0
3976,1.0
3279,1.0
3195,1.0
3678,1.0
3122,1.0
2101,1.0
2158,1.0
3464,1.0
3476,1.0
2347,1.0
3493,1.0
3490,1.0
2658,0.0
2066,1.0
2757,1.0
2518,1.0
3502,1.0
3384,1.0
2419,1.0
3131,0.0
2963,1.0
2588,1.0
2186,1.0
2440,1.0
2148,1.0
3672,1.0
3465,1.0
3126,1.0
3569,1.0
2157,1.0
2945,1.0
2784,1.0
3725,1.0
2806,1.0
2660,0.0
2815,1.0
3881,1.0
3300,1.0
2578,1.0
3973,1.0
2944,1.0
2540,1.0
2009,1.0
2435,1.0
3248,1.0
2075,1.0
3334,1.0
2853,1.0
2659,1.0
3039,1.0
2040,0.0
2670,0.0
2240,1.0
2509,1.0
2248,1.0
2611,1.0
3165,1.0
3697,1.0
2682,1.0
2418,1.0
2317,1.0
2767,0.0
3079,0.0
3913,1.0
2987,1.0
3835,1.0
2346,1.0
2599,1.0
3403,0.0
2933,1.0
2261,0.0
3471,1.0
2710,1.0
2755,1.0
2571,1.0
3235,1.0
3861,1.0
3941,1.0
3624,1.0
2245,1.0
2024,1.0
2596,0.0
3778,1.0
3071,1.0
2141,1.0
2955,1.0
3944,1.0
2335,1.0
3995,1.0
3363,1.0
2908,1.0
3813,1.0
2792,1.0
2233,1.0
2582,1.0
2336,1.0
2307,1.0
3666,1.0
2536,1.0
2502,1.0
3927,1.0
3010,1.0
3415,1.0
2888,1.0
3764,1.0
2657,1.0
3287,1.0
3198,1.0
3083,1.0
3018,0.0
3140,1.0
2694,1.0
3933,1.0
3103,1.0
2400,1.0
3315,1.0
2138,1.0
3224,1.0
2968,1.0
2364,1.0
2226,1.0
2524,1.0
2463,1.0
2687,1.0
2946,0.0
2537,1.0
2183,1.0
2962,1.0
3793,1.0
3101,1.0
3306,1.0
3257,1.0
3059,1.0
3714,1.0
2184,1.0
3119,1.0
3527,1.0
3670,1.0
3216,1.0
3104,1.0
2385,1.0
2043,1.0
2566,1.0
3161,1.0
3936,1.0
3003,1.0
3152,1.0
3070,0.0
3253,0.0
3942,1.0
2629,1.0
3375,1.0
2907,1.0
3258,1.0
2744,1.0
3988,1.0
2393,0.0
3541,1.0
2086,1.0
2202,1.0
2884,1.0
2949,1.0
3510,1.0
3891,1.0
3520,1.0
2607,1.0
2880,1.0
3969,1.0
3822,1.0
3661,1.0
3469,1.0
2275,1.0
3979,1.0
3808,1.0
2018,1.0
3015,1.0
3049,0.0
3556,1.0
3301,1.0
3066,1.0
2124,1.0
2287,1.0
2763,1.0
3696,1.0
3940,1.0
2369,1.0
3896,1.0
3314,1.0
2447,1.0
3467,1.0
