,x1,x2,x3
2410,-0.43661875,-0.0639261,-0.5142324
3785,-1.1620069,-1.5275865,-2.7211628
3013,-0.6646662,-1.1653582,-1.7873285
2257,0.085369155,-0.36097813,-0.3594725
2338,-0.12352635,-0.7775858,-0.90218616
2482,0.09777918,-1.0998785,-0.9342818
2941,-0.70953184,-2.4304287,-3.1396499
2262,-1.1502091,-0.8425274,-2.0412235
2790,-0.30757222,0.06222868,-0.27744675
2109,-1.8380167,-2.8061366,-4.8269544
3316,-0.80911005,-1.4938169,-2.3975902
2393,-1.6458229,-1.6645954,-3.3270745
2826,-1.0015582,-0.058853745,-1.1011149
3466,-0.531254,-2.2701163,-2.7957118
2015,0.27699554,-0.94901526,-0.646551
3150,-0.04492429,-0.5253983,-0.5247077
2723,-2.192268,-1.8568696,-3.9792619
3571,-1.2796233,-1.7589959,-2.9921048
3802,-0.45450574,-1.7311325,-2.1505928
3041,-1.9168826,-2.4623322,-4.5277753
2221,-1.0550156,-2.91824,-4.0434747
3032,-1.0446001,0.010097861,-1.0049522
3427,-1.4325002,-2.160716,-3.5631225
3644,-0.69331026,-0.14963412,-0.85032076
3939,0.042726047,-0.59874535,-0.56205255
3314,-0.08232207,-0.4743319,-0.81164
3340,-0.60130763,-1.2541393,-1.8809323
3887,-1.0855706,-0.36131442,-1.2886779
2654,-0.90071154,-1.542321,-2.5136738
2211,-1.5193921,-2.6453137,-4.0162115
3853,-2.0694954,-2.1312726,-4.2678537
3140,-0.19177333,-1.6396861,-1.9296366
3058,-1.5064076,-0.18234336,-1.7126533
3899,-0.28533462,-0.7697849,-0.9309025
2253,-1.1640838,0.3743081,-0.707965
3305,-0.67993015,-0.6947219,-1.3266526
2418,-0.5259966,-0.7007792,-1.5228717
3261,-0.77276117,-1.611073,-2.3964405
2693,-0.5279532,-1.914545,-2.437648
2929,-0.60344356,-1.216814,-1.8723321
3824,0.4107115,-0.6123136,-0.09669625
3478,-1.4951965,-3.1851525,-4.728616
2558,-0.14187744,-0.74564373,-0.74880844
3280,-0.8202837,-1.1520691,-1.6511062
2424,-1.5492098,-1.4762381,-2.9278376
3192,-1.4594582,-2.7858555,-4.395877
3146,-0.3008841,-1.8943747,-2.2292898
3721,-1.553723,-2.2392251,-3.7300165
3676,-1.0416873,-2.0050707,-3.1231291
2014,-1.7398036,-1.3787143,-3.0546377
3037,-0.086329035,-0.6361818,-0.7266643
3770,-0.36160928,-1.4762437,-1.7017703
2352,-0.08174581,-0.52905196,-0.72251683
3717,-0.8417388,0.5935879,-0.1945342
3231,-0.41281733,-1.3964498,-1.8862425
2636,-0.483987,-0.31447852,-0.8078541
2859,0.4100474,-1.5495493,-1.0077819
2427,-1.5933958,-1.409307,-3.0417309
2493,-0.79003704,-0.32025212,-1.1227273
3967,-1.632679,-2.6851182,-4.28608
2251,-1.6252037,-1.6670294,-3.2813935
3189,-0.61523575,-1.2115903,-1.7439768
2978,-1.2283258,-1.6312054,-2.7498121
3611,-0.8941936,-0.112307966,-1.0611674
3825,-1.4712281,-2.7281854,-4.246833
3184,-0.38096148,-1.1318052,-1.4733104
3805,-0.07333014,-0.8426959,-1.0246729
3863,0.031665836,-0.4499595,-0.59162694
3263,-0.14754489,-0.4435627,-0.5761749
3254,-0.1821564,-0.39607555,-0.56441444
2312,-0.008511727,-2.077374,-1.9232484
2370,-0.51473516,-0.5370069,-0.9807334
2649,-0.4384365,-1.1929371,-1.7157407
2914,-0.57787347,-0.5215268,-0.9262128
2051,-1.1096961,-0.37189668,-1.3651742
2421,-1.3079455,0.681321,-0.45407295
3045,-0.464405,0.34416443,-0.120519206
2878,-2.3382976,-2.0887916,-4.4516754
2985,-0.767349,-0.17086965,-1.1386787
3268,-1.9593359,-3.2332275,-5.256771
3693,-0.8217027,0.22990382,-0.6544509
2833,-1.4857254,-0.96063846,-2.4636643
