,x1,x2,x3
3951,2.5,0.0,0.0
3261,2.6,2.3,-0.0
3198,1.4,2.3,0.0
3033,0.6,1.1,-0.0
3348,1.1,0.0,0.0
2144,2.7,-0.0,4.7
2899,2.6,0.0,5.1
3199,1.0,3.3,4.2
3177,1.0,1.4,2.6
2611,1.4,0.0,0.0
2062,3.1,-0.0,4.4
3458,1.3,3.0,-0.0
2237,2.8,2.3,4.9
2467,1.5,0.0,-0.0
2679,1.4,1.5,-0.0
2334,1.0,2.2,-0.0
3863,1.8,1.5,3.2
3095,1.8,0.0,-0.0
3448,2.1,3.6,6.1
2502,0.1,2.7,-0.0
2107,1.5,0.0,-0.0
2783,1.5,-0.0,1.8
2436,2.8,6.2,4.6
2865,1.3,-0.0,0.0
3534,0.4,1.2,0.0
3569,1.0,-0.0,1.4
2567,1.5,2.3,0.0
3508,1.5,0.0,3.8
3316,1.8,0.0,4.2
3599,2.8,2.3,8.4
3495,1.8,-0.0,-0.0
2124,3.3,-0.0,1.4
2101,1.5,-0.0,0.0
3463,1.2,-0.0,0.0
2102,0.3,2.7,-0.0
2308,1.9,2.2,4.2
2674,1.1,0.0,-0.0
3623,1.6,-0.0,4.4
3489,1.5,-0.0,2.8
3278,0.8,0.0,-0.0
2874,0.0,1.6,1.6
3707,2.0,4.2,6.6
3858,2.4,-0.0,3.8
3438,-0.0,3.0,0.0
2183,1.1,1.3,3.1
2816,0.7,1.9,-0.0
3879,1.5,-0.0,-0.0
2484,0.1,1.6,0.0
3604,1.4,-0.0,1.2
3826,0.8,2.8,4.2
3431,0.8,-0.0,0.0
3474,0.9,0.9,2.1
3300,2.3,2.7,5.7
3755,0.4,1.4,0.0
2749,1.9,3.0,-0.0
2627,1.3,1.9,-0.0
2210,1.2,-0.0,0.0
2449,1.7,0.0,3.3
3793,0.6,2.4,0.0
3703,2.0,3.0,5.2
2843,0.7,1.1,0.0
2531,1.7,0.0,0.0
3214,0.9,0.0,0.0
2747,0.8,0.0,0.0
3258,0.8,1.9,0.0
2954,1.4,2.1,-0.0
3650,1.0,-0.0,0.0
3689,0.7,-0.0,3.0
3795,0.0,2.3,-0.0
3422,1.4,1.3,0.0
2966,2.5,2.1,4.7
2405,1.2,3.6,5.6
3193,1.8,0.0,-0.0
2084,0.0,3.6,0.0
2738,0.5,3.3,0.0
3275,2.0,2.6,-0.0
2901,1.1,0.0,0.0
3717,1.8,2.3,4.1
3995,2.3,2.8,5.1
2704,0.9,0.0,0.0
2612,2.9,0.0,2.7
3157,1.3,1.8,0.0
2877,1.3,2.6,4.2
2147,1.5,1.8,3.3
3619,1.4,3.0,0.0
3365,1.0,0.0,-0.0
3988,1.1,0.0,0.0
3439,1.4,0.0,0.0
3500,2.2,-0.0,-0.0
3215,1.4,-0.0,0.0
3186,0.9,0.0,0.0
2327,0.5,2.7,-0.0
3281,2.7,2.5,5.7
3109,2.6,0.0,4.6
2654,0.9,-0.0,-0.0
3864,1.1,0.0,0.0
2050,2.2,-0.0,1.6
2764,1.8,0.0,4.1
2814,1.1,1.4,0.0
3012,2.3,0.0,4.4
2323,1.1,1.3,0.0
2367,1.0,-0.0,0.0
2580,2.3,0.0,3.7
2202,1.3,0.0,2.4
2081,0.2,2.1,0.0
2389,1.0,0.0,-0.0
3040,1.1,0.0,0.0
2179,1.3,-0.0,-0.0
2126,0.4,2.6,0.0
2022,1.7,-0.0,3.6
2488,1.0,0.0,0.0
3339,0.9,0.0,0.0
2905,1.3,1.9,0.0
3127,1.4,-0.0,0.0
3445,1.3,1.4,0.0
3624,1.3,0.0,0.0
2244,2.1,5.4,4.2
3054,1.7,-0.0,0.0
2775,1.5,0.0,0.0
2870,1.0,3.8,5.1
2657,0.4,2.6,-0.0
3626,0.1,2.2,0.0
3784,1.5,-0.0,0.0
2933,1.1,0.0,-0.0
3632,2.1,0.0,3.8
2683,0.0,2.6,0.0
3651,-0.0,1.0,2.1
2934,0.0,1.9,-0.0
2002,0.4,1.4,-0.0
2036,0.9,-0.0,-0.0
3480,0.9,-0.0,0.0
2585,2.2,2.1,4.2
3478,0.9,-0.0,1.6
3743,1.0,1.3,-0.0
3174,0.8,-0.0,0.0
2343,1.0,-0.0,0.0
3654,0.9,-0.0,1.9
2091,1.8,3.0,0.0
2809,1.3,-0.0,-0.0
2602,0.3,2.1,-0.0
2127,1.6,0.0,0.0
2541,0.8,1.4,-0.0
2759,1.8,2.8,5.2
2010,0.3,2.1,0.0
2410,1.3,2.6,0.0
3721,2.8,1.3,4.2
3233,1.0,-0.0,-0.0
2380,1.1,2.1,0.0
2876,1.8,0.0,0.0
3986,2.3,2.1,0.0
2186,2.9,0.0,5.1
3294,1.2,-0.0,-0.0
2008,1.4,4.5,6.7
3450,2.3,0.0,0.4
3588,0.8,1.8,0.0
3303,0.9,-0.0,-0.0
2886,0.5,4.5,-0.0
3684,0.8,-0.0,0.0
3488,1.4,-0.0,-0.0
2005,2.3,-0.0,4.6
2969,1.6,-0.0,-0.0
2731,2.1,-0.0,0.0
3203,1.4,0.0,0.0
2842,0.1,2.1,2.6
3141,0.9,0.0,1.7
2359,1.1,2.3,0.0
2996,0.7,1.9,0.0
2740,0.9,2.5,0.0
3306,1.0,-0.0,-0.0
3697,0.9,-0.0,0.0
3551,3.1,0.0,5.6
2247,1.2,-0.0,3.1
2653,1.3,0.0,-0.0
3401,1.1,1.8,0.0
2217,-0.0,1.7,-0.0
3263,1.3,0.0,0.8
3218,1.1,-0.0,-0.0
2014,1.1,-0.0,-0.0
2975,0.9,0.0,5.5
2206,0.9,-0.0,0.0
2431,0.4,2.8,-0.0
2447,2.3,0.0,0.0
3720,2.3,-0.0,4.9
3742,3.3,3.1,8.4
3855,0.7,1.3,-0.0
3045,1.3,1.6,2.8
3423,1.8,4.0,5.9
3736,2.2,-0.0,0.0
3693,0.3,1.6,0.0
3005,1.5,2.6,4.7
2846,1.8,1.5,0.0
2340,2.8,0.0,4.9
2223,1.2,0.0,1.1
3558,1.9,-0.0,2.6
3980,0.9,2.6,0.0
2277,1.0,0.0,0.0
3101,1.4,0.0,-0.0
3676,0.9,1.3,0.0
2399,1.0,-0.0,-0.0
3542,1.4,0.0,0.0
