,x1,x2,x3
2783,1.1760175,0.6968417,1.7340038
2747,0.89106894,1.147958,0.88512576
3993,0.6277803,0.5788618,1.5727694
2468,0.67323977,0.48137134,1.646816
3144,-0.110896334,1.693603,1.5659078
2815,0.93937844,0.24164677,1.7776964
3958,0.8077035,0.64955586,1.5617644
3222,0.87317467,0.7930076,1.4230397
3964,0.8889653,0.7844278,1.6066386
3359,0.7939399,0.70134497,1.3559377
3374,1.2931104,0.26942134,1.7017959
3793,0.16597828,1.3670938,1.5548198
3262,0.6660651,0.96942645,1.4872737
2800,1.0025294,0.50178546,1.3974369
2296,0.70875835,0.7500781,1.7516118
2275,0.8366244,0.8412399,1.5009797
3033,1.095802,0.4172417,1.4065102
3923,1.0085307,0.9293798,0.7576437
2598,0.63751113,0.8141459,1.5302929
3086,0.18575041,-0.3650118,3.2648983
3943,0.7195331,0.69958186,1.5052007
2260,0.6150782,0.7129058,1.4395236
3452,0.734611,0.92162704,1.6553382
2336,-0.13862385,1.6809038,1.5514069
3946,0.763221,0.6787829,1.4644245
3950,-0.07908173,1.4319406,1.4038883
2566,0.69556,0.82144517,1.5986587
3219,0.74399817,0.68742055,1.5969712
2886,0.67372936,0.7723617,1.4707584
3611,0.53664225,0.9283573,1.6160583
2195,1.8142203,0.34564507,0.7778142
3291,1.2457192,0.60914123,1.0934738
3751,1.0000172,0.6431362,1.6350582
2093,1.3635458,1.4317598,0.28637347
2447,1.0738618,1.102525,1.2339196
2051,0.68646055,1.0834395,1.6371965
2019,1.1763598,0.41065425,1.6934654
3845,2.7594817,2.9563017,-1.9697535
2386,0.853963,0.6730112,1.5701964
2227,0.5102769,1.0171925,1.6158444
2632,0.1347769,1.4842185,1.6167347
3184,0.26311672,1.480269,1.7259312
3220,1.1422167,0.3503526,1.675471
3236,1.2083678,0.60720307,1.1916132
2583,1.158149,0.48547983,1.4371898
2005,1.35715,0.38729513,1.7013284
2392,-1.153471,2.7565775,1.5150373
3505,0.075927876,1.3250355,1.5750043
3907,0.56868964,1.1941411,1.6005695
2870,0.6013767,1.0936596,1.728274
3667,0.04724734,1.2736653,1.7138047
3750,0.53747594,1.0517529,1.6141671
3398,0.55619437,0.8613963,1.3596845
2205,0.5848771,0.77660954,1.4804072
2599,-0.2998407,1.7739516,1.5052868
3067,1.4319394,0.21116653,1.6180118
3927,0.4775148,1.1297548,1.6375984
3170,0.89034927,0.77965015,1.675949
2938,0.17714176,1.0236378,1.9685249
2947,-0.45594454,2.0877824,1.568201
3296,1.1293194,2.1721628,3.3574328
3526,0.2379859,1.5520722,1.6834344
2843,0.4496477,0.9939576,1.85348
2030,0.37676418,0.9593318,1.5725594
3694,0.6229559,0.7642184,1.6430368
2488,0.9411036,1.0583314,1.2028439
2738,0.07755378,1.3237232,1.6708846
2585,0.58562046,0.8458302,1.4224828
2098,0.39098585,1.1793637,1.587108
3330,1.4580678,0.22528708,1.4768212
2920,0.4592471,1.1023552,1.6882372
2390,0.9917924,0.7572646,1.7367448
3234,0.98421496,0.65491825,1.6408272
3156,0.41357645,1.2450386,1.6726087
2478,0.5686561,1.1708133,1.5747039
2242,0.060622312,1.3277918,1.638444
3690,0.93044096,0.76593745,1.5826566
2799,1.2203223,0.44254357,1.576716
3311,0.71176213,0.8135285,1.6238465
2726,1.2773418,-0.22839034,2.1206207
3595,1.0991852,0.2962125,1.5587301
3593,1.5636337,1.141793,0.45084733
3163,0.49671876,0.9806125,1.4547701
3436,0.99506354,0.6919102,1.6562645
3207,-0.240899,1.6030256,1.6638489
2288,0.5538282,0.98260045,1.5753646
2597,0.30278444,1.3627664,1.654346
2326,1.0287572,0.38345283,1.384418
3528,1.5131121,0.15622127,1.5240785
2907,0.85626584,0.5761231,1.5506622
2514,1.031867,0.56643313,1.5097796
3785,0.51686007,0.9707829,1.3183353
