ix,goal_cost,intv_cost
2696,0.952,4.4
3867,0.954,4.9
3778,0.968,5.9
3727,0.954,5.1
2313,0.952,8.3
3809,0.96,10.7
3983,0.96,9.700000000000001
3318,0.96,11.1
3556,0.966,12.7
3468,0.954,5.6
3803,0.962,8.0
3996,0.954,3.8
2295,0.954,3.6
2527,0.9559999704360962,5.5
2409,0.954,4.0
2442,0.958,3.9
2977,0.958,5.1
2844,0.952,7.5
2808,0.958,11.0
2029,0.956,13.9
3282,0.966,15.3
3712,0.954,7.199999999999999
3519,0.952,7.199999999999999
3849,0.952,3.6
2398,0.954,4.3
2657,0.956,15.3
2627,0.96,8.7
2213,0.966,4.1
2475,0.952,6.7
2077,0.952,9.600000000000001
3136,0.954,13.100000000000001
2364,0.952,10.9
3157,0.956,5.5
3885,0.952,4.1
2280,0.952,3.3
2430,0.962,7.9
3557,0.954,4.9
3267,0.956,6.2
2357,0.954,11.2
2115,0.954,5.0
3252,0.958,4.1
2156,0.956,8.9
3597,0.952,5.1
2750,0.952,4.0
3373,0.962,11.0
3957,0.954,7.4
2879,0.964,4.300000000000001
2954,0.954,9.5
2407,0.952,3.5
3058,0.97,3.8000000000000003
2536,0.9580000042915344,4.5
3153,0.958,7.0
3241,0.952,4.3
3400,0.954,7.699999999999999
3538,0.956,3.1
2012,0.96,5.7
3248,0.952,5.800000000000001
2866,0.962,7.6
2554,0.952,16.6
2118,0.952,6.5
2805,0.958,9.0
3485,0.958,6.4
2468,0.952,5.6
2328,0.952,3.6
2186,0.956,3.4000000000000004
2615,0.952,4.7
3900,0.958,8.3
3289,0.968,4.9
2303,0.952,3.5999999999999996
3950,0.96,5.0
3214,0.96,7.9
2314,0.952,8.2
2605,0.96,6.1
3459,0.952,5.1
3378,0.96,7.3
3004,0.956,8.2
2652,0.956,8.3
3348,0.966,7.2
2995,0.952,4.2
3218,0.954,8.5
3946,0.964,7.3
2011,0.954,3.5
2171,0.952,6.0
3424,0.956,4.9
2470,0.954,4.1
2960,0.952,6.5
2525,0.952,3.4
2120,0.958,3.2
3146,0.952,5.5
3916,0.968,5.6
3637,0.964,8.1
3882,0.954,7.2
3952,0.96,3.7
3169,0.956,3.3
2478,0.952,7.800000000000001
2296,0.964,6.3
3761,0.96,6.2
3922,0.96,8.4
3388,0.96,3.8
2498,0.958,3.3
2909,0.952,4.2
3962,0.964,4.9
3813,0.954,7.6000000000000005
3405,0.952,8.600000000000001
2880,0.962,3.9
2739,0.96,9.4
2396,0.956,4.199999999999999
3147,0.966,4.0
2076,0.9520000219345093,8.0
3148,0.954,11.9
2374,0.962,3.1
3714,0.956,8.0
3834,0.96,5.9
2287,0.962,7.5
2710,0.966,4.9
3030,0.962,4.2
3661,0.952,4.0
2521,0.962,13.3
2179,0.954,3.0
2904,0.958,6.199999999999999
2984,0.952,3.5
2455,0.954,8.399999999999999
2187,0.962,5.0
3918,0.96,12.399999999999999
2482,0.952,12.2
3715,0.962,9.1
2574,0.956,9.7
3656,0.954,3.2
3720,0.956,6.8
2476,0.956,6.300000000000001
2550,0.962,7.1
3195,0.956,3.0
2429,0.952,3.8000000000000003
2673,0.952,10.6
3204,0.954,3.9
3302,0.956,6.5
2927,0.954,3.4000000000000004
3283,0.952,7.6
2173,0.952,3.5
3417,0.956,10.8
3896,0.962,7.8
2516,0.952,3.3
3692,0.952,7.199999999999999
2142,0.96,9.2
3634,0.96,3.8
2963,0.97,5.6
3151,0.952,8.8
2467,0.954,6.3
2411,0.952,5.0
2863,0.954,3.6
2416,0.9539999961853027,6.0
2556,0.954,6.9
2859,0.954,3.1
3651,0.96,15.4
3701,0.962,8.9
3005,0.952,4.1
3208,0.952,3.8
2133,0.954,8.2
2917,0.954,3.1
2214,0.952,3.2
2135,0.954,4.7
2200,0.968,5.2
3315,0.958,2.9000000000000004
2812,0.958,11.5
2045,0.954,10.1
3060,0.958,3.1
2800,0.964,5.4
3333,0.958,5.699999999999999
3119,0.956,9.5
2418,0.954,5.0
3288,0.952,8.9
2782,0.952,8.600000000000001
3972,0.958,12.7
2009,0.956,7.8
2786,0.96,7.3
2547,0.954,4.6
3140,0.952,3.3
2161,0.966,3.8
3724,0.972,10.3
2565,0.956,3.6
2306,0.958,5.8
3901,0.954,8.600000000000001
3291,0.954,3.8
3725,0.954,3.6
3231,0.958,9.8
2774,0.962,4.0
3512,0.952,5.5
3713,0.952,11.3
3279,0.954,3.5
2723,0.954,10.2
3505,0.952,5.1
3412,0.954,3.3
3931,0.954,7.2
3294,0.954,3.1
3322,0.962,5.9
2788,0.968,2.9
2358,0.958,7.5
3000,0.952,3.5999999999999996
3434,0.964,6.3
2109,0.954,7.699999999999999
