ix,goal_cost,intv_cost
2143,1.0,1.0
2087,1.0,1.7999999999999998
3204,1.0,1.9
3701,1.0,3.3999999999999995
2399,1.0,3.5
3048,1.0,3.5
2989,1.0,2.1
3970,1.0,1.4
3282,1.0,2.6
2664,1.0,4.0
2221,1.0,2.4
3225,1.0,1.4
3111,1.0,2.6
2355,1.0,4.2
2963,1.0,1.3
2663,1.0,4.6
3692,1.0,8.2
3215,1.0,0.1
2036,1.0,0.30000000000000004
2211,1.0,3.8
2985,1.0,1.8
2293,1.0,5.7
3914,1.0,3.5
3299,1.0,4.9
3188,1.0,3.5
2390,1.0,0.2
2366,1.0,10.5
3481,1.0,3.0
3492,1.0,2.5
2766,1.0,2.1
3998,1.0,2.6
3675,1.0,7.9
2653,1.0,1.1
2618,1.0,2.0
3842,1.0,2.3
2283,1.0,1.8
3291,1.0,3.5
3431,1.0,6.3
2717,1.0,4.699999999999999
3816,1.0,6.4
3812,1.0,0.2
3088,1.0,1.8
3266,1.0,2.0
3385,1.0,5.3
3106,1.0,3.3000000000000003
3279,1.0,1.1
3444,1.0,2.2
3109,1.0,0.5
2686,1.0,0.7
3257,1.0,2.8
2184,1.0,1.3
3276,1.0,6.2
3170,1.0,4.3
3971,1.0,10.2
3190,1.0,0.4
3829,1.0,4.3
2340,1.0,4.9
2611,1.0,5.9
2314,1.0,1.7000000000000002
3462,1.0,2.7
2341,1.0,1.7000000000000002
2193,1.0,0.2
2058,1.0,4.5
2097,1.0,7.2
2882,1.0,0.7999999999999999
3319,1.0,3.5
3813,1.0,0.6
3415,1.0,6.6
2951,1.0,0.9
3617,1.0,6.1
2696,1.0,3.9000000000000004
3520,1.0,0.6
3874,1.0,1.6
3778,1.0,8.1
2481,1.0,3.6999999999999997
2992,1.0,2.7
3585,1.0,0.5
3608,1.0,2.0999999999999996
2095,1.0,1.3
3294,1.0,1.5
3078,1.0,3.8
3772,1.0,15.600000000000001
2830,1.0,2.0
2198,1.0,1.4
3292,1.0,3.4000000000000004
2260,1.0,1.1
3530,1.0,6.0
2137,1.0,0.30000000000000004
2672,1.0,1.2
3521,1.0,6.699999999999999
3607,1.0,5.6
2558,1.0,1.5
3387,1.0,1.5
3790,1.0,4.5
2012,1.0,3.4000000000000004
2557,1.0,8.2
3150,1.0,2.8
2100,1.0,1.9
2350,1.0,3.4000000000000004
2339,1.0,3.9000000000000004
3045,1.0,2.0
3614,1.0,2.1
2459,1.0,1.4000000000000001
2520,1.0,3.3
2540,1.0,3.1999999999999997
3804,1.0,7.3999999999999995
3694,1.0,3.9000000000000004
3669,1.0,2.5
3000,1.0,4.699999999999999
2356,1.0,4.0
3327,1.0,4.5
3740,1.0,0.1
3646,1.0,2.7
2628,1.0,0.8
3157,1.0,0.30000000000000004
2697,1.0,1.5
2479,1.0,2.7
3667,1.0,0.30000000000000004
2125,1.0,0.8
2379,1.0,2.0
3181,1.0,4.6
2456,1.0,9.8
2075,1.0,12.9
3295,1.0,1.9
2420,1.0,5.300000000000001
3043,1.0,10.899999999999999
2010,1.0,0.6000000000000001
2169,1.0,10.700000000000001
2901,1.0,6.800000000000001
3424,1.0,7.1
2941,1.0,1.2000000000000002
2372,1.0,4.0
3690,1.0,5.9
2771,1.0,4.6
2711,1.0,0.4
3212,1.0,1.2
3077,1.0,5.699999999999999
2744,1.0,1.1
2050,1.0,0.7000000000000001
3982,1.0,3.0
3337,1.0,3.8
3627,1.0,4.800000000000001
2955,1.0,4.199999999999999
3973,1.0,2.8
2363,1.0,6.8
3582,1.0,7.7
3929,1.0,3.7
3711,1.0,1.5
3244,1.0,5.9
3271,1.0,2.8
3019,1.0,6.0
3888,1.0,1.7
3083,1.0,9.5
3747,1.0,3.8
3556,1.0,7.699999999999999
3010,1.0,2.2
3375,1.0,2.1999999999999997
3866,1.0,0.2
3158,1.0,3.2
2388,1.0,5.0
3671,1.0,3.4
2292,1.0,0.7000000000000001
3206,1.0,1.2
3547,1.0,3.0
2775,1.0,8.1
2116,1.0,5.9
2749,1.0,6.300000000000001
3119,1.0,6.5
3209,1.0,8.8
2482,1.0,2.6
3708,1.0,1.9
2029,1.0,0.1
2593,1.0,3.5
2084,1.0,11.700000000000001
3085,1.0,2.4000000000000004
2288,1.0,1.1
2545,1.0,1.9
3239,1.0,3.0999999999999996
3698,1.0,5.2
2637,1.0,2.7
3064,1.0,3.2
3566,1.0,7.6000000000000005
3234,1.0,4.8
2966,1.0,1.9
3541,1.0,1.0
3347,1.0,0.5
3590,1.0,3.3999999999999995
2967,1.0,7.699999999999999
3552,1.0,8.6
2583,1.0,5.9
3508,1.0,0.5
2911,1.0,5.699999999999999
2525,1.0,2.4000000000000004
2345,1.0,2.9
3437,1.0,3.3
2728,1.0,3.8
3756,1.0,5.3
2397,1.0,5.6000000000000005
3783,1.0,1.8
3925,1.0,6.699999999999999
