,h_post,h_post_individualized
3340,0.5001205049414937,
2248,0.5179962777941451,
2190,0.710064777541043,
3371,0.6280006405076817,
3716,0.5417781967083758,
2470,0.7916203902434711,
3945,0.5207030367548134,
2113,0.5178459935514262,
3505,0.5001913205221076,
2730,0.5066607313900825,
3339,0.5016205255096837,
2220,0.5012122039263536,
2726,0.5026207076310917,
3694,0.5101672169611424,
3586,0.5005998016595518,
3783,0.5100751064124153,
3622,0.5044629935333954,
2144,0.5035114999630486,
2277,0.504941534373365,
3886,0.5070947600314738,
3342,0.502874202315439,
2433,0.5013076350100935,
2514,0.5025644114723299,
2517,0.5103246239883743,
3248,0.5116402350985879,
3259,0.5073828765409677,
3357,0.5000973163560016,
3644,0.6468354805977147,
2063,0.5007354604167218,
2659,0.5033900641717618,
3853,0.5086854897522242,
2541,0.5119921497153549,
3848,0.5024560632447925,
3789,0.5051417019837283,
3842,0.5005225509996164,
2909,0.5198172118394074,
2197,0.5093651128903033,
3475,0.5239734814698854,
3000,0.5054202544194054,
2723,0.5013276549659031,
2238,0.5143985199122045,
3027,0.5086554863433748,
2441,0.5051783200705373,
2691,0.5038656859542777,
3600,0.5026205784559765,
3846,0.5091931363222353,
3987,0.5155587663869999,
3160,0.5065787670686315,
2806,0.5032432208518324,
3824,0.5025609578842724,
2343,0.5093322709764947,
2942,0.5374918261747792,
3527,0.5086906496956929,
3899,0.5063036767566219,
3918,0.50740550679691,
3676,0.5918973491455775,
3669,0.5989487062183235,
2407,0.5068631318262261,
2510,0.5113187810532261,
2738,0.5011311028488332,
2484,0.5016637077271817,
3946,0.5011462169978854,
3917,0.5127808598698662,
3727,0.5015174967138181,
2299,0.5018762739283914,
3556,0.5084203826459475,
2953,0.5054325830234239,
3773,0.5087150172068173,
3199,0.5484058064162927,
3840,0.5010827232197628,
2934,0.6169368688716252,
2912,0.5261136403665485,
2356,0.5066694920423254,
2516,0.5085839482532343,
3276,0.7707582956553936,
3279,0.5749692216092736,
3194,0.5014226504476479,
3227,0.5006545950856814,
2068,0.5602178913493904,
3315,0.5108016783260179,
2778,0.5154920435083526,
3193,0.5179733704230736,
2782,0.5064246313139326,
3156,0.501691681667122,
3288,0.5048342257719505,
2379,0.6108922797667707,
3988,0.518858847984665,
2453,0.5080345257534301,
2818,0.5128978099516456,
2164,0.576876930121575,
3123,0.5031554856090238,
3763,0.522704562017527,
2392,0.5056392195754765,
2258,0.5043706797659288,
2599,0.5107055804782227,
3830,0.5002384106458264,
2439,0.5157458801085915,
2794,0.5022216526322647,
2985,0.5059684876192532,
2136,0.5035719026094436,
2570,0.5013759242782225,
3986,0.5147928321588521,
2118,0.5106987054589046,
2104,0.5018552899630231,
2875,0.5115098691451058,
2737,0.5031139003012066,
3518,0.5087929139683847,
3050,0.6375990269514984,
3337,0.6004773498028176,
2340,0.5086367988102318,
2378,0.507715499760482,
3125,0.5001669691587165,
2491,0.5083590363082355,
2567,0.5117113271643117,
2932,0.6180440582933138,
3940,0.6625273171323642,
3675,0.505404981628666,
3273,0.5093321084018034,
2843,0.5227341897410572,
3064,0.5109199805092745,
3966,0.5066976710311292,
2020,0.5149732201553688,
3724,0.5076589008080187,
2100,0.5013091509844979,
2884,0.5356450283548695,
2707,0.5013705648370551,
3363,0.5112660052585714,
2333,0.664744641477853,
3506,0.5124640942372478,
2687,0.5038545824324391,
2682,0.5973574259168409,
2872,0.5178640315543475,
3776,0.5043173879171637,
2212,0.5095986902766607,
2684,0.5057321018702611,
2963,0.5055996070627774,
3268,0.5151455569192123,
2769,0.5083514200618306,
2393,0.5077005236597294,
3323,0.5064209170956071,
3844,0.5736489725528822,
3020,0.7024408331839762,
2601,0.5030136066992567,
3935,0.5103351469970773,
3702,0.5085857755790704,
2344,0.5745145571447867,
3465,0.5101608979511054,
3680,0.5018478292067107,
2169,0.5158797583049153,
3399,0.5078116062065059,
2740,0.5040302107963621,
3914,0.5046352912925296,
3198,0.5057942649263687,
2280,0.5037353520511383,
3907,0.5013683579125049,
2849,0.5088396157347226,
3580,0.5126994616669031,
2035,0.5023422156969137,
2328,0.5139450571940158,
2475,0.5026153829049055,
3378,0.5042017820141241,
2536,0.6376988590080996,
2276,0.5181827762637201,
3009,0.5074259813517817,
2175,0.5247765619121457,
3178,0.5159100507595858,
3467,0.5084060262168681,
2301,0.5092960162113572,
2173,0.5030968114385983,
3130,0.5082189470976711,
2925,0.5117074042459924,
3800,0.5028941101303341,
2869,0.5147205632271848,
3900,0.5391653584269117,
2795,0.5157755440541381,
3034,0.5005895455525534,
2586,0.5170136964245355,
3722,0.5034051630467095,
2058,0.5002732177268189,
3079,0.5004917870348017,
2193,0.5043261064475929,
3240,0.5112094648705455,
2734,0.5166316337992126,
3253,0.5015077740030185,
2012,0.5025733586109131,
2879,0.5113110920079489,
2065,0.5000474111481974,
3858,0.5992528669514877,
3640,0.5204684837260682,
3798,0.5060268539927122,
2836,0.5169591857787968,
3243,0.5105631077535631,
2709,0.5022797084505737,
2720,0.5264318333282093,
2783,0.5142308026259332,
3525,0.5518547849309295,
3859,0.5019512671148999,
2949,0.6530026342194978,
2840,0.5120937164142411,
3271,0.5020994237022143,
