,x1,x2,x3
2778,0.48054066,0.32417837,1.4099996
2356,1.0640467,0.20264082,1.0433818
2995,0.2321494,0.80686265,1.121284
3654,0.17410749,0.7648547,1.2112302
3332,-0.19851343,1.9688569,0.27201685
3945,0.96589845,-0.071852386,1.2433127
3056,-0.6945725,1.6344829,1.2467554
3035,0.024628067,1.1121702,0.94859314
3448,0.38177282,0.32122496,1.5249338
2551,0.4017711,0.49762303,1.2622159
2215,0.12144473,0.91582,1.1321554
2581,-0.22946472,0.9250041,1.338774
2399,0.64736503,0.22550723,1.2863764
3413,0.36350423,0.3225225,1.4636472
2221,0.3414215,0.76526266,1.1215824
3787,0.48168024,0.71010983,0.9550049
3801,0.48892355,0.33996055,1.2517321
3906,0.3955318,0.6589812,1.131524
2056,0.23200187,0.81842136,1.1237023
2422,0.45365995,0.56112266,1.1350359
2508,0.90988487,0.33455813,1.0215658
3406,0.35721412,0.59131753,1.11174
2401,0.322094,0.74346846,1.0471011
2403,0.8465383,0.34431654,0.93744385
3918,0.82090575,0.20121579,1.1439214
3770,0.7679621,0.038705397,1.3315086
2366,0.33277535,0.7524057,1.1227036
3348,-0.2980523,1.3178948,1.120316
3752,0.52642834,0.23369193,1.3694787
3503,0.42603722,0.5791528,1.1820911
2816,0.40629762,0.39751792,1.392232
3029,0.19713864,0.8503631,1.1524951
2417,0.017256236,1.0158107,1.1443174
2063,-0.10309638,1.4764543,0.86255515
2990,0.079186164,0.5490171,1.344649
2048,0.14007299,0.62273043,1.4859928
2333,0.23345609,1.1627659,1.3602619
3708,0.39184952,0.07777357,1.808852
3847,0.3346479,0.72888446,1.0655867
3139,0.29656938,0.33399323,1.5532117
3592,0.5716362,0.26528487,1.280127
3273,0.6422772,0.53312093,1.0757123
3969,0.2913766,0.27762562,1.6214199
2663,1.4901543,0.27361,0.46607274
3002,1.0741999,0.26278415,0.81620276
2534,0.3397824,0.74397933,0.9979091
2487,0.60004455,0.34450847,1.2980046
2660,0.33874568,0.5826317,1.0354859
3996,-0.028049827,1.1137283,1.088304
3580,1.2501097,-0.24561402,1.1875943
2602,0.26710442,0.7136972,1.1299533
2952,0.9218034,0.2646567,0.9216503
2357,0.3601086,0.7855507,1.1114162
3077,0.4606584,0.47700015,1.0260139
2047,0.83830726,0.29398295,1.0789319
3532,0.24043123,0.78745943,1.1776049
2623,-0.56491274,1.6720963,1.0102171
3072,0.43714616,0.38798326,1.2558846
2360,-0.33054465,-0.37001204,2.773355
2611,0.64010274,1.7675711,1.1077795
2051,-0.43280047,1.5543653,1.0372361
2700,0.85550785,0.19265406,1.1131905
2065,1.1979836,-1.1698297,2.111895
2553,0.25401792,0.51620173,1.4812921
2649,0.4189528,0.45610183,1.2593758
2078,0.15826136,0.6981176,1.3001301
3178,-0.007523775,0.6553706,1.4830452
3216,-0.06565104,0.77103317,1.3010426
2421,0.49683216,0.33298978,1.3208984
2291,0.07843433,1.0675067,0.98913765
2050,1.1761982,-0.43408924,1.461376
3810,0.61455065,0.35185766,1.0972905
3911,0.06299272,0.82537687,1.2928551
3181,0.5692927,0.18681899,1.390416
2717,0.20835954,0.45300245,1.2360291
3123,0.22770992,1.8603297,0.16345152
2096,0.21702352,0.8487002,1.1296659
2473,0.6862242,0.46107745,0.9831452
3291,0.22200628,0.8404811,1.0434495
3336,-0.03268935,0.23313178,1.9448572
2518,-0.0143277645,0.7908747,1.2187386
3746,0.9146021,0.55496323,2.1793406
2491,-0.7199012,0.95935714,1.7240031
3488,1.0204167,0.34539083,0.7991558
3721,0.32564825,0.74066246,1.0392795
3492,-0.7621617,0.659558,2.2663841
2872,0.35500178,0.3996842,1.342623
3136,0.98638076,0.03275751,1.1908818
2802,0.67671365,0.4479865,0.9937028
3539,-0.6555139,1.3599578,1.4576931
2865,2.7528355,-0.5485705,2.3591037
2406,0.59015995,0.4827455,0.9927139
3594,0.23204198,0.86524975,1.1079624
2409,1.3492804,1.5159506,-0.68876475
2252,0.43467465,0.45826122,1.1398019
2539,-0.1963747,1.2664138,1.045212
3722,0.12388671,0.97516125,1.0397457
3360,0.30340704,0.23662542,1.5336055
3495,0.27312818,0.62495786,1.2148021
3766,-0.00018703938,0.85440195,1.2698536
3026,1.450717,-0.3786031,1.0400183
2164,0.18888071,0.7920623,1.2091198
2509,0.5518862,0.89480615,0.6502142
2685,0.14942232,0.44316468,1.5085883
2780,0.90112734,0.082861625,1.1783521
2913,0.61414003,0.95665157,1.4596689
2083,0.18149814,0.9745591,0.9099652
2347,0.3344416,0.5998743,1.187614
3310,-0.40634933,1.1959833,1.3492413
2439,0.76485914,-0.2972508,1.6722523
2194,0.72715634,0.330161,1.0844386
2108,0.2768903,0.25388473,1.6553009
3398,0.1849967,0.7212283,1.2431313
3344,0.4542983,0.38410068,1.2339598
3748,0.56600803,0.33843818,1.2230332
2899,0.3835117,0.5662058,1.2042241
3657,0.81689006,1.2124368,0.051555444
2330,0.9292718,-0.1288496,1.210465
3846,0.3755966,0.7192642,1.0069652
2967,0.55158156,0.88912606,0.73157007
3896,-0.03346295,0.8675724,1.210377
2178,0.3278777,0.7412977,1.0609276
2134,0.24881987,0.87022865,1.0143092
3275,0.2804672,0.558253,1.278208
3567,0.71688944,0.2838691,1.1291034
2453,0.38047066,-1.217258,2.9046087
2769,-0.11440511,1.8529809,0.34326714
2564,0.8771911,0.19081974,1.1303967
2755,0.40112436,0.6468942,1.0578109
3590,0.28254634,0.7576086,1.1715139
2147,1.3795495,-0.7739917,1.5688831
3486,0.24747261,0.94413567,0.92547137
2365,-0.100982234,1.1166865,1.112489
3937,-1.5575776,1.3742062,2.2957458
3620,-0.395449,0.9905231,1.4081693
3141,0.4984062,0.5754049,1.1783038
3230,0.34902483,0.35749492,1.4562532
2542,0.5493925,0.4751714,0.9933805
3342,0.6166498,-0.42636406,1.965916
3840,0.51656014,0.5625969,1.0827683
3760,0.53891677,0.4825145,1.0272862
2879,0.6717892,0.3357727,1.2169273
3951,0.4814759,0.6184242,1.1434097
2388,0.93162626,0.26650873,0.95916903
3882,0.9049261,0.22876582,1.1125747
3987,0.5128728,0.5801133,1.099714
2099,0.47543478,0.30282623,1.3638362
3168,0.8232101,-0.3440959,1.8065667
2450,0.26666036,0.6011781,0.9575499
3363,-0.6139237,1.6075962,1.1261219
2659,-0.6845784,1.1034387,1.7230184
2155,-0.77262807,1.2084602,1.6919118
3596,0.68252784,0.0452513,1.4639359
3042,0.18493372,0.7933527,1.1316644
2807,0.6875518,0.34123525,1.1221842
2971,0.10617581,0.96786714,1.0904592
2301,0.40137652,1.146262,0.6082231
2525,0.03363201,1.163959,1.0283115
3215,0.67179066,0.13299689,1.2432599
2945,0.32631105,0.5578848,1.2412661
2798,0.50497866,0.57153183,1.0831426
3912,0.19489393,0.46384975,1.4034146
3270,0.5062013,0.62698114,1.034949
3094,1.6433703,0.11363311,0.4046237
2869,0.73942006,0.25926012,1.2022105
3872,0.38495052,0.5648063,1.2574189
3856,0.30608475,0.30738473,1.428956
2782,0.30188218,0.49885613,1.1992
3976,0.2356031,0.80736077,1.0770477
2752,0.39760605,0.640387,1.1669697
2321,0.9233985,0.07135713,1.1903193
3086,0.75155264,0.29982,1.1340462
3382,0.70924014,0.278936,1.1837612
2855,1.2001189,2.1646385,0.96899754
3466,-0.10874834,1.1226547,1.1239394
3519,0.96540684,0.57232034,0.72997046
3676,0.118401974,0.68476605,1.2718824
3101,0.11252828,0.9333875,0.977463
3927,0.4613605,1.3857057,1.331147
2385,-0.35973948,0.8705212,1.7017385
2323,0.6075106,0.55777204,1.0875311
2059,0.060513567,0.90409833,1.220825
3414,0.22148336,0.6740724,1.1932496
3739,0.34023568,0.80028844,0.963151
2489,0.9674565,0.016076792,1.0667048
2419,0.21259758,-0.17630248,2.0683782
3514,0.50035995,0.2594126,1.3766718
3891,0.7071086,0.3187096,1.0504634
2353,0.1836541,0.53673494,1.3876253
3234,0.62396616,-0.21680829,1.7432956
3981,-0.16071591,1.1599921,1.1781496
3883,0.23024513,0.7586175,0.97813284
3186,0.7223102,0.7803805,0.512685
3635,0.36109504,0.49740615,1.3079932
2464,-0.23153475,0.82668245,1.5408787
3068,0.27389368,-0.0266716,1.8848289
2368,-0.1984997,1.3091761,1.055316
2540,0.67310846,0.35931563,1.157442
2041,1.3286717,-0.8198286,1.5779016
3817,0.8264852,0.2816677,1.062473
