,x1,x2,x3
2663,1.0,1.8,2.8
3138,0.0,1.3,1.3
2704,0.1,0.8,1.6
3074,1.9,1.3,3.4
3183,0.6,1.5,2.2
3105,0.9,0.2,0.9
3387,1.1,1.8,3.3
2767,2.2,2.7,5.3
3330,1.4,1.4,2.6
2135,1.4,1.1,2.6
2799,0.2,0.9,1.3
3662,1.4,2.2,3.9
3825,0.2,1.6,2.8
3490,0.3,2.9,3.1
3024,0.3,1.4,1.5
3998,0.5,2.5,4.2
2046,1.4,2.5,4.0
2177,1.7,1.6,3.5
2300,1.9,1.3,3.4
3249,1.1,1.8,2.1
3996,1.8,3.2,5.4
3340,0.4,1.1,1.5
2215,1.4,3.0,4.7
3075,1.1,1.3,2.4
3989,1.0,2.5,3.8
3423,0.2,1.6,1.8
3644,1.0,3.8,4.8
2988,1.7,0.4,2.5
3812,1.3,0.1,1.2
3154,1.2,1.8,4.4
3446,0.4,0.8,3.1
2497,2.0,3.0,5.0
3319,1.9,2.8,2.8
2442,1.7,1.9,3.8
3452,0.1,0.5,3.5
2313,2.3,2.7,5.1
3528,-0.0,1.0,1.5
2648,2.0,0.5,2.8
3057,1.3,1.4,2.8
2546,1.6,1.9,4.0
3670,0.0,2.6,2.7
2500,0.9,0.9,0.7
2669,0.6,1.1,0.9
2344,0.1,2.6,2.9
3969,2.9,1.8,4.5
2561,1.3,0.3,1.7
2146,0.5,1.7,2.4
3760,1.3,1.6,1.1
2791,0.0,1.7,1.8
2314,0.9,1.2,2.6
2613,0.1,1.9,2.2
2965,1.1,1.5,2.6
3052,0.6,0.3,1.3
3959,1.9,2.7,4.8
2776,0.3,2.1,2.5
3537,0.6,1.4,2.6
3689,2.6,3.2,5.6
3731,0.8,4.2,5.2
2161,0.8,2.3,3.3
3775,2.3,2.5,5.4
3350,1.1,0.7,1.8
3471,0.2,0.7,1.4
3491,1.7,2.2,5.2
3199,1.8,1.4,3.0
2849,0.8,0.6,1.4
2678,1.5,2.3,4.2
2297,0.3,2.1,2.5
3356,1.5,1.6,3.3
2479,0.1,0.7,1.5
2649,2.0,0.5,2.6
2075,0.1,1.4,2.1
2138,1.3,2.3,3.7
3519,1.3,0.4,1.6
3868,1.4,3.4,4.9
3109,1.8,0.2,4.0
3445,0.6,0.8,2.2
2936,0.3,3.1,3.2
2913,1.7,2.1,4.4
2434,1.3,2.6,3.8
2873,1.0,1.5,3.0
3412,0.1,2.1,2.1
2061,1.1,2.0,3.0
3842,1.2,1.5,3.1
3294,1.1,0.5,1.4
2242,2.1,1.8,3.6
2974,0.3,1.3,1.6
2869,1.1,0.9,2.8
3099,0.0,0.5,1.5
2631,1.5,2.3,4.2
3960,0.7,1.5,2.4
2857,1.0,1.9,2.8
3932,0.6,0.9,1.5
3531,0.4,2.6,4.0
2619,0.7,1.3,2.1
2926,1.6,0.0,2.3
2679,1.5,2.3,4.0
2904,1.2,2.1,3.1
2090,2.5,2.8,5.5
2793,0.3,1.8,2.1
2326,2.5,0.4,3.0
3054,0.5,1.5,2.0
2190,1.0,0.0,1.1
2566,1.8,1.7,4.2
2666,0.6,1.0,1.5
2964,3.3,3.0,6.3
3841,2.1,1.2,3.1
3678,1.0,0.8,2.2
2060,1.3,0.5,0.2
2357,1.2,0.3,0.7
3106,0.6,1.8,2.6
2345,1.3,1.2,2.6
2188,0.5,2.5,2.5
2488,1.7,2.4,3.9
2814,2.2,4.2,6.2
3458,0.5,2.6,3.3
2946,0.1,2.0,2.1
3152,1.6,2.8,4.4
3200,0.3,1.6,2.2
3995,0.6,1.2,2.0
2487,2.3,2.2,5.2
2428,1.5,-0.0,2.3
2471,0.1,1.8,1.8
2418,0.2,2.0,2.2
2650,0.6,1.2,2.4
3341,0.7,0.2,1.5
3150,0.0,1.4,1.2
2255,3.1,1.5,4.6
2415,1.5,1.3,2.8
3965,2.0,2.6,4.3
3151,1.9,3.1,5.5
3634,1.0,0.5,0.9
2306,0.4,1.4,1.7
2744,0.3,0.6,1.7
2028,0.8,0.2,1.9
2150,2.1,0.5,3.1
3141,1.8,0.9,2.7
2202,0.3,1.1,1.6
2961,1.3,0.3,1.8
2642,2.5,0.8,1.7
3014,0.2,2.1,2.3
3697,2.7,2.7,6.2
3184,1.0,3.2,4.7
2405,2.3,2.5,4.8
2097,0.7,0.9,1.3
3185,0.3,1.9,2.5
3307,1.2,3.2,5.1
2020,-0.1,1.7,0.9
3176,1.3,1.6,2.8
3607,1.5,1.5,2.8
3785,1.5,2.5,5.0
2200,0.9,0.1,1.6
2976,0.5,0.5,1.4
3867,0.4,0.7,4.2
2239,0.9,2.1,3.1
3261,1.6,0.3,2.3
3213,1.7,1.3,3.1
3435,1.3,0.6,3.1
3124,1.9,2.9,0.6
3986,0.4,1.8,2.6
2018,1.0,1.8,3.1
3488,0.4,2.3,3.1
2392,0.5,1.3,2.0
2192,1.3,0.2,4.3
3846,1.5,0.4,1.5
3773,1.0,0.5,1.5
2848,0.2,3.0,3.6
2103,1.8,1.2,4.1
2563,1.3,1.0,3.0
2183,3.0,1.1,3.9
2683,0.6,0.4,1.5
2635,1.7,4.2,6.1
2783,1.2,1.3,2.8
2269,0.2,0.5,1.4
2031,1.2,1.0,2.3
3168,2.3,2.6,5.9
3114,1.4,2.7,5.7
2957,0.5,2.5,3.8
2840,1.4,1.9,3.6
3148,1.4,2.6,4.0
3147,0.3,0.7,1.4
3921,0.1,1.3,2.3
2834,0.7,0.1,1.8
3324,1.5,0.1,1.8
3190,-0.0,2.4,2.9
3344,1.3,2.3,3.8
3940,0.5,2.2,4.0
2105,1.0,1.7,2.8
2337,1.3,0.0,1.0
3006,1.2,1.3,3.1
2551,0.5,4.5,6.0
3643,0.9,3.7,4.6
3783,1.5,3.0,4.4
2176,2.0,-0.0,1.4
2706,2.3,2.8,4.5
2422,0.9,2.0,3.2
3956,1.4,2.2,3.6
2395,1.5,1.2,2.8
2319,0.7,1.2,1.8
3089,0.4,1.2,1.8
2346,2.1,3.1,6.1
