ix,goal_cost,intv_cost
2293,1.0,0.6000000000000001
2045,1.0,5.1
2302,1.0,3.3
2649,1.0,3.4
2683,1.0,2.0
2658,1.0,0.9
3955,1.0,4.7
2261,1.0,3.5999999999999996
3408,1.0,6.2
2447,1.0,4.3999999999999995
3868,1.0,0.6
2214,1.0,2.7
2597,1.0,0.4
2488,1.0,2.5
2378,1.0,3.0999999999999996
2337,1.0,1.4000000000000001
2623,1.0,1.3
2829,1.0,7.0
3437,1.0,4.2
2660,1.0,4.2
2452,1.0,0.7
2786,1.0,0.8999999999999999
2213,1.0,6.4
3326,1.0,2.5
3072,1.0,9.899999999999999
3033,1.0,6.0
2785,1.0,2.4
3632,1.0,0.7
3188,1.0,1.0
3407,1.0,0.8
3082,1.0,2.1
3482,1.0,2.4
2674,1.0,2.2
2854,1.0,1.5
2637,1.0,0.6
2026,1.0,0.4
2922,1.0,0.8
2872,1.0,3.2
3146,1.0,0.8999999999999999
2842,1.0,6.199999999999999
3297,1.0,1.0
3898,1.0,3.2
2073,1.0,1.5
3060,1.0,2.0
2611,1.0,0.7
2927,1.0,2.2
3398,1.0,6.7
2085,1.0,3.8000000000000003
2358,1.0,1.0
2907,1.0,2.3000000000000003
2333,1.0,3.6
2815,1.0,1.1
3507,1.0,3.9000000000000004
2726,1.0,2.4000000000000004
3814,1.0,0.4
3878,1.0,3.8
2285,1.0,2.6999999999999997
3357,1.0,1.0
3942,1.0,0.2
3731,1.0,3.4000000000000004
2357,1.0,2.8000000000000003
2793,1.0,1.9
3512,1.0,2.0
2240,1.0,6.7
2887,1.0,2.6
2283,1.0,1.3
3312,1.0,0.1
2868,1.0,1.1
2143,1.0,0.5
3997,1.0,1.0
3521,1.0,4.1
2191,1.0,1.0
3409,1.0,5.7
3616,1.0,7.1
3247,1.0,1.7
3066,1.0,2.3000000000000003
2258,1.0,8.0
3246,1.0,4.7
3550,1.0,1.8
3618,1.0,0.4
3636,1.0,1.1
2652,1.0,1.3
2180,1.0,4.3
2974,1.0,0.3
2076,1.0,0.7
2603,1.0,3.5999999999999996
2309,1.0,0.30000000000000004
2208,1.0,0.9
3467,1.0,1.7
2562,1.0,6.300000000000001
2344,1.0,2.1
3496,1.0,0.8
2247,1.0,7.1
3020,1.0,0.8999999999999999
2545,1.0,0.30000000000000004
3742,1.0,1.9000000000000001
2252,1.0,3.3000000000000003
2890,1.0,2.7
3042,1.0,1.8
3181,1.0,6.800000000000001
2441,1.0,2.5
3606,1.0,7.0
2601,1.0,4.5
3722,1.0,4.1
2521,1.0,1.4000000000000001
2271,1.0,5.3999999999999995
2755,1.0,1.2000000000000002
2706,1.0,4.1
3279,1.0,1.5
3916,1.0,6.6
2677,1.0,4.4
3138,1.0,0.5
2260,1.0,0.2
3687,1.0,0.5
2632,1.0,0.7
3338,1.0,5.0
2031,1.0,0.7
2695,1.0,1.1
3647,1.0,1.6
3147,1.0,13.899999999999999
2602,1.0,3.7
3828,1.0,0.7
2681,1.0,2.7
2232,1.0,2.8
2104,1.0,7.6
3691,1.0,0.2
3062,1.0,5.1
3519,1.0,1.3
2885,1.0,7.1
2189,1.0,4.6
2781,1.0,1.5
2430,1.0,1.2
3527,1.0,1.9000000000000001
2288,1.0,3.9
2671,1.0,4.1
2274,1.0,1.1
2168,1.0,6.199999999999999
3588,1.0,5.0
3494,1.0,2.2
2011,1.0,1.8
3613,1.0,6.699999999999999
3801,1.0,3.7
3024,1.0,0.7999999999999999
3944,1.0,6.0
3372,1.0,3.4000000000000004
3585,1.0,0.4
2472,1.0,5.3
3122,1.0,2.6
2225,1.0,3.2
3069,1.0,1.1
3099,1.0,13.4
2286,1.0,6.0
3233,1.0,0.8
3870,1.0,4.9
3833,1.0,0.6
3428,1.0,2.9000000000000004
2433,1.0,7.800000000000001
2212,1.0,0.2
2419,1.0,4.7
2534,1.0,2.7
2169,1.0,0.6000000000000001
2359,1.0,0.9
3305,1.0,3.0
3815,1.0,0.7
2200,1.0,0.9
3406,1.0,1.1
2718,1.0,3.4
3098,1.0,1.4
2523,1.0,0.5
3587,1.0,0.6
2680,1.0,3.4
3875,1.0,4.3
2033,1.0,4.6
2380,1.0,5.4
3919,1.0,0.30000000000000004
3565,1.0,4.4
2070,1.0,3.2
2920,1.0,1.9
2621,1.0,3.8000000000000003
3867,1.0,2.8
2744,1.0,3.0
3970,1.0,0.5
2041,1.0,2.0
3652,1.0,4.800000000000001
2741,1.0,3.8000000000000003
3302,1.0,1.5
2100,1.0,5.7
2385,1.0,0.7999999999999999
2440,1.0,6.9
3455,1.0,2.0
3525,1.0,4.7
3767,1.0,7.3
3658,1.0,0.6
2259,1.0,0.8
2009,1.0,2.0
2221,1.0,5.0
3225,1.0,3.5
3118,1.0,4.5
2486,1.0,2.5
3095,1.0,5.0
