,y_hat
2409,False
3016,False
3001,False
2070,False
2219,False
2922,False
3765,False
3612,False
2826,False
2390,False
3032,False
3225,False
2217,False
2466,False
2521,False
3746,False
3206,False
2974,False
3392,False
3376,False
2421,False
2870,False
2890,False
3306,False
3721,False
2143,False
3172,False
2862,False
3952,False
3057,False
3378,False
2083,False
3507,False
3774,False
2136,False
3662,False
2151,False
3698,False
2453,False
2203,False
3294,False
2422,False
3549,False
3511,False
2669,False
3984,False
2265,False
3046,False
3403,False
3235,False
3013,False
3464,False
3336,False
2030,False
2989,False
2526,False
3059,False
2930,False
3116,False
2599,False
2084,False
2311,False
2951,False
3291,False
3245,False
3305,False
2483,False
2041,False
2868,False
3914,False
3095,False
3967,False
3420,False
2293,False
2180,False
3553,False
2637,False
3556,False
3044,False
2718,False
3845,False
3680,False
3115,False
2746,False
3657,False
3041,False
2577,False
3437,False
2282,False
2017,False
3732,False
3779,False
3359,False
3024,False
3790,False
2821,False
2026,False
2878,False
3722,False
3785,False
3117,False
2258,False
2008,False
3066,False
2570,False
2182,False
2647,False
2185,False
2038,False
3442,False
2831,False
3571,False
3190,False
3580,False
2470,False
3910,False
2314,False
2274,False
2899,False
3853,False
2623,False
2706,False
2277,False
3737,False
3133,False
2231,False
2400,False
2226,False
2680,False
3268,False
2358,False
2154,False
2268,False
3304,False
3592,False
2632,False
3829,False
3725,False
2690,False
3151,False
2710,False
2683,False
3706,False
2010,False
2963,False
3031,False
2568,False
3142,False
2419,False
3270,False
2802,False
3872,False
3467,False
3372,False
3800,False
3618,False
3999,False
3797,False
3913,False
2741,False
3546,False
2380,False
3634,False
3196,False
3364,False
3818,False
3230,False
3588,False
2261,False
2011,False
3468,False
3102,False
2635,False
2978,False
2302,False
3020,False
2509,False
3859,False
3663,False
3770,False
3573,False
2309,False
2846,False
2081,False
3955,False
2367,False
2441,False
3316,False
3976,False
3828,False
3198,False
3495,False
2120,False
3997,False
3421,False
3658,False
2169,False
2076,False
3909,False
3632,False
