,x1,x2,x3
2852,0.4849845,-1.4990971,-0.33970898
3146,-0.13510713,-0.120418355,-0.19828373
2651,-1.4607475,-1.4271173,-2.4127629
2773,-1.4725567,-2.007024,-3.0082588
3303,-0.26089525,-0.35115853,-1.4717174
2273,-0.5806229,-0.75448805,-0.76593304
2933,-1.4355708,0.05063176,0.20468283
3462,-1.9286128,-0.29933417,-1.9330173
2740,-0.67709655,-1.3281776,-1.4282572
3808,-0.7473309,1.0527227,-0.21017182
3889,0.2652567,0.10623081,0.047930628
2404,-0.47956967,-3.057513,-3.8155951
2705,-0.14459962,-0.68333244,0.50538856
2641,-0.25771224,-1.1675661,-1.6175615
2041,-0.3649107,-1.0175515,-1.3019565
2098,-0.5805759,-1.5714161,-1.8738477
2555,0.24696799,-0.5940535,-0.3270247
2737,-0.91614443,-1.6220965,-2.705627
2439,-0.1758404,-0.23767759,-0.7575865
3250,-1.5439572,-2.947112,-4.7250586
2346,-0.6331697,-2.0890179,-4.8596
2035,-0.2711503,-0.40646368,-1.3795807
2930,-1.731877,-0.9084692,-0.6431551
2450,-0.9525031,-1.8497248,-3.5575562
3683,0.9794276,0.5270622,-0.8064139
2222,-1.4583945,-1.3001937,-2.9827816
3005,-0.14044115,-0.10536605,-1.0571527
3014,-2.1758614,-2.8302417,-6.662199
3344,-0.00013110436,1.0221986,-0.35294914
2967,0.055920452,-1.0446017,0.29921675
2828,-2.0049098,-1.6214112,-4.95578
2170,0.4008765,-1.5571777,-0.6971982
3444,-1.2500421,0.22498846,-0.44984424
3937,-1.4203553,-2.1818204,-2.3755155
2844,-1.0572171,-1.5877326,-3.2860208
2746,-0.7885938,0.29043633,0.45872152
2484,-0.40884203,-0.015195608,-0.36289603
3229,0.3436528,-0.43741468,-0.50444806
3881,-0.7735598,-2.7425346,-1.9961632
2974,-0.8522514,-1.1882594,-3.065598
3077,0.05984686,-1.9214315,-1.6866562
3768,0.3562888,-0.33062768,0.113786705
3013,0.20652065,-1.1469517,-1.1976395
3791,-0.5146898,-3.0234365,-3.738875
3188,0.18575123,0.29886281,-0.35194376
3660,-0.6297073,-0.97510487,0.39316773
2459,-0.98562336,-2.6473007,-1.4500172
2944,-0.8396995,0.55940247,0.06725165
3180,-1.5074966,-0.399248,-2.3248386
2806,0.44837388,0.58512723,-1.6902716
3710,-0.45108843,-0.6871581,-1.3381274
3540,0.29762614,-0.53468096,0.36080194
3916,-0.18275586,-1.3421179,-0.96562594
2627,-0.07220213,-2.171545,-2.366246
3499,-1.138616,-1.44499,-0.8414066
2966,-0.12418609,-1.5853766,-1.2690456
2383,-0.41039473,-0.48513496,-1.7873881
2885,-0.40351877,-0.31799215,-1.4201944
3379,-0.24905735,-0.4554698,0.2391153
2745,0.5428342,-0.704302,-0.017444253
3610,-0.7670995,-0.17319787,0.13470191
2441,0.08984159,-0.25510275,-0.47953528
3582,-0.7057948,0.26177728,0.098158956
2897,-1.0704702,-1.0634307,-1.620814
3451,-0.25675753,-2.1911771,-2.962627
2623,-0.2552461,-0.8693709,0.24332592
3278,-0.34989297,-9.608269e-05,0.564621
3308,-0.3805602,-0.3714468,0.26886082
2491,-0.4483288,-1.7431495,-2.0307178
