,x1,x2,x3
3948,0.28602695,-1.0584183,0.5741646
3598,-0.09371751,-0.22856683,0.5338805
2541,-1.1708757,-2.8599787,0.9820341
3412,-0.6128775,-0.23367825,0.5380242
3807,-2.0006754,-2.2668505,1.005448
3152,0.7223604,-0.32076788,0.43588543
3055,-0.42785904,0.47277072,0.4067524
2143,-1.0664207,-0.8358451,0.6936603
3390,-0.8167191,-2.8252969,0.91295975
2308,-0.69387275,-0.16092882,0.5176805
2310,0.21727438,0.31420362,0.45303947
2178,-1.4669635,-0.19163013,0.6056039
3612,-1.8880467,-0.28873634,0.64154047
2363,-0.2988197,-0.6238051,0.6502086
2902,-0.86537313,-0.29385895,0.56174064
3226,-1.177198,-0.59769577,0.6936687
3287,-0.02016515,-0.15605488,0.47040316
2099,0.7061749,0.18966472,1.4090496
3969,0.36726034,0.07207723,1.5028752
3832,-0.6026181,-1.4390463,0.69590205
2920,0.9393881,-0.42092878,0.44908705
2078,-0.992027,-0.62346625,0.6102092
2577,-0.29621512,0.006067276,0.5347128
2293,0.13614826,-0.6554497,0.5309824
2929,0.35458583,0.21975417,1.4239862
3184,-1.0962942,-2.1610508,0.8391579
3210,0.13530451,-1.6767533,0.67186993
2521,0.10019357,0.51713836,0.45518225
3930,-0.68807435,-1.0570418,0.6891096
3432,0.049371723,-0.43496534,0.50366557
2534,-0.4598535,-0.18154664,0.51085263
3658,-0.7990056,-0.047662664,0.55903465
2229,-0.25177172,-0.1317005,0.51081425
2454,-0.69832426,-0.9560145,0.6985724
2243,-1.4948182,-1.7850796,0.8244761
3733,-0.19789426,-0.11239945,0.53420883
2891,-0.69347477,-1.5254751,0.7796871
3021,-1.1888404,-0.15969467,0.5624486
2297,-0.0123878475,-0.0750388,0.51605755
2115,-0.80387646,0.10804385,0.49720964
3527,-0.527542,0.6188036,1.3924482
3562,-0.6696246,-2.083595,0.8069574
2125,-1.3596894,-2.7111793,0.96282434
3233,-0.27235967,-0.07454082,0.6540103
2052,0.043041598,0.50812083,1.6950829
3709,-0.10217257,-0.08698831,0.49573618
2045,-0.7789736,-0.48778,0.58345
3266,-1.8999338,-2.7761393,1.0429432
2879,-0.06044362,-0.60211056,0.5992346
3338,-0.38706565,-2.5386355,0.88587654
3796,-1.6455973,-1.1214403,0.76853716
3182,-1.016166,-1.0262928,0.7160524
3396,0.29917043,-0.79492766,0.58400655
3765,0.114735305,-0.94370276,0.79609144
3411,0.9360477,-1.1087795,0.5400571
2271,-2.0931685,-1.5900822,0.85287106
3802,-0.7474513,-0.4090482,0.5670315
3007,0.8623774,-0.2237966,0.47567654
3757,-0.9212251,-2.7948537,0.9526253
2619,0.42388025,-0.38522276,0.5276772
3449,1.2575346,0.013094783,0.34084868
2643,-1.6804694,0.17277706,0.6334972
3644,-0.034126375,-0.40125805,0.6119749
3207,-0.32251143,-0.89534557,0.6048061
2436,-0.70883566,-1.009278,0.6470086
3864,-0.82204825,-0.13035226,0.5458569
2191,-0.24378859,-0.28383753,0.52351373
2508,-0.24385515,0.3768006,0.41260174
3087,0.34997335,0.06222868,0.5574654
3034,-1.3667271,0.3395563,0.55839777
3497,-0.24037158,-0.46999094,0.5816641
2467,-0.4420367,0.6464865,1.4069117
3752,-0.15446886,0.8456359,1.3550777
2894,-0.43008846,0.08037394,0.50232124
3708,-0.47681698,-1.1344852,0.64655024
3761,-2.0628223,-1.01409,0.77382183
3931,-0.38951293,-0.2464617,0.588102
2425,-1.1333921,0.20877087,0.5587968
2376,0.16755931,-0.6532621,0.6132297
3776,0.4218569,-0.3385126,1.6133497
3140,0.96881336,-1.0108788,0.61376864
2700,1.478754,-0.5589881,0.46898627
3333,-0.5609516,-1.5950414,0.7516135
3768,-0.59151965,-0.07699382,0.5403205
3160,-1.3914766,0.15326548,0.5839319
2591,0.013728589,-0.4490123,0.5238492
3201,0.13684987,-0.6390963,0.52780235
2565,-0.6690394,0.068840444,0.5954182
3400,-0.6216655,-0.16476744,0.5228892
3995,0.06374727,0.13272718,0.44207358
3886,0.76938885,0.53580207,0.3412246
3461,-0.6466985,-0.6868766,0.6002694
2488,-1.5052925,-3.199194,1.0242977
3192,-3.4172482,-3.6999564,1.6006567
3125,-0.3425001,-0.19550207,0.56720877
3592,-0.7570224,-1.4599061,0.7103813
2523,-1.7234844,-2.3013728,0.91931325
2703,-1.0027676,0.21470463,0.5026598
3249,-0.9863286,-1.380717,0.7308887
3193,-0.18553007,-0.9607239,0.6131263
2295,-0.004556179,1.0489799,1.391972
