,x1,x2
2746,1.3,0.0
2205,2.8,0.0
3254,0.0,1.0
3239,1.3,2.1
2012,0.5,0.5
2107,1.2,0.0
2426,1.4,0.0
2772,1.1,2.6
3246,1.8,2.1
2892,2.1,2.2
2876,1.3,2.6
2764,1.0,-0.0
2847,0.8,-0.0
2326,1.1,0.0
3962,0.8,0.0
2649,0.6,-0.0
3278,2.4,-0.0
2731,2.1,-0.0
2043,0.7,2.1
3681,1.4,2.6
2579,1.5,0.0
2728,0.8,0.0
3214,1.0,0.0
3471,1.1,0.0
2087,2.1,2.2
3306,0.6,-0.0
3109,1.4,3.1
2805,0.7,3.1
2979,1.3,-0.0
2834,1.1,2.6
3493,1.1,-0.0
3559,1.5,0.0
2830,0.9,-0.0
3919,1.6,2.1
2146,0.6,-0.0
2185,0.6,2.1
3562,0.9,0.0
2499,2.6,1.4
2443,1.9,0.0
3004,2.6,-0.0
2707,1.6,-0.0
3631,1.9,-0.0
3872,1.3,-0.0
2951,0.9,0.0
3797,1.2,0.0
2718,0.9,2.1
2357,0.9,0.0
3057,1.5,0.0
2710,1.4,0.0
2424,1.0,-0.0
2609,1.2,0.0
3645,2.1,1.4
3009,0.6,-0.0
3895,1.2,-0.0
3958,1.2,-0.0
2985,1.3,-0.0
3721,1.2,-0.0
2429,0.9,-0.0
2975,0.3,2.1
2308,1.0,0.0
3896,1.1,-0.0
2035,1.7,-0.0
3806,1.4,3.6
2075,2.6,1.7
3927,1.4,0.0
2222,1.2,-0.0
3124,1.6,0.0
3693,1.3,4.2
2960,0.8,0.0
2584,0.2,4.2
2320,0.9,0.0
3488,1.4,0.0
2558,1.9,-0.0
3472,1.6,-0.0
2928,1.5,0.0
3324,1.8,2.1
3685,2.4,0.0
3943,1.8,2.8
3343,2.0,2.1
2869,1.4,0.0
2926,1.5,-0.0
3754,0.4,2.6
2759,1.1,0.0
2692,1.5,-0.0
3692,1.9,-0.0
3291,0.6,0.9
2919,2.0,0.0
3044,0.8,-0.0
3000,1.3,-0.0
2070,0.5,-0.0
3421,1.3,0.0
3561,2.9,0.0
2399,1.1,0.0
3963,2.5,-0.0
2033,1.2,-0.0
2683,0.9,-0.0
2411,2.0,-0.0
2751,1.2,0.0
3712,1.4,1.8
2641,0.2,0.9
2115,1.3,-0.0
2151,1.8,0.0
2809,1.4,0.0
2996,1.2,-0.0
3209,1.2,-0.0
2298,0.8,0.0
3546,0.4,2.1
2136,1.7,0.0
2273,1.9,3.1
3686,0.4,2.1
2611,1.2,-0.0
3252,0.9,-0.0
3986,1.2,-0.0
3827,1.2,3.6
2808,0.6,-0.0
2909,2.3,2.6
3857,0.7,4.6
3739,1.7,0.0
2163,0.1,1.5
2239,1.0,2.6
2463,1.1,-0.0
2778,4.0,-0.0
2880,1.4,-0.0
3441,0.9,3.1
2167,1.2,0.0
3092,0.4,2.6
3018,1.1,-0.0
2485,0.1,1.3
3836,1.9,-0.0
2010,0.7,0.0
3707,1.1,0.0
3176,0.5,-0.0
2651,1.3,0.0
2194,2.1,0.0
3624,0.6,2.6
2435,1.3,3.3
3191,1.2,-0.0
2546,0.2,2.1
2284,1.0,-0.0
3945,0.6,-0.0
3507,0.1,0.9
2491,1.1,2.6
2600,0.5,0.0
3219,1.1,0.0
3849,0.8,0.0
2650,1.6,-0.0
2498,1.4,3.1
3249,1.4,-0.0
3901,1.0,0.0
2953,0.7,4.2
3950,2.4,3.6
3848,1.3,2.3
3458,0.1,1.4
2217,1.4,0.0
3443,1.3,-0.0
3103,1.6,0.0
2881,1.2,4.7
3554,2.1,0.0
3519,0.8,0.0
2299,0.9,2.6
2161,1.9,0.0
3299,1.0,-0.0
2137,0.5,-0.0
3496,0.9,-0.0
3955,1.4,2.1
3994,1.1,3.1
3710,1.6,0.0
2401,1.7,2.1
2856,0.8,-0.0
3202,1.2,2.6
3992,0.9,1.8
3275,2.6,-0.0
2767,1.7,-0.0
3151,0.9,-0.0
2691,0.7,0.0
2802,1.6,0.0
3935,1.5,-0.0
2036,1.0,-0.0
2313,2.1,2.1
2354,1.3,3.6
2968,2.9,-0.0
2534,1.1,-0.0
2474,1.8,-0.0
3632,0.2,2.1
2355,1.0,1.3
3726,0.9,2.1
2391,1.8,0.0
3607,1.5,0.0
2625,1.8,2.1
3117,1.5,-0.0
2054,1.5,-0.0
2788,1.5,0.0
3997,2.1,1.8
2890,1.2,0.0
2327,0.8,-0.0
3517,1.3,3.1
2603,0.7,4.6
3852,0.6,-0.0
2252,1.3,0.0
2978,1.4,0.0
