,y
3436,0.0
3843,0.0
3957,1.0
3038,0.0
3836,0.0
2965,0.0
3985,0.0
3442,0.0
2217,0.0
3742,0.0
2956,0.0
2375,0.0
2292,0.0
2478,1.0
3337,0.0
2418,0.0
2932,1.0
3061,1.0
3705,0.0
3369,1.0
2042,1.0
2528,0.0
3160,0.0
2904,0.0
3728,1.0
3880,0.0
3131,0.0
3500,0.0
2106,0.0
2065,0.0
3537,1.0
3748,0.0
2463,0.0
3996,0.0
2079,0.0
3305,1.0
2501,0.0
3426,0.0
3117,0.0
2531,0.0
3852,0.0
3216,0.0
2879,0.0
2165,0.0
3941,1.0
3663,0.0
3681,0.0
2335,0.0
2146,0.0
2263,0.0
3318,0.0
2966,0.0
3851,1.0
2420,0.0
3865,0.0
3275,0.0
3831,0.0
3386,0.0
3177,0.0
2396,0.0
3113,0.0
2216,0.0
3731,0.0
3163,0.0
2537,0.0
2322,0.0
3377,1.0
2991,0.0
3575,1.0
3858,0.0
2947,0.0
3011,0.0
3341,0.0
2449,0.0
3004,0.0
2662,0.0
2760,0.0
3349,0.0
2450,0.0
2651,0.0
3970,0.0
2356,1.0
2744,0.0
3023,0.0
3468,0.0
3514,0.0
3408,0.0
2634,0.0
3934,1.0
2960,0.0
3302,0.0
3927,0.0
2025,0.0
2306,1.0
2762,0.0
2104,1.0
3528,0.0
3027,0.0
3178,1.0
3367,0.0
2984,0.0
2100,0.0
2046,0.0
2257,0.0
3555,0.0
3091,1.0
2437,1.0
2709,0.0
2673,0.0
2893,0.0
2408,0.0
3204,0.0
3308,0.0
3034,0.0
2895,0.0
3184,0.0
3983,1.0
2268,0.0
3726,1.0
3723,0.0
3671,0.0
3098,0.0
3439,0.0
3362,0.0
3657,0.0
2877,1.0
2443,0.0
3612,0.0
2630,0.0
2517,0.0
2627,0.0
2459,0.0
3323,0.0
3607,1.0
2381,1.0
3281,0.0
2174,1.0
3524,0.0
2007,0.0
2499,0.0
3827,0.0
3734,0.0
2732,0.0
3054,0.0
2155,0.0
3126,0.0
2741,0.0
3416,0.0
2193,1.0
3914,0.0
2921,0.0
2017,0.0
3847,0.0
3968,1.0
2447,0.0
3907,0.0
2646,0.0
2541,0.0
2794,0.0
2546,0.0
2973,0.0
2283,1.0
3140,0.0
3495,0.0
2123,1.0
3799,0.0
3000,0.0
2935,0.0
3220,0.0
3789,1.0
3800,0.0
3732,0.0
3526,0.0
3662,0.0
3255,0.0
3773,0.0
2611,0.0
3581,0.0
2830,0.0
2116,0.0
3268,0.0
2194,0.0
3855,0.0
3938,0.0
3913,0.0
2582,1.0
2441,0.0
3435,0.0
3608,0.0
2005,1.0
2243,0.0
3619,0.0
3088,1.0
2677,0.0
3856,0.0
2798,1.0
3087,0.0
3346,0.0
3259,0.0
3494,0.0
