,y
3704,1.0
2018,1.0
2257,1.0
3289,1.0
2552,1.0
3178,1.0
3000,1.0
3144,1.0
2421,1.0
2527,1.0
2617,1.0
2367,1.0
3334,0.0
3150,1.0
2404,1.0
3927,1.0
2842,1.0
3568,1.0
2872,1.0
2681,1.0
3506,0.0
3211,1.0
2271,1.0
3213,1.0
2757,1.0
2460,1.0
2675,0.0
2699,0.0
3327,1.0
2633,1.0
3811,1.0
3091,1.0
2283,1.0
3283,0.0
3132,1.0
3723,1.0
3065,0.0
3426,1.0
3447,1.0
2935,0.0
3098,1.0
2245,1.0
2751,1.0
3646,0.0
2160,1.0
3840,1.0
3526,0.0
2004,1.0
2572,1.0
2821,1.0
3939,0.0
2884,0.0
3468,1.0
3386,1.0
3512,0.0
3555,1.0
2698,1.0
3369,1.0
2251,1.0
2011,1.0
3630,1.0
2982,1.0
2240,1.0
2263,1.0
3530,1.0
2741,1.0
3857,0.0
3184,0.0
3924,0.0
3155,1.0
2106,1.0
2036,1.0
3259,1.0
2724,0.0
2427,1.0
3325,1.0
2651,0.0
2772,1.0
3267,1.0
3231,1.0
3726,1.0
2587,1.0
3158,0.0
2736,1.0
3621,1.0
2007,1.0
2352,1.0
3890,0.0
2268,1.0
3731,0.0
2543,0.0
2581,1.0
3956,1.0
2197,1.0
3452,1.0
2944,1.0
2864,1.0
3422,1.0
3154,1.0
3569,1.0
2104,1.0
2153,1.0
2797,1.0
2826,1.0
2102,1.0
2514,1.0
3252,0.0
2740,1.0
2852,0.0
3350,0.0
2838,1.0
2630,1.0
3219,1.0
2176,1.0
3688,1.0
2044,1.0
2744,1.0
3984,1.0
2300,1.0
3471,1.0
3955,1.0
3902,1.0
3931,1.0
3714,1.0
2232,1.0
3511,1.0
3177,0.0
2599,0.0
3602,1.0
2547,1.0
2506,1.0
3942,0.0
2828,1.0
2822,1.0
3542,1.0
2590,1.0
2424,1.0
3571,1.0
2221,1.0
2457,1.0
3985,1.0
2601,1.0
2489,1.0
2320,1.0
3058,1.0
3961,0.0
3793,1.0
2179,1.0
3190,1.0
3130,0.0
2713,1.0
3004,0.0
3508,1.0
3147,1.0
2770,1.0
3198,1.0
3297,1.0
2505,1.0
3747,0.0
2445,1.0
3950,1.0
3560,1.0
3584,1.0
2963,1.0
3381,1.0
3117,0.0
2449,0.0
3110,1.0
2570,1.0
2109,1.0
2132,1.0
3934,1.0
2591,1.0
3649,1.0
3868,1.0
3263,1.0
2593,1.0
2540,1.0
2720,0.0
2068,1.0
3707,0.0
2707,0.0
2022,1.0
2412,1.0
3663,1.0
3269,1.0
3257,1.0
2472,1.0
2721,1.0
3399,1.0
2874,1.0
2390,1.0
2952,0.0
3287,0.0
2986,1.0
2892,1.0
2147,1.0
2186,1.0
2341,1.0
2938,1.0
