,x1,x2,x3
2045,-0.37020037,-0.6766254,0.56728363
3616,-1.4830672,-2.0862422,0.3268504
3249,-0.51829004,-1.0330684,0.5367299
2173,-0.3788295,-0.7960136,0.5103198
2843,-1.3131914,-0.8610923,0.47935718
2661,-0.9802523,-1.1520853,0.44015917
2399,-1.1328192,-1.706785,0.3440482
2294,-0.3194813,-1.0841701,0.4774913
2760,-0.22574933,0.7326749,0.7230012
2062,-1.0885272,0.20193009,0.5752248
2564,-0.017578227,-0.28014264,0.65414923
2456,-0.030448332,-0.41104156,0.618676
3748,-0.5908829,-1.018688,0.44876584
2482,0.16866978,-1.3357531,0.52267927
2948,-0.44364232,-0.8444251,0.5057341
2738,-1.3599657,-2.1239715,0.31737027
2684,-1.7304839,-2.8713493,0.1469839
2343,-0.16638081,-1.0349022,0.5563802
2306,-1.808208,-2.6077237,0.17288074
3896,-1.3315339,-0.0044494867,0.5598884
3998,0.34617147,-1.794722,0.59868354
2002,-1.1990007,-1.0769564,0.41311455
3706,0.021147775,-0.29411379,0.65911317
3058,-0.46447688,0.2902987,0.6545697
2521,-0.37046826,0.74298,0.6970666
2042,-0.62486637,-1.7207483,0.36571
2266,-0.89946777,0.4110368,0.6288022
2814,-0.34143016,-1.6781751,0.43034682
3267,-0.9249966,-1.5739206,0.38175526
3473,-0.75467885,0.043223023,0.6472405
2772,-0.08104008,-1.1254165,0.53051394
2095,-1.5663674,-2.0935836,0.30715474
3509,-0.78031737,-0.46035478,0.5277161
3071,-2.0403807,-1.6012459,0.37580332
3328,-0.5215413,0.7567459,0.7401865
3917,-0.06712493,-2.2541466,0.36521983
2007,-0.8380287,-1.5013826,0.4541435
2368,-0.42347932,-1.747033,0.4482769
2627,-0.7640369,-1.6853983,0.43276754
3059,0.78644645,-0.16652048,0.72381216
3338,-1.7166197,-1.4055482,0.34246773
3167,-1.0924699,-1.2381842,0.46199632
3150,-1.7368562,-1.9476974,0.3535103
2248,-0.008659345,-1.4159584,0.4890729
3337,-0.39452696,0.09273523,0.6660476
3197,0.7046156,-0.70002997,0.63699234
2251,-0.76691467,-1.1585766,0.46335405
2897,0.13377334,-0.3506474,0.7181001
3391,-0.34216067,-1.7657847,0.4511264
2342,-0.15364917,-1.0524714,0.50715715
2021,-0.7320261,-2.7012477,0.3078746
2963,-0.4018535,0.8924486,0.7957376
3094,0.21189277,0.09075532,0.6703036
2240,-0.91765946,-1.4529313,0.4337284
2257,-0.4536269,-1.2683678,0.45687336
3990,-1.8934758,-3.1085534,0.22222976
3411,0.14628185,0.39562726,0.7660918
2652,0.024234716,-1.394491,0.44817823
3060,-0.22676523,-0.102708764,0.6307655
2791,-1.2318683,-0.27923185,0.5848228
3031,-1.5550501,-1.8200302,0.27499002
2886,-1.5443392,-3.965405,0.036961176
3891,-1.079596,-1.0075966,0.4546311
2649,-0.44788578,-1.135188,0.53519636
3682,-0.6284409,-0.53692776,0.56463736
3281,-0.84331006,-1.2020074,0.48854074
2124,-2.225837,-3.551426,0.19830409
2381,-1.0973881,-1.9076433,0.3857336
3996,-0.20020339,-2.1836348,0.41975355
3163,-1.0971208,-0.99765915,0.46188125
3773,-0.6777306,-0.123969495,0.6474111
2134,-0.6223345,-0.016324436,0.58284026
2176,-1.848123,-3.2534966,0.16353455
2295,-0.53721714,-1.0050938,0.53396505
3650,-0.1611166,-0.70679456,0.5299009
2162,-1.3843893,-2.8161647,0.4076241
2442,0.0037573627,-0.36023977,0.62791026
2919,-0.51164687,0.18212795,0.66916406
2898,-0.9394185,-0.5913187,0.54278255
3815,-0.5496902,-0.23144305,0.5683784
3484,-0.44184378,-1.8815821,0.4120571
3625,-1.4789648,-3.2485294,0.09182501
3956,-0.7617583,-0.668676,0.5305603
2297,-0.1997269,-0.9318725,0.5186279
2735,-0.11439233,-1.3181043,0.4843464
3242,-0.8072879,-1.5103881,0.39288688
3603,-0.26895025,-1.6993977,0.45581874
2417,-1.5533484,-2.1829848,0.42632216
2964,-0.9138951,0.7569029,0.6701003
2697,-0.20571268,-0.8124375,0.53197026
2544,-0.5500658,0.4478032,0.69453704
3194,-2.3899343,-3.0141344,0.105773166
3068,0.12237848,0.7375278,0.78161883
2426,-0.7499718,-0.5495625,0.54306364
2148,-2.0652084,-3.0210521,0.18073606
3088,-0.18331525,0.688612,0.77878463
3360,-1.500049,-3.0866523,0.2705268
2611,-1.138195,-1.9760697,0.5252136
2322,0.8211247,-1.3802599,0.5927744
3788,-0.69099903,-1.2001356,0.48455733
2523,-0.22640869,-0.6288729,0.58174294
3520,-1.3970157,-0.5718385,0.46141428
2074,-1.2895361,-2.7599535,0.18880367
2565,-0.800328,-1.5346866,0.38214168
3558,-1.17043,-2.729343,0.2467033
3945,-1.1960523,-1.0108534,0.48280758
3329,-1.6402447,-2.6155877,0.26531965
3562,-0.34734285,-0.2608661,0.6242398
3261,-0.06473611,0.4521167,0.7129363
2129,-0.5410864,0.48099893,0.6660292
2688,-0.7178919,-1.4371203,0.4641583
3335,-1.5060035,-0.57562286,0.5145955
3038,-2.0035803,-2.7429638,0.20024852
2033,-0.7725147,-0.5044397,0.53908515
2166,-0.14802071,-1.10977,0.55014
2316,0.11798539,-0.54102975,0.5681742
2366,-1.2072052,0.22834086,0.6723197
3293,-0.14267553,-0.9288237,0.68840724
2741,0.24264318,-0.70355105,0.5711019
3178,-0.7932062,0.06555951,0.6690843
3439,-0.38797528,-0.441456,0.702555
3621,0.43172488,-0.3587441,0.63280815
3911,-1.1485906,-2.8150406,0.22455978
2578,-0.9891062,-0.9881009,0.44684026
3416,-0.06382525,-1.1902828,0.54353136
3286,-1.3908304,-2.2269342,0.29074717
2300,-1.3586504,0.21793783,0.5986016
2064,-1.4224962,-1.5301868,0.33338338
3887,0.49552053,-0.31535256,0.7007141
2469,-0.22554241,-0.09429039,0.6604289
3180,-0.062948555,0.26076084,0.71422076
2393,0.051414132,-1.2546992,0.54890126
3004,-0.65276515,-0.4928766,0.7007189
2580,-2.5501158,-1.277746,0.39231968
2551,-1.3013502,-1.329755,0.3589933
2835,-1.0540452,-1.8547843,0.5315374
3743,-0.2788042,-1.0242459,0.50577986
3191,-0.27143767,-0.1264807,0.5918297
3766,-0.17506024,-0.6044796,0.5860362
3304,-0.0213685,-0.8657279,0.5537177
3365,-0.21909346,0.16841553,0.69988
2060,0.62514335,-0.96558493,0.54592067
2906,-1.1455479,-1.7265602,0.42110902
3189,-1.5329543,-0.94371706,0.42256522
3456,-0.88953435,-2.2296677,0.31361604
3637,-1.857746,-0.41177022,0.49630356
3800,-0.35416034,-0.5883644,0.530814
3708,-0.43426412,0.05034092,0.6492803
3979,-0.83644795,-0.4563399,0.53022945
2800,-1.1119312,-1.9730864,0.2843601
2288,-0.57363534,-0.81603,0.5003386
2805,-2.0148253,-1.8443953,0.2627867
