,x1,x2,x3
3896,0.28467563,-0.04832241,-0.77785397
2766,-0.39055848,-0.7682851,-2.0347955
2269,0.6412808,0.259541,-0.54864824
3221,-0.21227127,-0.23384032,0.19736928
3952,0.05641547,-0.35232162,0.05122772
2223,-1.553755,-3.0373287,-3.977161
3407,-0.18759766,-0.67867213,-1.4062167
2403,-1.0209246,-1.4164401,-3.3728495
3028,-0.9543315,-0.6260399,-2.2854705
3371,-0.51352346,-1.7428693,-1.2190993
3060,-0.7339157,-0.11660987,-1.2804896
2178,-1.4293078,0.47080135,-0.21504313
2877,-0.389782,0.03832817,-0.15007797
2230,-0.021275846,-0.42476222,-0.33585212
3568,-0.23551416,-0.62215215,-0.9062048
2504,-0.9893323,-1.620374,-0.27683115
2785,0.7957633,-0.4561903,0.4914453
2779,0.4139827,-1.2819812,-0.19819683
3049,0.1632535,0.044306234,0.4049875
2117,0.7699972,-0.42452413,0.40298176
3625,0.462037,-1.530979,-0.12729907
3513,-0.8097199,-1.7563125,-2.6651323
3681,-1.5969052,-1.5025852,-2.1621027
2003,-0.90220004,-2.3589575,-3.741115
2445,-0.1908214,-1.602849,-1.700974
3271,-1.1568992,-0.54325336,-2.9156952
2964,-1.6461264,-1.2685815,-2.5019398
2674,0.21848243,-0.9472721,-0.046502918
3140,-0.75370365,-0.99009746,-3.1630766
2824,-1.3064549,-3.0838256,-3.7662754
3235,-1.7752954,-1.0899361,-4.1795344
3116,0.05734329,-0.65261173,0.111187875
3774,-1.4661262,-1.3307753,-3.7732282
3031,0.20630239,-0.09147416,0.2737161
3640,-1.1247993,-0.8429843,-0.88405085
3742,0.14662437,-0.71619964,-0.14087254
3737,-1.427099,-1.8817044,-1.3215907
3730,-2.154528,-1.688865,-1.7581637
2359,-1.1718198,0.29343808,-0.060441494
3694,-2.6055305,-4.3271294,-6.8340592
2860,-0.81274796,-0.626136,-1.0495151
3769,-1.013119,-2.5875504,-2.3133628
2553,0.30527523,-0.34824666,-1.0304425
3709,-0.27469504,-2.7917523,-3.0161097
2873,1.1240237,-1.5592115,-0.71028125
2521,-0.016413582,-0.21540466,-0.886591
2001,-0.93914306,-1.1895902,-3.3543496
3562,-0.6353643,-1.1392187,-2.710193
3627,-0.5537825,-2.3009448,-2.8175747
2569,-0.4401309,-0.5484842,-1.1685205
3260,-1.0043292,0.17712855,-0.99396956
3537,1.0684421,0.12466508,0.35305572
3817,-0.37560213,0.06738627,-1.1137614
2331,-0.7361601,-0.26498199,-1.0730729
3397,-0.87154776,-0.8765406,-3.1328728
3853,-0.022441795,-0.87948984,-0.5258968
2811,-0.8001278,-1.6139164,-1.6275535
3666,-0.52058464,0.3469643,-2.520761
3247,-0.73330915,-1.379523,-1.4939375
3854,0.039318502,-1.6799793,-0.76221967
2679,-0.036741912,0.10973808,-0.35345373
3452,0.0049944622,-0.8598222,-0.8470791
2148,0.22904553,-1.4283932,-1.9619491
2204,-0.051825102,-0.056285728,0.11632317
2563,-0.016426433,0.4822558,-0.12188491
2074,-0.048636626,-0.28643772,0.42051524
3454,0.18173122,-0.45986432,0.2061047
3318,0.30701727,-0.031529367,-0.20114481
2714,-0.31328756,0.16117832,-2.0048974
3848,-1.3432137,0.16856992,-1.7953742
2127,-0.008354545,-0.36095193,0.1752052
2796,-0.37239337,-1.4618899,-3.026545
3466,-0.22397271,0.0817098,0.35927692
2095,0.5903563,-0.59368104,-0.56485134
3402,-0.6673254,-1.4649096,-3.286185
2370,-1.6889708,-0.22707808,-1.4211769
3700,-1.5084571,-1.3171036,-5.0531654
3390,0.6079877,-0.21093261,-0.009912252
2363,0.034345858,0.2779441,-0.76212454
3394,0.7910019,-1.0926955,-0.094759285
2328,0.3798617,0.70324206,0.21906996
2023,0.2756644,0.41597953,-0.49805665
3943,-0.96406853,-2.1127539,-2.4501698
3799,0.34020284,0.61270547,0.5322744
3690,-1.2532363,-2.3872385,-3.2472105
2391,-1.7755164,-1.1379858,-2.4255939
3429,-1.1478206,-2.6092381,-3.801387
3917,-0.74802405,0.0039203167,-0.2325558
3507,-0.18773116,0.20778222,0.20510858
3632,-1.0331942,-1.6621394,-3.486544
2968,-1.2149802,-0.5940956,-0.93890136
2352,-1.4794459,-0.6157703,-2.5284145
2997,-0.37902442,-0.33534187,-2.085381
3591,-1.0066504,-1.8120275,-2.4999137
2159,0.029969862,-1.1171101,-1.5598638
3631,-0.78908855,-1.7524477,-4.8529425
2598,-2.2994492,-2.4751592,-4.088551
3499,0.21535586,-0.5797976,-1.5179796
3428,0.8123028,0.4919318,0.33446193
3388,-0.42789912,-0.60255337,-3.0312274
2237,-0.8090196,-1.1954598,-3.8670988
2020,-1.7203847,-2.0049727,-4.608017
2126,0.61053944,0.8406204,0.14095306
2200,-0.50293624,-0.11637601,-1.7321389
2635,-1.1581423,-0.9718548,-3.428613
3188,-0.49904817,-1.6041148,-2.3419783
3442,-0.5909741,-1.6387596,-2.696013
2367,-0.78405994,-2.11762,-1.856447
2145,0.48041818,-0.4018831,0.051762465
2680,-2.0850358,-3.1158562,-4.778986
3827,-0.6534541,-0.2998233,-2.2338276
2480,-0.034828283,0.37979484,-0.6203368
3836,-0.32812622,-0.6756941,-0.35789156
3015,-0.61427885,-1.2701324,-1.0681126
3112,-0.6580764,-1.3083853,-2.4189804
3386,-1.115964,-0.9248327,-1.8762958
3612,-0.36722535,-1.1164923,-1.1161193
2542,-0.6693229,-2.4172049,-3.1234426
2942,0.7878223,-0.2742048,-0.84886944
3215,-1.3355252,-1.2356329,-4.2223763
3469,-2.1925786,-3.0261948,-6.767989
3712,-1.5985963,0.11780894,-3.1277566
2636,-0.06127646,-0.53471345,-1.1985611
2911,-2.2138088,-3.8272686,-7.3571367
3387,-0.70886856,-0.951478,-0.24111974
3588,0.15460244,0.39202377,-0.007839918
2828,0.7493807,-0.92407,-0.95820886
3033,-0.44883206,-2.507366,-4.53646
2255,-0.65378416,-0.6730187,-0.3490234
3946,0.49163228,0.90513384,0.58098054
2849,0.03621401,-1.8291372,-1.8345051
2742,-0.10789767,-0.83649683,-1.5244784
2193,-1.1636074,-1.0568347,-3.8128147
2394,-0.8477175,-0.4170089,-2.7250164
2986,-1.6693164,-0.47316968,-0.5024905
2102,-0.20498776,-0.6110447,-0.7652763
2957,-1.8013998,-1.7159473,-2.9927557
3903,-0.8988084,-1.1183702,-4.6443763
3076,-1.6117083,-0.8117038,-2.8751206
2767,-0.15606488,-1.2615728,-2.785483
3669,-1.1215236,0.0813818,-0.43424308
2880,-1.5579066,-3.1169374,-5.843831
3353,-0.06585396,0.6180359,0.4461115
3481,0.83387244,-0.2200309,-0.24777389
3003,0.37740427,0.9968246,-0.15065181
3531,-0.35575953,-2.5655057,-3.7466831
2921,-0.83217275,-1.3973014,-2.9438014
3476,-1.1691942,-1.3067938,-2.285764
2100,-1.6379554,-1.6112739,-2.3945243
2972,-1.5916108,-0.33951306,-2.0722451
2064,-0.2867858,-0.3840295,-0.71402186
3416,0.51551735,-0.09624392,-0.0751715
3356,-1.0497292,-1.7751186,-4.6910486
2449,-0.40393344,0.02674207,-1.3979888
2422,-0.6614408,1.3985934,0.07975626
3544,0.060156684,-1.1128305,-1.0448654
3142,-0.149613,-0.7440556,-1.8610033
2588,-2.2125804,-1.1385398,-2.4351523
2817,-1.3836269,-0.6519256,-0.8193571
3029,-0.73455614,1.0578115,-0.2991135
3665,-0.18974395,-1.1603041,-2.099206
2030,-0.42159513,-0.3901858,-3.1610112
2281,0.06873432,-1.3580619,-1.3255917
3012,-0.28600568,-0.59217495,-0.7970112
3074,-1.1195022,-1.3024203,-2.1263294
3114,-0.68652993,-2.034067,-0.8897817
3490,-0.6789981,-1.6599071,-3.6253881
3195,0.3421374,-0.2847942,0.1077179
2139,-0.94663095,-2.1305146,-2.5082197
3063,-1.2151809,-1.0469311,-2.6134846
2017,-0.27811465,0.0027446747,-0.021853656
3308,-0.48644623,-0.07550976,0.16393444
3011,-1.0553697,-1.0969567,-1.1078086
2384,0.2483992,-0.1613009,-0.10051167
3216,-2.9520957,-2.6828396,-6.1748247
3413,-1.4009408,-0.76122534,-3.2454884
2518,-0.48919597,-0.62498885,-1.9589903
2141,-0.37282124,-1.2252932,-2.3308992
2993,-1.1986254,-2.3216972,-2.6134763
2087,-1.0513273,-1.8172821,-3.0493972
2222,-0.36693382,-0.36426923,-0.40741432
3814,0.08029974,-1.5020435,-1.2280923
3637,-0.30922833,-0.4500153,0.23197334
3882,0.25910452,-1.2286403,-1.2362213
3345,0.29839244,-0.7109524,0.07529953
3269,0.8358501,-0.79547095,-0.11616969
2724,-0.9400495,0.46500123,-1.0230913
3740,-0.83524024,-3.2303538,-3.5072033
3274,-1.3771384,-0.51467615,-0.37719864
3541,-0.06422737,-0.7108648,-1.4554145
3168,-0.4276837,-0.004713744,-0.9852985
3295,-1.045515,-0.30870998,-1.6242018
2838,-0.15342876,-0.9396882,-0.9512222
3369,-1.1120843,-0.94840044,-0.92316043
3599,-1.2411643,-1.1924471,-2.0469055
2974,-1.1495892,-3.1609893,-4.688883
3757,-0.8418036,0.41982573,-0.1565494
2213,-0.6695794,0.0077439547,-0.37790287
3561,-1.0159166,-2.1514702,-1.8875219
2613,-0.61116725,-0.22039062,-2.1052485
