,y_hat
3178,False
2214,False
2203,False
2029,False
2198,False
2700,False
3549,False
3889,False
3930,False
2470,False
3393,False
2083,False
3600,False
3170,False
3494,False
2064,False
3513,False
3158,False
3574,False
3921,False
2142,False
3225,False
2251,False
2986,False
3760,False
2766,False
3126,False
2435,False
3704,False
3286,False
3749,False
3322,False
2447,False
3096,False
2672,False
2663,False
2438,False
3145,False
3995,False
2445,False
2899,False
3222,False
2717,False
2518,False
2780,False
3076,False
2724,False
2763,False
2911,False
2547,False
3795,False
3031,False
3769,False
2362,False
2817,False
3148,False
2356,False
2561,False
2484,False
2106,False
3368,False
3256,False
2290,False
3238,False
3176,False
3955,False
2586,False
3140,False
2968,False
2811,False
2313,False
3165,False
3578,False
3385,False
2699,False
3416,False
2148,False
3657,False
2641,False
3585,False
2777,False
2878,False
2116,False
2888,False
3564,False
3953,False
2001,False
2630,False
2584,False
3616,False
2954,False
2768,False
2215,False
3609,False
2256,False
3019,False
3506,False
2877,False
2921,False
3742,False
3068,False
3850,False
3681,False
2169,False
2542,False
2998,False
3307,False
2690,False
3290,False
3612,False
3183,False
3635,False
3947,False
2531,False
2172,False
2863,False
2068,False
2036,False
2571,False
3231,False
2802,False
3105,False
2124,False
2760,False
3346,False
3269,False
3048,False
3376,False
2660,False
2245,False
2812,False
3994,False
3897,False
3172,False
3865,False
2329,False
2528,False
2993,False
3882,False
2951,False
3142,False
3608,False
2608,False
3539,False
2713,False
2287,False
3249,False
3724,False
3630,False
3611,False
3379,False
2394,False
3015,False
2573,False
3364,False
2345,False
3810,False
2930,False
3336,False
2511,False
3900,False
2981,False
2736,False
3528,False
2941,False
3318,False
2928,False
3018,False
3277,False
3260,False
2179,False
2798,False
2415,False
3893,False
2846,False
3180,False
3009,False
2422,False
2734,False
3846,False
3943,False
3485,False
2709,False
2178,False
2074,False
2494,False
3266,False
3946,False
2397,False
2704,False
2613,False
3224,False
3386,False
2893,False
2316,False
2824,False
3191,False
3389,False
3343,False
2729,False
