,u_x1,u_x2,u_y,u_x3
2000,0.3706502,0.72922677,0.031101227,-1.5954677
2001,1.1482632,-1.0251883,0.73095703,-1.6860373
2002,-0.767037,-0.989895,0.9908731,2.4956014
2003,-0.41353038,-0.7317609,0.5478946,1.552432
2004,0.0328943,1.4071618,0.039366007,-0.016707655
2005,-0.6906117,-0.15879712,0.9732473,-2.005722
2006,0.78884614,1.0558258,0.5140587,-0.25004137
2007,-0.30213365,-1.046352,0.58055973,-1.5077257
2008,0.09269997,0.33561832,0.69927955,1.1513612
2009,1.2685872,-1.2825369,0.2880168,0.41655225
2010,-0.5455777,-1.0592357,0.85079145,-1.1029086
2011,-0.42674378,0.1546959,0.11723518,0.6497901
2012,0.712963,0.72384286,0.3527372,-0.2692982
2013,1.1523334,-1.7605131,0.38150442,0.17671005
2014,-0.878,0.41026774,0.44557786,-0.29404998
2015,0.70325816,-0.42063156,0.047382236,-1.2648462
2016,1.037493,-0.15377255,0.21399856,1.3888973
2017,-0.13050053,0.10892187,0.17731428,-0.43355894
2018,0.8848278,0.8061279,0.072543025,0.40534234
2019,-0.4229574,0.8822191,0.83108723,-0.30859682
2020,-0.12835297,1.3706459,0.91094327,-1.4364742
2021,-1.0121654,-0.19274645,0.7677554,0.7843174
2022,1.8821064,-0.9027415,0.89483106,0.37344772
2023,-0.65891963,0.79494053,0.018525243,1.8909417
2024,1.0609661,1.328536,0.90433276,1.630227
2025,1.8997004,0.37970564,0.3562026,-0.20401958
2026,-0.8863406,-1.7104414,0.46811402,0.30059445
2027,-0.8002685,-0.31154114,0.7603228,-0.49001494
2028,0.48731703,0.7517616,0.10160971,0.13252072
2029,-0.4599951,1.4124045,0.71942365,-0.3296711
2030,0.55915433,1.7469213,0.3912686,-1.9139132
2031,-0.93357736,0.0665336,0.3081392,0.7727409
2032,-0.94013035,0.5392046,0.783481,-0.25949594
2033,0.7206826,-1.391909,0.80121887,-1.5171933
2034,0.8066491,0.4611089,0.25810838,0.3155761
2035,2.089346,2.1196692,0.29969716,-0.12463057
2036,0.6463787,-0.42907795,0.8526596,0.3115664
2037,0.15740636,-0.5856479,0.42027402,0.45514947
2038,-0.5571537,-0.48204952,0.8736348,-1.6245795
2039,0.081736065,-1.3732269,0.83367956,0.23605166
2040,-0.18307124,1.0592344,0.58708894,-1.1488028
2041,-2.0257542,1.4907331,0.24724865,0.5981047
2042,0.25027025,0.45282212,0.7018678,0.15670723
2043,-0.9098216,1.4720845,0.7320999,1.7763182
2044,0.87082213,0.39804605,0.12201488,1.7759898
2045,1.5696809,1.399888,0.25122797,0.7007727
2046,-0.73423374,-1.7440977,0.9024136,0.40849718
2047,0.9129035,0.063008584,0.9269525,-0.87272745
2048,0.022290707,-0.28803274,0.8730768,0.29257557
2049,0.0036333543,-1.3173352,0.9877299,-1.0415932
2050,-1.022388,-0.21176915,0.907663,0.029831152
2051,-0.059962556,-1.3272029,0.7174268,1.2156253
2052,0.9401344,-0.5591524,0.090565205,-0.12079401
2053,0.11054881,0.5802171,0.25770915,-0.5837427
2054,-0.19738205,-1.5979062,0.3860675,0.25384745
2055,0.776335,-0.4542152,0.024758458,-0.42938203
2056,0.076722994,-0.046890166,0.69150317,1.8444501
2057,1.6269149,-0.63340527,0.27603054,1.2239888
2058,0.84979784,0.8616775,0.7774949,-0.2965161
2059,1.5093455,0.04314657,0.18323171,1.945849
2060,-1.2693812,-0.9382123,0.42282677,1.5868385
2061,-1.6133761,-0.85125977,0.8053154,0.7117153
2062,-0.30259877,-0.23809342,0.46486092,0.90272385
2063,-0.83250445,-1.1143143,0.927286,-0.37719017
2064,0.9585203,1.4630665,0.67172277,-0.54399264
2065,0.53673065,0.28325573,0.21161723,0.4579786
2066,1.8458108,1.5184664,0.725633,0.018600186
2067,0.41456613,-0.96364206,0.6617683,-0.781404
2068,0.05046088,-0.54577464,0.98701584,2.4120438
2069,-1.2735486,1.2422763,0.0022064447,-1.0743884
2070,-0.53896016,-0.24438368,0.4077176,-0.114477456
2071,-0.96193296,-0.34274557,0.14759088,-0.47972023
2072,1.6115904,0.3516336,0.24362361,-0.23111494
2073,0.9359259,1.1957422,0.32079744,0.7683303
2074,-0.6222605,-2.031153,0.63195014,1.6242627
2075,0.98674893,0.20513804,0.36116183,-1.7745619
2076,-0.15999344,-1.5886315,0.76274276,-0.7248426
2077,0.3446994,0.0051101046,0.9778836,-0.57070106
2078,0.75933605,0.7885284,0.09924722,-0.5797899
2079,1.9743984,-0.84788054,0.93805325,1.5934592
2080,0.9334672,-1.5666262,0.013901949,-0.95353794
2081,-0.9759514,0.66913885,0.3156476,-1.903514
2082,0.63442796,-1.1691215,0.45324993,-0.35845616
2083,-0.30327985,-0.6349398,0.5025468,-0.026076436
2084,0.9303176,0.68315685,0.39429355,-0.4783327
2085,1.5395962,0.913707,0.39725566,0.4161987
2086,1.2040262,0.06786782,0.31234682,-1.1507164
2087,0.14085928,0.50215703,0.49120378,-1.1709671
2088,-0.3204214,2.0147083,0.07438934,0.30342177
2089,-0.26854223,0.21991333,0.6869756,-0.90763205
2090,-2.6269245,1.2791394,0.3569883,0.2807869
2091,0.28294748,2.4986196,0.7978475,2.520905
2092,0.3296896,-0.42931154,0.817912,0.5975499
2093,1.0906355,-1.4184014,0.14636815,-1.1766598
2094,1.9474646,-0.48908955,0.01976943,-1.18372
2095,-0.96901166,0.81598574,0.077757955,-0.8954913
2096,-0.06362583,-2.5770411,0.5464182,0.9665161
2097,0.9104372,1.0410682,0.7527534,0.5441446
2098,2.1560354,-0.2139314,0.45068014,1.6731751
2099,-0.97933334,-0.09401584,0.13362229,1.6623855
2100,1.026633,-0.2588538,0.36323106,-1.3479623
2101,1.7229295,-0.62779164,0.31064785,0.668968
2102,1.2186682,0.30320367,0.32930672,-0.97313994
2103,-0.20136595,1.7685138,0.9117023,-0.59563506
2104,0.57016295,1.0347474,0.25788808,0.80766475
2105,-0.51783586,-0.0038970592,0.74034023,-1.7598788
2106,0.71579653,0.46436456,0.23386168,-0.9519356
2107,-0.18229888,-1.1789421,0.24204504,0.08202029
2108,-0.12592618,-1.451634,0.6240901,0.95980537
2109,1.1720299,0.25483635,0.28426683,1.3875377
2110,-1.396804,-0.18320376,0.6137928,0.260338
2111,0.7202496,-0.47258076,0.63644016,0.75319576
2112,0.780938,-0.38650987,0.8906337,1.1569607
2113,0.7513843,0.0035189078,0.16033125,0.30963883
2114,0.63227445,-0.39820144,0.6406703,0.91273266
2115,-1.2942977,-0.57855767,0.92398417,-1.3354864
2116,-1.2014557,0.16779785,0.47532415,-0.13842829
2117,-0.49930814,1.0790495,0.4482627,-0.30808666
2118,0.02531227,1.8122106,0.35876966,-0.1406382
2119,-1.1988143,0.37029946,0.8714572,0.24106354
2120,-0.24460964,-0.14633276,0.893311,-0.20696284
2121,-0.5347444,-2.2635846,0.09449792,0.99226946
2122,-1.3730918,-0.3649711,0.2942984,-0.14494295
2123,1.0319753,0.9487737,0.73102224,-1.5962117
2124,0.66360986,1.3533823,0.6342046,-0.14976528
2125,2.0151246,-0.46831074,0.58245945,-0.8068649
2126,-1.2213792,-0.23128803,0.6864742,0.079349786
2127,0.14712426,1.8684195,0.7199491,-1.1306609
2128,-0.54583085,-2.247644,0.39972615,0.11069012
2129,-0.099097185,-0.4394285,0.49653196,-0.13552028
2130,0.4604988,-1.6277419,0.5905291,0.12087513
2131,1.944082,-0.9238879,0.082422376,0.21755096
2132,-1.0537215,-1.5627784,0.80568194,0.5200042
2133,0.35697538,-0.93063706,0.20973372,0.43618506
2134,-0.34702805,1.4625568,0.03791797,-0.054946467
2135,-2.2079542,3.5907967,0.74569046,0.13836509
2136,1.2668307,0.6475184,0.5837889,-0.24730733
2137,-0.67997646,-0.36242256,0.21810782,1.3970858
2138,-0.86219764,-0.26898092,0.9903643,-0.15237243
2139,-0.08600631,-1.3015405,0.52365494,0.13292527
2140,-0.82626706,-0.35479963,0.7359588,0.936089
2141,0.7097707,-0.6992798,0.7862067,0.2682385
2142,0.40396827,0.06035756,0.25353956,-0.6089472
2143,-0.6733385,-0.54637337,0.8621242,0.04357248
2144,-0.7823524,0.72205096,0.4451685,1.1426939
2145,2.5458207,-1.2920341,0.52632904,0.8809181
2146,0.04991575,-0.16915339,0.49753356,-0.572763
2147,-1.9174587,-1.2466637,0.6824286,-0.28945115
2148,0.40339544,0.067609064,0.028124332,-0.013945996
2149,1.1488863,2.5310757,0.7362915,1.1800824
2150,-1.4898138,1.174053,0.35344255,0.31355947
2151,0.03416467,-1.8810388,0.81920445,0.07275384
2152,1.0060152,-0.073522806,0.3997866,0.5856239
2153,0.046656977,-0.24377105,0.5653001,0.8456638
2154,-0.9072351,-0.2452926,0.58805525,-0.12375098
2155,2.729499,0.12804009,0.27940536,1.1524606
2156,0.090875514,-1.2329429,0.20900083,0.7580565
2157,-0.31423143,-0.8326638,0.7688217,0.80938923
2158,0.47351798,0.20603746,0.12692618,-0.19909044
2159,-0.9302491,1.8702079,0.6761936,-0.13788737
2160,-0.59481066,1.484142,0.6201174,0.24925017
2161,-0.51371336,-0.31495103,0.7646283,-1.1118027
2162,1.6079648,1.0383661,0.8062575,-1.7601038
2163,-0.03573485,0.8174878,0.42835104,-0.09395821
2164,-0.17989345,0.2701443,0.7020936,-0.45007566
2165,0.7268427,-1.0190666,0.21824849,0.98225117
2166,1.8604337,1.7680755,0.58343196,-0.24338107
2167,-0.01289617,0.16998354,0.18513334,1.3111931
2168,1.088664,0.3070063,0.41571915,3.0722551
2169,0.7137507,-0.70118815,0.78373885,1.4150133
2170,-1.7790422,0.99714255,0.68058395,-0.046544056
2171,0.117924005,0.26548517,0.812812,0.1763173
2172,-0.29451367,0.099687114,0.5398549,1.3079038
2173,-1.8703667,-1.4796797,0.28215444,-1.0767233
2174,0.51959306,-0.92648035,0.8700787,-0.2522636
2175,-0.68742394,-1.5640471,0.17891836,0.01753026
2176,0.39715573,-0.6156131,0.8319284,-0.4961864
2177,0.90887856,-1.3992089,0.37911975,0.38448745
2178,-2.2728877,0.81430197,0.4183421,-0.14096867
2179,0.6072423,-0.3020461,0.76279783,-0.8533656
2180,-0.5557821,-0.6280497,0.7393087,1.5085031
2181,0.08373328,0.5597036,0.15530503,0.19234723
2182,1.3399664,0.42770416,0.5657451,-0.27342364
2183,0.39426386,-0.09252876,0.5523647,1.3317661
2184,-0.5302939,0.6632721,0.55220306,1.4257424
2185,0.41519985,0.16106208,0.46927094,-0.9019788
2186,1.188193,0.18909305,0.64493287,-0.116063
2187,-0.16066326,0.6299833,0.120506406,-0.545439
2188,-0.10740176,-0.18899801,0.1886915,-1.8205745
2189,-0.10710362,0.93330336,0.0125489235,-0.13714834
2190,-0.9602533,0.32636663,0.94126594,-0.4588504
2191,0.96896446,1.1339685,0.52594745,-0.30618966
2192,0.28394914,0.15094829,0.93790615,2.356188
2193,0.19817081,0.33813766,0.0813992,0.84674054
2194,0.1529905,-0.43732488,0.2653072,1.1212825
2195,-2.058581,0.4578439,0.58888304,-2.218398
2196,0.11870667,-1.5669667,0.14667237,0.6124371
2197,-0.57905614,-1.2844537,0.3525666,-0.96790254
2198,-0.41753098,0.41771862,0.75100064,-1.318916
2199,-0.028011661,-0.48756385,0.09896028,1.219715
2200,-0.76763505,-0.60739523,0.052559853,-0.6740062
2201,-0.84425575,0.4679578,0.93202364,-0.57536715
2202,-0.80515593,1.372456,0.9247292,0.64258605
2203,-0.06659574,1.4818143,0.062011838,1.2175218
2204,-0.32771248,-0.4447831,0.5776197,1.3662786
2205,0.9508942,-0.45486525,0.11133361,-0.59972626
2206,0.041770786,-0.93454635,0.26520824,-0.36892325
2207,-0.9791976,-0.57298094,0.46219385,-1.0577575
2208,0.13594505,0.42263994,0.999158,0.7064445
2209,-0.6526701,-1.5637232,0.9208635,1.8238386
2210,-0.3697473,-1.2319391,0.7561104,0.47538635
2211,-0.46114397,0.08085674,0.5278909,-1.0028374
2212,-2.4758258,-0.49182165,0.14735961,-0.13932437
2213,1.0836327,1.2767113,0.32893968,0.5603573
2214,-2.5937462,0.20230995,0.5726088,0.94917494
2215,-0.34275192,1.4881376,0.2298752,-0.7119218
2216,-2.3717597,-1.7906257,0.29428506,-0.53474677
2217,0.7358606,2.3116205,0.7848489,-0.035812292
2218,0.592359,-0.1773382,0.62447095,0.22363096
2219,-0.22484146,0.04763728,0.007033825,0.401441
2220,-0.63493174,-1.3162473,0.9179082,0.025152652
2221,0.6389438,-1.2520157,0.74671113,1.1980444
2222,1.2649782,-0.18998735,0.7739705,0.21088502
2223,1.0754983,1.5116552,0.8842262,0.09238336
2224,0.6861996,0.57803893,0.6332325,0.034768634
2225,-0.034554407,0.13909249,0.21591961,-1.3135086
2226,-0.48705238,0.7509881,0.06712508,-1.0172306
2227,0.83403695,-1.3346727,0.61062646,-0.30737108
2228,0.21721533,0.19795078,0.69772387,-0.22735518
2229,0.41590384,1.4997863,0.41364992,1.4046797
2230,1.1463773,-1.4702992,0.35695982,-0.3564609
2231,-0.530837,0.18296354,0.32013106,0.90486366
2232,-2.435826,-1.1706272,0.07475054,-1.6965181
2233,0.19285652,0.3902839,0.09147036,-1.3357314
2234,0.25890833,-0.6664856,0.6502807,-1.0239488
2235,-0.19792838,-0.043690473,0.67366755,-0.13548046
2236,0.9623124,1.135365,0.26251173,0.6426496
2237,-0.18518716,-0.21484102,0.15563846,-0.8044475
2238,-1.429464,0.04892188,0.72147155,-1.6931043
2239,-1.3797694,-0.098867476,0.9053725,-0.14980547
2240,0.26610518,0.0171011,0.15504098,0.7518758
2241,2.020049,0.019465707,0.7649782,0.90834254
2242,-0.28233066,0.9312124,0.9352646,-0.90658957
2243,-0.3679926,0.6603751,0.7119688,-1.0391366
2244,0.5937908,1.6967669,0.52593935,-1.7349228
2245,0.35716647,0.15323511,0.33464813,-0.23137395
2246,-2.046806,0.9573638,0.049715996,-1.7033746
2247,0.3499087,1.2298163,0.96547246,1.1661512
2248,-0.43504608,-1.5830332,0.60872805,-0.11974236
2249,0.041446295,-0.065598525,0.8532922,-0.20685355
2250,1.4847984,-0.64680684,0.74069417,-0.07465901
2251,1.2352476,0.92074394,0.97135746,0.48629135
2252,-0.1880709,1.0140667,0.6226084,0.25532714
2253,0.53255194,-1.2730641,0.7467896,-0.722468
2254,-0.39660665,-1.3017684,0.45231998,-0.014625866
2255,1.4429234,-0.3991413,0.81717134,1.6069393
2256,1.8191652,0.40478152,0.24321759,-0.13385339
2257,-0.4701959,1.6856565,0.26876557,1.0964286
2258,1.1010149,1.2811782,0.6680087,-0.23471363
2259,0.67597085,-1.3352044,0.03807807,-1.002388
2260,-0.026503291,1.2424535,0.45745265,-0.48027885
2261,-0.025940431,-1.3068632,0.3514253,-0.47290587
2262,-0.673193,-0.12849548,0.32261825,0.32646057
2263,-0.97785205,0.7517418,0.6153034,-1.7712172
2264,0.56260353,-1.4745638,0.83969486,-0.5987494
2265,-1.4352795,0.6563395,0.29804552,0.8406944
2266,1.0434802,-1.6443709,0.6790668,-0.44145668
2267,-0.91247773,-0.14630648,0.85795605,-0.47233486
2268,-0.19250415,1.2004007,0.7661561,-1.0748925
2269,0.057861995,0.7020235,0.024766445,-1.1163596
2270,-0.97625065,-1.4365058,0.32550848,-0.6983197
2271,-0.89447135,-0.56036866,0.17640233,0.4814077
2272,-1.1169643,-1.0018226,0.6254674,-0.7809102
2273,-1.161049,-0.35933605,0.42291903,1.7527848
2274,-0.8762633,-0.80126005,0.33581746,-0.28944525
2275,-1.4001067,-1.3427726,0.46858263,0.40096426
2276,0.32200477,-0.7650087,0.56714296,0.4835622
2277,-1.0717567,-0.3990232,0.5061252,0.7898898
2278,-1.9349439,1.9536341,0.23477626,-1.3587477
2279,1.5087615,0.29274207,0.25850153,1.3620884
2280,-0.88501626,0.20191349,0.31349778,-0.32977712
2281,0.68385893,-0.57630426,0.20618641,-0.5459144
2282,1.263138,0.6763521,0.06757581,-1.2541732
2283,-0.06254107,-0.42072037,0.6929656,0.26777607
2284,1.1529803,0.83338565,0.1448698,-0.22759621
2285,-1.2814522,-0.6292377,0.39522886,-0.267928
2286,-0.6729637,-0.50449336,0.41009974,-0.6141002
2287,-1.7762786,-0.57823974,0.78993595,0.72081125
2288,-0.34131992,1.1362312,0.95223904,-0.11851304
2289,-0.45279312,-0.8836291,0.5295427,-0.25381243
