,y
3041,0.0
2172,0.0
3326,0.0
3485,0.0
3839,0.0
3514,0.0
2722,0.0
3854,0.0
3172,1.0
2892,1.0
3651,1.0
2506,0.0
2224,0.0
2011,1.0
3543,0.0
3133,0.0
2678,0.0
3681,0.0
3705,0.0
2463,0.0
2436,0.0
3803,1.0
3254,0.0
2484,0.0
3085,0.0
3868,0.0
3291,0.0
3501,1.0
3926,0.0
3858,0.0
3052,0.0
3400,0.0
3458,0.0
3040,0.0
3082,0.0
2752,0.0
2659,1.0
2196,0.0
3337,0.0
3310,0.0
3513,0.0
2893,1.0
2528,0.0
3527,0.0
2607,1.0
2894,0.0
2789,0.0
2900,0.0
3336,0.0
3648,0.0
2797,0.0
2955,0.0
3141,0.0
3481,0.0
2525,0.0
3565,0.0
2625,0.0
2831,0.0
2038,0.0
2184,0.0
3823,0.0
2642,0.0
2673,1.0
2781,0.0
3459,0.0
3701,0.0
2230,0.0
3005,0.0
2084,0.0
3980,1.0
2433,0.0
2146,0.0
3022,0.0
2889,0.0
2590,0.0
2390,1.0
3350,1.0
2502,0.0
3439,0.0
2695,0.0
3720,0.0
3756,0.0
3116,0.0
3287,0.0
2306,0.0
2358,0.0
2641,0.0
3822,0.0
3037,0.0
3285,0.0
2685,0.0
2187,0.0
2541,0.0
3692,0.0
2704,0.0
2983,1.0
2046,0.0
3356,0.0
2198,0.0
3883,0.0
2611,0.0
2874,0.0
3261,0.0
2895,0.0
2259,0.0
3380,0.0
2737,0.0
2757,0.0
3339,0.0
3351,0.0
2980,0.0
3093,0.0
3953,0.0
3733,0.0
2579,0.0
2746,0.0
3466,0.0
3804,1.0
2357,0.0
2919,0.0
3871,0.0
2379,0.0
2860,0.0
2830,0.0
2111,1.0
2952,0.0
2055,0.0
2959,0.0
3867,0.0
3761,0.0
3417,0.0
2460,0.0
2105,0.0
2031,0.0
3863,0.0
3126,1.0
2605,0.0
2990,0.0
2009,0.0
2652,0.0
2582,0.0
3438,0.0
2247,0.0
3352,1.0
3860,0.0
2730,0.0
3019,0.0
3084,0.0
2480,0.0
2231,1.0
2834,0.0
2798,0.0
2693,1.0
3298,1.0
2404,0.0
3427,0.0
2891,0.0
2332,0.0
2486,1.0
2283,0.0
3568,0.0
3165,0.0
2318,1.0
3262,0.0
2536,0.0
2589,0.0
2596,0.0
3685,0.0
3917,1.0
3270,1.0
3492,0.0
3169,0.0
3053,0.0
2922,0.0
3687,0.0
3849,0.0
3317,0.0
2583,0.0
2299,0.0
3740,0.0
2598,0.0
2134,0.0
3236,0.0
2584,0.0
3622,0.0
3519,0.0
3690,0.0
3599,0.0
2553,1.0
2019,0.0
2865,0.0
3061,0.0
3876,0.0
3460,0.0
2888,1.0
2140,0.0
2271,0.0
2474,0.0
3241,1.0
3612,0.0
