,y
2317,0.0
2227,0.0
2622,1.0
2649,0.0
3733,0.0
2944,1.0
2516,0.0
2222,1.0
2146,0.0
2832,0.0
2198,0.0
2182,0.0
3606,0.0
3783,0.0
2788,1.0
3249,0.0
2813,0.0
3146,0.0
2421,0.0
2561,0.0
3193,0.0
2007,0.0
2704,0.0
3413,1.0
2239,0.0
2541,0.0
2115,1.0
3210,0.0
2325,1.0
2309,0.0
2780,1.0
2484,0.0
3048,0.0
3743,0.0
2408,0.0
3169,0.0
3159,0.0
3422,0.0
2220,0.0
2443,1.0
3586,0.0
2963,0.0
2123,0.0
2080,0.0
2151,1.0
3622,0.0
2984,0.0
2918,1.0
3143,0.0
2194,1.0
2274,0.0
2170,0.0
2257,0.0
3371,0.0
2008,0.0
2382,0.0
3260,0.0
3940,0.0
2043,1.0
2009,1.0
3874,0.0
2099,0.0
3113,0.0
2468,0.0
2776,0.0
2411,0.0
2874,0.0
3294,0.0
3789,0.0
3414,0.0
2530,1.0
2526,0.0
3345,0.0
3860,0.0
3848,0.0
3875,0.0
2638,0.0
2676,1.0
2360,0.0
3710,0.0
2921,0.0
3194,0.0
3237,0.0
2940,0.0
3403,0.0
3604,1.0
3715,0.0
3058,0.0
3500,0.0
2457,0.0
2875,0.0
2248,0.0
2719,0.0
3323,0.0
3442,0.0
2976,0.0
2728,0.0
2494,0.0
2702,0.0
3254,0.0
2557,0.0
2932,0.0
3461,1.0
3248,0.0
3614,0.0
3698,1.0
2027,0.0
3576,1.0
2161,0.0
2249,0.0
3811,0.0
3112,1.0
2791,0.0
3694,0.0
2562,1.0
2680,0.0
2177,0.0
2386,1.0
3017,0.0
2221,0.0
3378,0.0
3155,0.0
3184,0.0
2131,0.0
3369,0.0
2906,0.0
2349,0.0
2030,0.0
3258,0.0
2371,0.0
2501,0.0
2837,1.0
2691,0.0
2985,0.0
2428,0.0
2001,0.0
2666,0.0
2344,0.0
3038,0.0
2385,0.0
2053,1.0
2244,0.0
3969,0.0
2426,0.0
3556,1.0
3357,0.0
3388,0.0
2059,0.0
2396,0.0
3718,1.0
2113,0.0
2703,0.0
2135,1.0
2849,0.0
3336,0.0
2405,1.0
2156,0.0
2387,0.0
3056,0.0
2609,0.0
2470,0.0
2153,1.0
2242,1.0
3395,0.0
3101,1.0
2293,0.0
2316,0.0
3960,0.0
3302,0.0
2919,1.0
2212,0.0
3054,0.0
2579,0.0
3700,0.0
2782,0.0
2496,0.0
2305,0.0
3023,1.0
3387,0.0
2303,0.0
3674,0.0
2708,1.0
3402,0.0
2365,0.0
3098,0.0
3903,0.0
3662,0.0
3284,0.0
3708,0.0
2100,0.0
3373,1.0
3385,1.0
2338,0.0
3532,0.0
2003,0.0
3160,0.0
2772,0.0
3668,0.0
2301,0.0
2402,1.0
