,y_hat
2348,False
3932,False
2364,False
2293,False
3317,False
2417,False
2390,False
3504,False
3853,False
2640,False
3323,False
3807,False
3739,False
3874,False
2116,False
2059,False
3640,False
2747,False
2473,False
2151,False
2809,False
2853,False
2712,False
2603,False
2779,False
3590,False
2536,False
2904,False
3900,False
3812,False
2792,False
2981,False
3273,False
3467,False
2118,False
2728,False
2024,False
3622,False
3033,False
3714,False
3016,False
2380,False
3715,False
3857,False
3321,False
2035,False
3810,False
2526,False
2371,False
2829,False
2366,False
2132,False
3153,False
3329,False
3565,False
2946,False
3675,False
3597,False
3567,False
2190,False
2299,False
3032,False
2956,False
2683,False
3661,False
2119,False
2161,False
2142,False
2661,False
2472,False
3576,False
2135,False
2338,False
3176,False
3650,False
2753,False
2222,False
3318,False
2725,False
2405,False
3770,False
2284,False
3523,False
2514,False
2349,False
3615,False
3830,False
2766,False
3179,False
2475,False
3254,False
2217,False
3373,False
3110,False
2314,False
2215,False
2828,False
2001,False
3072,False
2398,False
2458,False
3252,False
2247,False
2811,False
3600,False
2983,False
2303,False
3898,False
2670,False
2760,False
2251,False
2358,False
3938,False
2401,False
2051,False
3276,False
3101,False
2104,False
2872,False
2288,False
3064,False
3710,False
3536,False
2180,False
3002,False
3551,False
2791,False
2617,False
3612,False
3882,False
2772,False
2681,False
2846,False
2252,False
2892,False
2182,False
3130,False
3529,False
3834,False
3517,False
3293,False
3748,False
2061,False
2902,False
3092,False
2519,False
2099,False
3382,False
3542,False
3619,False
2690,False
3363,False
2450,False
3775,False
2280,False
3780,False
3406,False
2561,False
2238,False
3556,False
3969,False
2710,False
2187,False
3703,False
2065,False
3333,False
2048,False
2672,False
2379,False
3719,False
2095,False
3811,False
2717,False
3079,False
3080,False
3422,False
2404,False
2322,False
3424,False
2243,False
2807,False
3477,False
2321,False
2660,False
3800,False
2009,False
2457,False
3951,False
3921,False
2146,False
2850,False
3995,False
3051,False
3733,False
2635,False
2323,False
2637,False
2274,False
2738,False
3385,False
