,x1,x2,x3
3597,0.1,0.9,-0.0
2116,0.0,0.0,4.8
2006,0.0,0.0,2.4
3583,0.0,-0.0,1.2
2660,-0.0,0.0,3.5
2741,0.0,-0.0,2.7
2946,0.0,0.0,4.6
2447,0.0,0.0,2.8
3277,0.0,-0.0,2.1
2056,-0.0,-0.0,0.4
3781,0.2,2.2,0.0
2387,0.0,-0.0,0.9
2917,-0.0,-0.0,0.3
3367,-0.0,-0.0,1.4
2283,0.0,-0.0,1.9
2649,0.0,-0.0,2.0
2438,-0.0,0.0,3.0
3086,0.3,0.4,0.0
2168,0.7,0.5,-0.0
2286,0.0,-0.0,3.0
3368,1.1,-0.0,0.0
3483,-0.0,-0.0,2.5
3730,0.0,-0.0,1.3
3645,-0.0,0.0,4.5
2674,0.0,0.0,1.5
2519,0.0,0.0,0.5
2880,0.0,0.0,3.3
3031,0.0,0.0,1.8
2354,0.5,-0.0,-0.0
3493,-0.0,-0.0,2.7
2085,-0.0,0.0,0.3
2561,0.0,-0.0,5.0
2564,-0.0,3.2,-0.0
2832,1.9,0.8,-0.0
3396,0.4,0.0,0.0
2341,0.0,-0.1,4.8
2999,0.0,-0.1,3.3
3601,-0.0,-0.0,3.9
3881,0.0,-0.0,2.8
3927,0.9,0.6,0.0
2243,0.0,-0.0,0.4
2269,0.0,-0.0,0.4
3431,0.8,0.0,0.0
2014,0.0,-0.0,2.8
3747,-0.0,0.0,7.1
3906,0.0,-0.0,2.1
3028,0.0,0.4,0.0
2478,-0.0,-0.0,7.1
2511,-0.0,-0.0,4.0
2912,0.1,-0.0,0.8
3162,-0.0,0.0,1.8
2435,-0.0,-0.0,1.8
3029,0.0,-0.0,2.7
2372,0.0,-0.0,1.9
3077,0.0,0.0,0.3
2259,0.1,-0.0,0.7
2225,0.6,0.0,0.0
2123,1.0,-0.0,-0.0
3398,0.0,0.0,1.9
2181,1.4,0.0,0.0
2033,0.0,0.0,3.2
2793,0.3,0.0,-0.0
2055,-0.0,-0.0,0.2
3480,0.0,-0.0,3.2
3347,0.4,0.0,0.0
3000,-0.0,0.2,-0.0
2391,1.2,-0.0,0.0
3060,0.1,0.1,6.2
2135,-0.0,-0.0,2.8
2612,-0.0,0.0,3.0
2024,0.0,0.1,3.5
3716,-0.0,-0.0,1.0
3226,0.7,1.8,0.0
2816,-0.0,-0.0,1.6
2905,-0.0,0.0,2.6
3577,-0.1,0.1,2.4
3290,0.8,0.0,0.0
3844,0.1,0.1,2.7
3236,-0.1,-0.0,2.1
2514,0.1,0.0,-0.0
3035,0.1,0.0,-0.0
3327,-0.0,0.0,1.3
2882,0.0,-0.0,0.3
2087,-0.0,-0.0,3.7
