,y
3095,0.0
2303,0.0
3352,0.0
3043,0.0
3749,1.0
3480,0.0
2446,0.0
3722,1.0
3456,0.0
3927,0.0
3158,0.0
3195,0.0
2297,0.0
2796,0.0
3608,0.0
2339,1.0
2953,0.0
2473,0.0
2810,0.0
2875,0.0
2607,0.0
2756,0.0
2085,0.0
3435,1.0
2383,0.0
3141,0.0
2933,0.0
3817,0.0
2169,1.0
2451,0.0
2107,0.0
2909,0.0
2991,1.0
3455,0.0
2206,0.0
3564,0.0
2661,0.0
3110,1.0
3156,0.0
3196,0.0
3694,0.0
3766,0.0
2354,0.0
3711,0.0
3476,0.0
2080,1.0
2790,0.0
2268,0.0
3842,0.0
2900,1.0
2365,0.0
2427,0.0
3703,1.0
2355,0.0
2524,0.0
3767,1.0
3553,0.0
2974,1.0
2967,0.0
3956,0.0
3198,0.0
3374,0.0
3013,0.0
2779,0.0
2328,0.0
3670,0.0
3083,1.0
3007,0.0
2357,0.0
3045,0.0
2945,0.0
3421,0.0
2160,0.0
2736,0.0
2386,0.0
2588,0.0
3164,1.0
3259,0.0
3052,1.0
3683,0.0
2278,0.0
3429,0.0
2535,1.0
3337,0.0
2318,0.0
3215,1.0
2186,0.0
2381,0.0
2387,0.0
3687,0.0
2244,0.0
2313,0.0
2412,0.0
3678,0.0
3425,0.0
2976,0.0
2190,0.0
3339,1.0
3534,0.0
2709,0.0
3910,0.0
3614,0.0
3692,1.0
2797,0.0
2323,0.0
3831,0.0
2060,0.0
2293,1.0
2901,0.0
3193,0.0
2632,0.0
3022,1.0
3969,0.0
2413,0.0
2194,0.0
2274,0.0
2260,0.0
3701,1.0
3298,0.0
2578,1.0
3365,0.0
2629,0.0
2056,0.0
3117,0.0
3433,0.0
2916,0.0
3405,0.0
3905,1.0
3496,0.0
3202,0.0
2592,0.0
2352,0.0
2672,0.0
2150,0.0
2508,0.0
2067,0.0
3340,0.0
2523,0.0
3830,1.0
2547,0.0
2516,0.0
3378,0.0
2613,0.0
3752,0.0
3851,1.0
3693,0.0
2818,0.0
2925,0.0
2930,0.0
2179,0.0
2212,0.0
2941,0.0
3636,0.0
2329,0.0
3573,0.0
2514,0.0
2364,0.0
3446,0.0
2689,1.0
3135,0.0
2589,0.0
2827,0.0
2608,0.0
2130,0.0
2615,0.0
2290,0.0
2718,1.0
3109,0.0
3963,0.0
3581,0.0
3790,0.0
2485,0.0
3318,0.0
3396,0.0
3840,0.0
2001,0.0
3761,0.0
2122,0.0
3570,0.0
2467,0.0
2415,0.0
3207,0.0
3642,0.0
2798,0.0
2288,1.0
2801,0.0
3674,0.0
3036,0.0
3716,0.0
2231,0.0
2811,0.0
3525,0.0
3768,0.0
3943,0.0
2973,0.0
2104,0.0
3047,0.0
2425,1.0
2360,0.0
3145,0.0
