,x1,x2,x3
2949,-0.5578389,0.9298277,-0.11828482
2028,-1.2843679,-1.0045457,-2.268946
3870,-2.0625613,-2.747068,-4.2533574
2200,-0.31550562,0.28497285,-1.0172032
3054,-1.417513,-2.138187,-3.317125
2714,-1.1494997,-0.8211374,-1.6173173
3399,-0.49166852,-2.2174911,-2.8135507
3738,-0.33656102,0.07407731,-0.660365
3375,-0.5660421,-1.0988002,-0.8629221
3675,-0.042468388,0.5904777,0.4967122
3876,-0.6884401,0.17785704,-0.12116611
2136,0.079334795,-1.4631863,-1.8842814
3256,-0.5586026,-0.18438262,-1.9520755
3858,-0.08635753,0.23926228,-0.9653777
2131,0.708956,0.31495386,0.16721654
3198,-1.0939207,-2.234671,-3.1594632
3634,-0.43920675,-1.8605517,-1.653621
2678,-1.2762426,-2.966044,-4.3260255
2890,0.607744,-0.4449464,0.10921301
3774,-0.23463777,-1.0392021,-2.3432965
2920,-0.15570737,0.2823329,0.50620043
2926,-0.676714,-0.8059992,-0.82789874
3619,-0.7058197,-0.46332824,0.27654263
3274,-2.1529903,-2.7680948,-4.6421165
2108,-1.6218207,-1.3410758,-3.5729294
3058,-1.3662213,-3.0992374,-3.1123857
2210,0.29551256,0.41647467,-0.75745904
3863,0.37113613,-0.43888998,-0.5431545
3355,0.120481424,-0.5544637,0.46642682
3542,0.2757423,0.21166074,-0.08980942
3561,-0.72256464,-1.4337409,-2.4863834
3479,-0.4560453,-2.801855,-4.1534457
2546,-1.586742,-1.2667215,-2.9714684
2231,-0.4782168,-0.30955732,-1.364313
2355,-0.083887264,-1.2062088,-0.9009328
3354,-2.663784,-0.43847537,-3.180373
3643,-0.7490754,-1.8966765,-2.9019463
3292,-0.8285232,-1.1391499,-2.4672496
2487,-0.36967823,-1.1742988,-2.2572694
2457,-0.66699386,-1.5147476,-2.724919
3586,-0.6224556,-0.33754376,-1.8174751
2777,0.22425847,-1.069127,-1.9395983
2337,-0.2746404,-1.0503622,-0.4661752
3794,-0.9374896,-0.9062426,-1.6136522
2808,-1.127578,-1.5812308,-2.5080242
2015,-0.08707408,-0.22969046,-2.1815102
2669,-1.2508603,-3.7090912,-4.4563236
3396,-1.8578703,-1.0446968,-2.8688543
2797,0.029729212,0.010050261,-0.21019837
2638,-0.65637124,-0.5634654,-1.7018299
3034,0.14459132,-0.34979594,-0.13310719
3574,0.36650282,0.367177,0.43119764
3192,-0.6025204,-0.7689536,-1.9523289
3664,-0.8202673,-0.39971787,-2.0770411
2786,-2.2955709,-0.91052413,-4.5923166
2428,-0.20456481,-0.48681086,0.13238984
2760,0.25083822,-1.3079431,-1.4745429
2592,-1.2501452,-2.4215264,-3.1612496
2550,-1.3411145,-2.6722193,-5.1470375
2148,-0.008693412,-0.55271095,-1.2567904
3211,0.29203823,-0.0017561913,-0.89798224
2614,-1.2590114,-0.6862679,-4.307348
2043,-0.18567811,-1.01914,-0.13175261
3242,-0.95801723,-4.100004,-4.7061377
2078,-0.4535153,0.14231437,-0.6824496
2014,-1.427834,-1.227489,-3.0241675
3351,-0.6510563,-0.12266976,0.39837438
2656,0.14367524,0.45533857,-0.33906066
3440,0.7319637,-0.5696443,0.33269894
3715,0.036901437,0.25638714,-0.2569778
3743,-0.1633757,-0.549986,-0.5525461
3882,0.29014996,1.4403188,0.43716824
2801,0.1882803,-0.058409348,-0.57257295
3123,-0.5160367,-2.3113096,-3.7187202
3334,-0.31418774,-1.1919686,-1.009265
3486,-1.1841844,-1.139906,-1.2303772
3629,-1.3135037,-2.2051291,-2.729421
2445,0.59414876,-0.47881615,0.5202211
2327,-0.15943475,-0.6836704,0.19851393
3588,-0.5181738,-0.8900311,-0.48789376
3898,-0.7767848,0.198183,-0.957388
3215,-0.5357327,0.0853259,-1.5826643
3164,-1.0206398,-2.4003854,-3.4083076
3534,-1.7692928,-1.366625,-2.125
2622,-0.79466087,0.16169614,-1.8251079
3155,-0.27545288,-1.2513629,-1.3475149
3402,0.32230756,-0.52811456,-0.22556247
2815,-0.2781,-1.67902,-1.4409013
2739,-1.6162311,-2.374975,-4.2774153
2247,0.30325717,-0.8980171,0.26572835
2708,-1.1748841,-2.2024717,-4.325085
3592,0.658944,-1.2528672,-0.09701264
3969,0.26081222,0.6155531,-0.16101241
3610,-0.86342597,-1.0582228,-1.9001479
2189,-1.1637177,1.1730578,-1.026799
2149,-1.0949726,-0.7496132,-0.5270567
3032,-2.0694137,-2.572791,-3.64206
2932,0.49882844,-0.2576473,-0.86460435
3702,-1.8972559,-1.657463,-3.0514743
3704,-0.875801,-1.5849359,-2.743391
3548,-0.2051318,-0.12126268,-0.7024561
3097,-0.2232077,0.9368894,-1.0276848
3015,-0.38693908,-1.9259064,-0.25594115
3258,-0.93211704,-1.9167956,-4.0491123
2688,-0.2745101,-1.4695659,-3.2988007
3722,-0.14443718,-0.9218646,-0.27458018
3937,-0.63464373,-1.3603563,-1.0378947
3685,-0.94802606,-0.94766235,-1.4976966
3416,-0.83259827,-0.87823147,-1.1039572
3949,-0.6334425,-0.75573957,-0.48733014
2170,-2.1727421,-3.243825,-6.109697
3896,0.44515568,-0.07916474,0.29417837
3099,-0.21744555,0.56773216,-0.328619
2573,-0.09571235,-1.3832266,-2.3383403
3658,0.19184318,-0.747455,-0.4568835
3059,-0.42500088,0.12916163,-2.0194194
3496,-0.21434599,-1.9615593,-1.2272642
2295,0.40024838,-0.47935364,-0.029185236
2266,-1.1313702,-1.758993,-2.4428587
3432,-1.205237,-1.8196288,-4.164447
3371,-0.79990107,-0.14342141,0.5757037
3573,-0.97652555,-2.2111373,-3.4248974
3671,-1.1620867,-1.0522685,-3.5490923
2203,-0.792309,0.43637568,-1.4159281
3558,-0.7242789,-1.159342,-2.467074
2554,-0.62636614,-1.2312794,-0.8659101
2516,-0.08675764,-2.2713916,-1.2357949
3888,0.46563205,-0.024903774,-0.707571
3945,-0.90755033,-1.3060523,-2.7616904
2916,0.45674184,-0.23866484,0.4040624
3010,-1.0923538,-0.5419273,-1.6762067
2113,-1.2411773,-1.0389159,-1.4148006
2412,-1.5522271,-2.1328175,-3.5303833
2112,-0.08018628,-0.21582025,-0.2648836
3657,-0.5836339,-0.4922531,-0.23035744
3089,-0.28299835,-0.64972126,-0.933581
