,y
3143,0.0
3591,0.0
3254,1.0
2946,0.0
2492,0.0
3383,0.0
3984,0.0
2717,1.0
2881,0.0
2875,0.0
3881,0.0
2741,1.0
3290,0.0
2386,0.0
3243,0.0
2954,0.0
3636,1.0
2994,0.0
3585,0.0
2814,0.0
2937,1.0
2458,0.0
3024,0.0
3610,0.0
3605,1.0
2863,0.0
3568,0.0
3830,0.0
3617,0.0
3157,0.0
3175,0.0
2108,0.0
2860,0.0
2931,0.0
3858,0.0
2242,0.0
3248,0.0
2773,1.0
2742,1.0
3113,0.0
3161,0.0
2785,0.0
2456,0.0
2728,0.0
2023,0.0
3464,0.0
2749,1.0
2882,0.0
3334,0.0
2651,0.0
2620,0.0
2347,0.0
2119,0.0
3509,0.0
3321,1.0
2409,1.0
3717,0.0
2270,0.0
2771,0.0
2122,0.0
3648,0.0
2687,0.0
3386,0.0
3589,1.0
2643,1.0
3184,1.0
3176,0.0
2508,0.0
3395,0.0
3124,0.0
3491,0.0
2382,0.0
3876,0.0
3721,0.0
3715,0.0
2963,1.0
3343,0.0
2180,0.0
3847,0.0
3670,0.0
3992,0.0
3697,1.0
3307,0.0
2239,0.0
3337,0.0
2630,0.0
2449,0.0
3130,0.0
2393,0.0
2808,0.0
2020,0.0
3541,0.0
2531,0.0
3240,0.0
2649,1.0
2873,0.0
2392,0.0
2662,0.0
3801,1.0
3115,0.0
3480,0.0
3559,0.0
3747,0.0
3178,1.0
3324,0.0
3826,0.0
3898,0.0
3622,0.0
2252,1.0
2127,0.0
2603,0.0
2120,1.0
2951,0.0
3070,0.0
3767,0.0
3054,0.0
2537,0.0
2226,1.0
3436,0.0
3150,0.0
3295,0.0
2334,0.0
3681,0.0
3413,0.0
2143,0.0
2780,0.0
2246,0.0
3118,0.0
3329,0.0
3074,0.0
2879,0.0
3627,0.0
2356,0.0
3397,0.0
2141,0.0
2373,0.0
3841,0.0
3924,1.0
2772,0.0
2348,0.0
2986,0.0
2412,0.0
3269,0.0
2261,0.0
2346,0.0
2126,0.0
2375,0.0
3215,0.0
3294,0.0
3998,0.0
3147,0.0
2328,0.0
3879,0.0
2383,0.0
3955,0.0
3973,0.0
3268,0.0
3317,0.0
3794,0.0
3091,0.0
3561,0.0
3521,0.0
2465,0.0
2564,0.0
2027,0.0
3862,0.0
2810,0.0
2367,0.0
3859,0.0
3357,0.0
3013,0.0
2319,0.0
2263,0.0
2751,0.0
2454,0.0
2410,0.0
2534,0.0
2899,0.0
3210,0.0
2539,0.0
3792,0.0
2672,0.0
3684,0.0
2590,0.0
3481,0.0
2406,0.0
2472,0.0
3597,0.0
3027,1.0
3488,0.0
2786,0.0
2548,1.0
3654,0.0
2669,1.0
3743,0.0
3229,0.0
2245,0.0
2496,1.0
2404,0.0
3260,1.0
