,y_hat
3302,False
3077,False
2109,False
2656,False
2773,False
3974,False
3322,False
2845,False
2536,False
2315,False
2568,False
3437,False
2520,False
3346,False
3235,False
3597,False
2334,False
3035,False
2442,False
3150,False
2218,False
3467,False
3859,False
2280,False
2073,False
3296,False
2400,False
3092,False
2999,False
3098,False
2267,False
2962,False
2464,False
2007,False
3207,False
2331,False
3364,False
2885,False
2398,False
3309,False
3237,False
2011,False
2734,False
2270,False
3019,False
3692,False
3694,False
2617,False
3949,False
3607,False
3378,False
3536,False
2247,False
2907,False
2512,False
3440,False
2497,False
2968,False
3071,False
3696,False
3525,False
3492,False
2138,False
2189,False
2343,False
2729,False
3083,False
2703,False
3149,False
2967,False
3508,False
2571,False
2324,False
3048,False
3851,False
2183,False
3744,False
3079,False
3615,False
2901,False
3023,False
2349,False
2062,False
2506,False
3563,False
2762,False
3920,False
2338,False
2486,False
3690,False
3120,False
2080,False
3178,False
3123,False
2402,False
3538,False
2895,False
3466,False
3054,False
3428,False
3634,False
3275,False
3988,False
2859,False
2942,False
2311,False
3807,False
2495,False
2618,False
3203,False
2663,False
2191,False
3823,False
3315,False
2857,False
2755,False
3647,False
3205,False
2840,False
2389,False
3515,False
3954,False
3680,False
2394,False
3409,False
3325,False
3303,False
2173,False
3426,False
2989,False
2312,False
3925,False
3836,False
2245,False
2265,False
3029,False
2964,False
2325,False
3244,False
2936,False
3060,False
3233,False
2609,False
2105,False
3968,False
3067,False
3896,False
3825,False
3684,False
2465,False
3566,False
3722,False
2277,False
2178,False
3546,False
3276,False
3878,False
2583,False
3176,False
3490,False
2801,False
2581,False
3069,False
3611,False
3248,False
3068,False
3412,False
3947,False
2539,False
3053,False
3754,False
3678,False
2498,False
2523,False
2909,False
3442,False
2799,False
3479,False
3935,False
2955,False
2793,False
3695,False
3821,False
2963,False
3046,False
2249,False
2829,False
2153,False
3124,False
3720,False
2833,False
2083,False
2078,False
2034,False
2049,False
3852,False
2809,False
2589,False
2891,False
2556,False
