,x1,x2
3778,1.1,2.7
3136,0.4,1.3
3613,2.3,2.0
2011,0.9,3.0
2867,0.9,2.4
3538,1.4,2.2
3966,2.5,1.2
3179,2.1,2.5
3877,2.5,2.0
3827,3.5,5.4
3564,1.4,3.2
3463,1.4,3.6
2553,0.7,4.6
2484,0.4,3.3
2462,0.2,2.1
3444,0.1,1.3
3981,1.5,4.7
3625,0.8,0.1
3202,0.3,1.5
3016,0.4,4.1
2209,3.2,2.8
2033,0.7,2.0
2862,0.7,1.9
2975,0.4,4.6
2937,2.2,2.4
2276,1.6,1.0
3735,2.1,1.4
2550,1.5,2.1
2884,1.9,0.6
3862,1.6,3.6
2981,0.8,0.9
3810,2.9,3.0
3620,0.9,0.7
2722,0.5,2.0
2919,1.0,2.9
3079,0.1,2.5
3000,2.0,2.0
3077,1.4,3.3
2530,0.2,3.5
2885,2.5,2.2
2164,0.9,3.4
2827,0.5,4.6
3630,-0.0,1.8
2433,0.2,1.8
3639,1.9,1.1
3391,1.5,3.1
2264,1.8,0.2
2930,-0.0,3.0
3899,2.6,1.3
2208,1.4,1.4
2133,1.3,2.3
2795,2.6,3.0
3088,0.3,4.4
2149,1.7,3.6
3554,-0.0,3.1
3396,1.6,2.5
3102,0.3,1.9
2496,0.0,3.7
3652,3.0,1.6
2388,0.2,3.1
3485,0.9,1.5
2586,0.8,2.1
3940,-0.1,3.2
3788,0.9,3.1
2737,2.1,5.6
3347,2.8,2.6
3231,2.2,2.1
3602,1.2,2.8
3543,0.7,1.4
3991,1.2,3.2
3997,1.6,4.0
3408,3.5,3.6
3658,2.0,1.9
3868,2.1,1.8
3667,0.6,2.3
2604,1.1,1.5
3188,1.3,1.4
2068,1.5,2.4
2977,1.8,2.3
3057,2.0,1.2
2071,0.0,2.8
3830,1.9,4.1
2325,2.0,4.2
3126,2.1,0.4
2843,0.1,2.6
2537,1.8,2.0
3740,0.5,1.2
3861,1.5,1.1
2923,2.6,1.9
2445,1.8,2.8
2995,1.1,0.7
2475,0.9,2.1
3147,1.5,0.3
2579,1.2,2.0
2077,0.5,1.8
2196,1.2,3.1
2780,1.3,1.8
3040,3.3,1.2
2105,2.6,-0.0
2536,2.4,2.9
2468,1.8,1.8
2116,0.6,0.7
2302,1.0,2.4
3927,3.6,0.8
2444,1.8,0.3
2531,1.3,2.0
2379,1.7,3.2
3834,1.8,0.7
3006,2.8,2.0
2045,2.5,3.9
2315,2.7,3.1
3668,2.6,2.0
3155,1.3,1.3
3332,1.3,5.0
3132,1.4,2.2
2469,2.0,2.0
2634,1.6,1.5
3515,0.8,3.3
3494,3.1,2.4
3552,1.4,4.0
2982,2.0,2.4
2129,2.8,4.3
2635,2.6,2.8
3328,2.6,3.1
3315,2.5,2.0
3523,0.7,3.1
3666,0.9,2.6
2081,1.8,4.7
3368,0.3,2.9
3653,1.7,1.4
3305,2.3,3.8
2625,0.2,3.8
2914,1.1,2.9
3617,1.0,2.2
2607,0.5,0.7
2908,2.5,1.2
2528,2.3,2.5
2702,0.4,2.6
2280,1.9,1.8
3864,1.0,3.4
2329,1.0,2.1
3301,1.4,0.7
2689,0.6,1.4
3701,1.0,2.9
3824,0.4,1.8
2435,0.1,2.9
3784,0.6,1.9
3540,0.2,2.2
3881,0.1,2.9
3185,2.2,2.2
2845,1.6,0.7
2863,0.9,1.1
3110,0.9,1.8
3855,1.4,2.6
3074,2.3,2.3
2443,0.9,2.4
2335,1.7,1.7
2437,1.8,0.1
3765,0.8,3.2
2649,1.5,3.2
2318,0.5,3.3
3676,0.8,3.9
2847,4.3,0.6
3192,2.7,2.9
2775,3.1,3.6
2641,1.5,1.9
3768,0.9,2.7
3030,0.9,2.6
3330,3.4,1.9
3235,2.3,1.8
2452,1.0,0.4
3741,1.5,2.6
3109,2.1,1.4
2429,2.6,1.4
3517,0.6,3.5
3945,2.8,2.9
2976,1.7,3.6
2544,1.0,0.8
2328,1.3,4.7
3425,0.9,2.5
3339,1.8,1.9
2503,1.9,3.0
2628,0.5,1.3
2605,1.8,3.2
3655,0.6,2.8
3358,1.6,2.4
2715,2.9,4.5
3938,0.7,2.4
3209,1.3,0.6
2916,1.2,2.7
2985,2.2,2.9
2320,0.4,0.3
2385,1.4,2.8
3031,1.0,2.1
2236,2.5,2.6
2942,2.0,4.2
2555,2.1,4.7
2052,0.3,0.6
2476,2.3,3.8
2403,2.0,3.5
