,x1,x2,x3,x4,x5
2902,0.48285165,-0.37727642,0.36060438,0.80817455,-0.036000926
2466,0.04957887,0.38488704,0.4842991,-1.2190107,-0.40027428
3309,-0.2919199,0.80342555,1.0845546,-2.2040381,-0.3775126
2352,-0.56133455,1.2832648,-0.7258968,-0.6024791,-0.017733222
3066,0.7098134,-0.47887954,1.0122663,2.0459633,0.016603768
2812,0.38800025,-0.054824434,0.6877031,-0.41733408,0.0790879
3495,0.49105275,-0.24752504,-1.3077853,1.5598722,-0.48141798
2866,0.164766,0.22224045,-1.0687544,-0.9716317,-0.010977326
3863,-0.74544924,1.4238905,0.6441544,-0.57570076,0.13668631
3720,0.070216715,0.49734825,-1.761653,-2.5756788,0.073528424
2807,0.851844,-0.57160383,-0.6366144,-1.1350596,0.115451545
2030,1.1031874,-0.6750051,-1.9617294,0.170686,-0.36571187
3508,0.0740518,0.3838604,-0.704975,-1.2001684,0.118177176
2348,1.5093577,-0.9260535,-1.1074375,-1.4261672,0.1908817
3241,0.7149995,-0.36050653,-2.0174203,-0.007442538,-0.24843588
3162,1.3683972,-0.91079074,-1.0880575,-0.83697426,0.009152103
3100,-0.519569,1.2320629,-0.77782595,-0.23120117,-0.099872656
2211,0.6609394,-0.37502295,-1.3517166,0.042665035,-0.18732862
2917,0.9260854,-0.74564475,0.7420613,-0.15797773,0.19059026
3947,0.54611266,-0.21794736,-0.37424248,0.59018236,-0.16989927
3244,-0.3686213,1.0897132,0.27218208,0.34257177,-0.027663048
3107,0.2407756,0.056495562,0.0049568173,-0.61671,0.068956986
3434,-0.66575855,1.4189205,1.2594023,-0.9698845,-0.35256094
3786,2.3178854,-1.1184123,-0.5945935,0.2726301,-0.17559524
2960,1.377909,-0.5739173,-0.5346228,0.2881394,-0.10485363
2342,-0.08992245,0.8158512,-0.8378433,-0.18724795,-0.1099342
2068,-0.49490118,1.2288288,-0.8865466,-0.44395655,-0.15277356
2908,-0.72011465,1.4457787,-0.9379902,-0.8889863,-0.17770514
3925,-0.80140555,1.4572289,-0.22905296,-0.5559686,0.18152446
3339,-1.249573,1.6998441,1.4751165,-0.5661989,0.40529242
3099,1.4157757,-0.7780751,-0.5848943,-2.0717819,-0.66299427
2508,1.6050684,-0.8907307,-0.054489747,-2.9631932,-0.35597354
3123,-0.25874904,1.0377045,1.2920215,0.12795031,0.20793064
2791,-0.09586695,0.7512353,0.67402595,0.30058444,0.22993876
2982,0.9708288,-0.6858181,-2.9277031,0.69718933,-0.68773293
3808,-0.42460164,0.9146881,-1.045594,0.5951479,-0.28213573
3724,1.8717661,-1.0126671,-0.029734313,0.49695554,-0.15945248
2016,0.7366113,-0.4872871,-1.7079202,0.611032,-0.41208914
2911,0.58148515,-0.27305543,-0.8018092,-1.0999383,0.13617072
2276,1.7687277,-1.0470341,-0.42498004,0.6663581,-0.3947317
2410,1.690858,-0.9231868,0.21290296,0.6637033,-0.034704316
3001,1.3079221,-0.66351795,-0.72329175,0.7572088,-0.17275248
2344,1.5666806,-0.80449176,-1.7064265,0.3414544,-0.35348794
2366,-0.35406202,1.118963,-0.767675,0.022870852,-0.2663492
2662,-0.07225336,0.57650506,0.5510301,-1.2925617,-0.44836304
2038,-0.4316975,0.95257795,-1.3887142,0.120901324,-0.3317076
3426,-0.8111491,1.5096867,-1.3836268,0.8197394,-0.46860602
3999,-2.3824236,1.9048673,0.70666456,-1.0148839,0.44484565
3335,0.09372216,0.2809441,-0.7034118,-0.098522164,0.046815738
3533,-0.13305295,0.8841997,0.28767052,-0.8759532,0.3683463
3974,0.28105733,0.12255362,-1.4894519,-0.24790785,-0.23583792
3812,0.23187259,0.060843386,1.261683,-0.13172327,0.3093611
3957,0.3973763,-0.3087365,-0.8358365,0.8132967,-0.44136983
3816,-0.502408,1.1338917,0.1478498,0.5714167,-0.31469533
2355,0.25084102,0.16556382,1.4615498,-0.18140146,0.45480216
3649,0.18954848,0.25475895,0.23602495,-1.468649,0.41869572
2515,0.35568362,0.10195283,-0.19389814,0.8535035,-0.41553256
2874,-0.09403775,0.43924055,-0.40946832,-1.5509853,0.26318368
2510,-0.090358995,0.46804255,-1.0076487,1.741393,-0.31108063
3541,-0.13243887,0.6156646,-0.8553352,1.4134018,-0.44995943
3685,-0.36913502,1.1880829,-0.070086,0.2614618,0.029169187
3091,0.91927207,-0.6318854,-0.9966758,0.79600036,-0.12845321
3167,1.0450966,-0.5003546,-1.0679262,0.5668906,-0.32104078
2926,-1.0669168,1.801143,0.96168816,0.5086442,0.13966313
3145,-0.42495808,0.91698414,-0.41360706,-0.29805896,0.0050957594
3229,0.8234006,-0.6052773,0.7008975,-2.4870064,0.69232047
2256,0.26134062,0.14940831,-0.71782744,1.423264,-0.4918419
3978,0.5383658,-0.32212943,-1.0971351,-1.7507691,0.22619265
3813,-0.82659787,1.5048864,-0.70492625,-1.0621432,0.03703587
3514,-0.46150693,1.2153333,-1.2007586,-1.3691623,0.051494278
2590,0.44831842,-0.13824025,0.43889093,-1.3172598,-0.4238413
2554,-0.5076016,1.3370618,-0.9164666,0.05963073,-0.22806022
2102,0.3979671,0.0423123,1.3764198,-0.25377446,0.41679627
3422,-1.0714666,1.4852632,-0.65063035,-0.6316719,0.12924905
3101,-0.29687488,0.982217,-1.4547457,1.2828386,-0.5395455
2334,0.26251513,0.10744482,-0.9695003,0.67095137,-0.32533935
3247,0.6465102,-0.18942077,-1.539735,-1.1069355,-0.055999544
3717,0.8267167,-0.57064825,-0.8472172,-0.551755,-0.15539253
2979,0.6385125,-0.2863569,-1.0802655,-0.43980998,-0.29886186
3725,0.17899385,0.17767261,-0.15533441,-0.23033854,-0.11762709
3171,0.17192714,0.14668173,0.5455493,-2.1799982,-0.2975914
2072,-0.123353824,0.6572552,-0.90448403,-2.8308108,0.43636888
3643,1.0745766,-0.5535925,-1.3620957,-0.6682586,-0.040242627
2699,-0.1733995,0.7371869,-1.2175826,-0.08323598,-0.1414454
3028,-0.34456956,0.9188252,0.9943463,-1.586699,0.41815877
3864,0.4831579,-0.35145384,0.7296225,1.4944197,-0.10852975
3923,0.26751497,0.23521264,0.20267242,1.841221,-0.4471294
2598,2.2359467,-0.96692383,-0.2759742,-0.12625359,-0.101494774
2694,1.3274809,-0.6017034,-1.1950716,0.95779765,-0.44910437
2675,0.44804153,-0.17504877,0.013631364,-0.18824123,0.021604687
2043,-0.50121576,1.2392489,0.066293985,-0.5094625,0.06552188
2627,-0.3774205,1.0705923,-1.5580827,0.1384559,-0.37069067
2300,0.0076671024,0.7011538,-0.7325397,-1.7036004,0.19368255
3546,-0.30731717,0.92433554,1.1212648,-0.04038746,0.19190368
3706,-2.4399035,1.9309316,-0.2932998,0.08127166,-0.092278086
2720,-1.2906377,1.856549,2.596641,1.0203764,0.4919198
3889,-1.0418701,1.7667384,1.1653024,-1.3816624,-0.34026316
2876,1.0606986,-0.8201147,-0.16983254,0.3482414,0.107315436
2483,0.5155081,-0.16103198,-1.1474197,1.880572,-0.58880585
2784,-1.4346838,1.8533163,1.390954,-1.141308,-0.3009578
3550,-0.2876322,0.88051516,-0.09856227,-0.66318446,-0.03775453
3347,0.57902807,-0.22557347,0.88669264,-0.645357,0.3504758
2834,-0.57627815,1.2932565,1.3058746,-1.8868176,-0.35544816
2762,0.24197543,-0.0063272268,-0.46472928,1.3451499,-0.3839122
3727,-1.3605597,1.8023663,-0.26914907,-2.820947,0.55772877
2268,0.40518472,0.1315092,0.32029614,1.398617,-0.24301176
2121,0.37723204,0.0022586025,-0.06790292,-0.6383833,-0.14976102
2649,0.7565555,-0.38778377,-0.17073523,0.4891763,-0.059046768
2096,0.4294841,-0.09904971,-0.15520103,-1.3574342,0.33475304
2399,0.13948926,0.48844242,-0.84967023,0.7261596,-0.33650663
