,x1,x2,x3,x4,x5
2749,-0.0,0.0,0.0,0.0,-1.0
2277,0.0,-0.0,-0.0,-0.0,-1.0
2600,0.0,-0.0,-0.0,0.0,-1.0
3029,-0.0,0.0,0.0,-0.0,-1.0
2891,-0.0,-0.0,0.0,0.0,-1.0
2447,0.0,-0.0,0.0,-0.0,-1.0
3462,0.0,-0.0,-0.0,-0.0,-1.0
2302,-0.0,0.0,1.0,0.0,-0.0
2625,-0.0,0.0,0.0,0.0,-1.0
2771,0.0,-0.0,0.0,-0.0,-1.0
2997,-0.0,0.0,-0.0,0.0,-1.0
2140,-0.0,0.0,0.0,0.0,-1.0
2306,0.0,0.0,0.0,-0.0,-1.0
3633,-0.0,-0.0,0.0,0.0,-1.0
2709,0.0,-0.0,0.0,0.0,-1.0
3517,-0.0,-0.0,0.0,-0.0,-1.0
2105,0.0,-0.0,1.0,-0.0,0.0
2796,0.0,-0.0,0.0,0.0,-1.0
2069,-0.0,0.0,0.0,0.0,-1.0
2038,0.0,-0.0,0.0,-0.0,-1.0
2317,-0.0,0.0,-0.0,-0.0,-1.0
2324,-0.0,0.0,0.0,-0.0,-1.0
2514,0.0,-0.0,0.0,0.0,-1.0
2166,-0.0,0.0,1.0,-0.0,-0.0
2203,0.0,-0.0,1.0,0.0,0.0
3692,0.0,-0.0,0.0,-0.0,-1.0
3022,-0.0,0.0,-0.0,0.0,-1.0
2577,0.0,-0.0,-0.0,-1.0,-0.0
3674,0.0,-0.0,0.0,0.0,-1.0
2626,-0.0,0.0,-0.0,-0.0,-1.0
2020,-0.0,0.0,0.0,0.0,-1.0
2729,-0.0,0.0,-0.0,0.0,-1.0
3889,0.0,-0.0,0.0,-0.0,-1.0
2397,-0.0,0.0,0.0,-0.0,-1.0
3645,-0.0,0.0,-0.0,0.0,-1.0
2421,-0.0,0.0,0.0,0.0,-1.0
2339,0.0,-0.0,-0.0,0.0,-1.0
3863,-0.0,-0.0,0.0,0.0,-1.0
3939,-0.0,0.0,0.0,-0.0,-1.0
2761,0.0,-0.0,1.0,0.0,-0.0
3484,-0.0,0.0,0.0,-0.0,-1.0
3599,0.0,-0.0,-0.0,-0.0,-1.0
3921,-0.0,0.0,0.0,-0.0,-1.0
2056,0.0,-0.0,0.0,0.0,-1.0
3928,0.0,-0.0,-0.0,0.0,-1.0
3384,0.0,-0.0,-0.0,0.0,-1.0
3165,-0.0,0.0,0.0,-0.0,-1.0
3318,-0.0,0.0,-0.0,-0.0,-1.0
2596,0.0,-0.0,-0.0,-0.0,-1.0
3837,0.0,-0.0,0.0,0.0,-1.0
3215,0.0,0.0,0.0,0.0,-1.0
2987,0.0,-0.0,1.0,-0.0,-0.0
3377,-0.0,0.0,0.0,0.0,-1.0
3158,0.0,-0.0,1.0,0.0,0.0
3966,-0.0,0.0,0.0,-0.0,-1.0
2530,-0.0,-0.0,0.0,0.0,-1.0
3753,0.0,-0.0,-0.0,0.0,-1.0
3872,0.0,-0.0,0.0,0.0,-1.0
2661,0.0,-0.0,0.0,-0.0,-1.0
2808,-0.0,0.0,0.0,0.0,-1.0
2510,-0.0,0.0,-0.0,-0.0,-1.0
3451,-0.0,0.0,0.0,-0.0,-1.0
3801,0.0,-0.0,-0.0,-0.0,-1.0
2412,0.0,-0.0,-0.0,0.0,-1.0
3660,0.0,0.0,0.0,-0.0,-1.0
3759,0.0,-0.0,-0.0,-0.0,-1.0
2205,-0.0,-0.0,0.0,-0.0,-1.0
2086,-0.0,0.0,0.0,-0.0,-1.0
3262,0.0,-0.0,0.0,-0.0,-1.0
2914,0.0,1.0,0.0,-0.0,0.0
2563,0.0,-0.0,-0.0,-0.0,-1.0
2919,0.0,-0.0,0.0,-0.0,-1.0
2989,0.0,-0.0,0.0,0.0,-1.0
3394,0.0,-0.0,0.0,0.0,-1.0
2911,0.0,-0.0,0.0,0.0,-1.0
3136,0.0,-0.0,-0.0,-0.0,-1.0
2013,-0.0,0.0,0.0,0.0,-1.0
3131,0.0,0.0,0.0,0.0,-1.0
3500,0.0,-0.0,0.0,-0.0,-1.0
3385,0.0,-0.0,0.0,0.0,-1.0
3883,0.0,0.0,0.0,0.0,-1.0
3441,-0.0,0.0,0.0,-0.0,-1.0
3556,-0.0,0.0,0.0,0.0,-1.0
3501,-0.0,-0.0,0.0,-0.0,-1.0
3962,0.0,-0.0,0.0,0.0,-1.0
3057,0.0,-0.0,0.0,-0.0,-1.0
2629,-0.0,0.0,0.0,0.0,-1.0
2134,0.0,-0.0,0.0,-0.0,-1.0
3904,-0.0,0.0,0.0,0.0,-1.0
2135,-0.0,-0.0,-0.0,0.0,-1.0
3827,0.0,0.0,-0.0,0.0,-1.0
2855,-0.0,0.0,0.0,-0.0,-1.0
3559,0.0,-0.0,0.0,-0.0,-1.0
2191,-0.0,0.0,0.0,-0.0,-1.0
3068,0.0,-0.0,-0.0,0.0,-1.0
2999,0.0,0.0,0.0,-0.0,-1.0
3622,0.0,-0.0,0.0,0.0,-1.0
2893,-0.0,0.0,0.0,0.0,-1.0
2101,0.0,-0.0,0.0,-0.0,-1.0
2542,-0.0,-0.0,1.0,0.0,0.0
2787,0.0,-0.0,0.0,0.0,-1.0
2944,0.0,-0.0,0.0,0.0,-1.0
3124,0.0,-0.0,1.0,-0.0,-0.0
3657,-0.0,0.0,0.0,0.0,-1.0
2388,0.0,-0.0,-0.0,0.0,-1.0
3350,-0.0,-0.0,-0.0,0.0,-1.0
2981,-0.0,0.0,1.0,-0.0,0.0
2015,-0.0,0.0,-0.0,-0.0,-1.0
3172,0.0,-0.0,0.0,-0.0,-1.0
2582,0.0,-0.0,-0.0,-0.0,-1.0
2233,0.0,0.0,-0.0,-0.0,-1.0
3788,0.0,0.0,0.0,0.0,-1.0
2638,-0.0,0.0,-0.0,-0.0,-1.0
3944,-0.0,-0.0,-0.0,0.0,-1.0
3865,0.0,-0.0,-0.0,0.0,-1.0
2774,0.0,-0.0,-0.0,0.0,-1.0
3588,-0.0,-0.0,0.0,0.0,-1.0
3639,-0.0,0.0,0.0,-0.0,-1.0
2170,-0.0,0.0,-0.0,-0.0,-1.0
2242,0.0,-0.0,-0.0,-0.0,-1.0
3336,0.0,-0.0,0.0,-0.0,-1.0
2516,0.0,0.0,-0.0,-0.0,-1.0
