,x1,x2,x3,x4,x5
2568,0.063039124,0.29854777,-1.3150979,-1.8808426,-0.9815359
3541,-0.41086218,1.4680103,1.4617682,-0.62687343,-1.4524449
3937,1.1556551,-0.57772297,2.1241386,-1.5979254,-0.16561392
3419,0.9521385,-0.5368236,1.2534596,0.021388074,-0.8403125
3342,-0.094489165,0.7376712,-0.4479853,0.2834072,-1.2013223
2478,0.9694601,-0.66593313,-1.5012343,-0.9623132,-1.1768305
3726,1.0340238,-0.6758432,-1.6856825,-1.2100413,-1.2769101
3916,-0.8610854,1.3970568,1.0640836,1.1641117,-0.9708735
3004,-0.515752,2.245768,1.1306763,0.33845344,-0.72877115
3993,-0.20157942,0.52928007,0.7540376,-1.060076,-0.6434894
2451,-0.07986612,0.5749575,-0.85914737,0.32693902,-1.1497006
3973,-0.6321189,1.4871609,1.0780498,-0.69443774,-0.61663187
2215,0.8922751,-0.5590459,-0.61191314,-1.2145377,-1.0903997
2638,0.25435576,0.16386077,0.099196404,0.5769015,-1.1112926
2818,-0.37026858,1.2476611,2.2827375,-0.47068453,-1.4469097
2684,1.441732,-0.7924981,0.8263207,1.8416137,-1.0558975
2985,1.8384273,-0.8642441,0.060925517,0.9178186,-1.0334289
2737,-0.58806056,1.1200382,0.43498313,0.26327637,-0.8655009
2370,0.7752159,-1.5513115,2.2259486,-2.0307605,-0.25636208
2420,-1.7478393,1.8271484,-0.3613851,-0.73293775,-0.8727157
2674,-0.11643724,0.6891466,-1.1558001,-0.059474323,-1.088776
2227,0.7265809,-0.3904931,-0.56442493,-0.110700496,-0.9920484
3179,1.4185989,-0.98493594,-2.1763828,-1.0233272,-1.2545223
3949,-1.252318,1.552984,1.2929001,0.3503398,-0.8123168
3885,0.17985412,0.29599985,0.03446732,-1.0162039,-0.7520855
3461,1.0478375,-0.576744,-0.45164108,-0.06615552,-1.1704748
2058,0.74340034,-0.34942988,1.4691463,-0.7676218,-1.4444766
2971,-1.6476487,1.8176429,1.1767263,-2.2410762,-0.35360137
2413,0.45088512,-0.2234357,0.98576945,-1.2217517,-0.51737
3818,0.8313866,-0.5174687,-0.83085287,0.5568583,-1.2868587
2023,0.8043336,-0.72123986,1.760511,-1.0888362,-1.4163617
2542,0.09497467,0.5490433,-1.27896,0.8629946,-1.4018735
3282,0.5148066,-0.20090748,-0.14629215,-0.2907408,-0.9216643
3955,1.3305914,-0.76233387,-0.086560905,2.0339408,-1.3707516
3845,0.49383706,-0.13317737,-0.6235522,-0.039907474,-1.23358
2954,1.0020807,-0.5514184,-1.2368135,0.60938805,-1.3467822
2935,1.3219028,-0.9135866,-0.53154767,-0.3035896,-0.9058828
2142,0.5393581,-0.23770589,0.5874491,0.17195381,-0.7997483
2152,0.2316611,0.09828965,-0.005320834,0.8899868,-1.0154954
3018,0.56418264,-0.16636935,-0.626559,-2.354477,-0.56231886
2178,0.22259825,0.21165676,-0.036051728,-1.4358025,-0.5015388
2304,1.3285482,-0.75837165,0.21091917,1.3042507,-1.3019149
3384,-0.4296671,2.0021243,1.0029361,0.8971558,-0.8629524
2460,0.15914255,0.34197155,0.61490977,1.3374897,-1.3173075
2938,-0.40169343,2.0462804,0.6934238,0.8788332,-0.016663425
2856,0.67799217,-0.19359742,-0.8230551,1.8345612,-1.461914
3313,-0.7554498,1.3404655,-1.261615,0.79100317,-1.3984319
2842,0.8600375,-0.481134,0.19421399,1.1471686,-1.16302
2786,0.7877123,-0.59884566,-0.21518347,0.4496308,-1.2007881
2655,0.5373592,-0.21518847,0.69742036,-1.6970134,-1.4190545
3353,1.5732267,-0.72590387,1.0261894,-0.9080246,-0.65488964
3189,-0.9745476,1.5296206,-0.4754622,-0.21007589,-0.919816
2129,0.67794514,-0.45441967,-0.36629564,-0.20823695,-0.81743795
2189,-0.079571456,0.5380815,2.1681533,-1.5020189,-0.24432863
2922,1.5027132,-0.8029033,-0.99813163,-0.45429268,-0.868536
3436,0.058766842,0.4137562,-0.7904788,-0.26034683,-1.0525141
2038,-0.44215116,1.0002362,-0.6488874,0.8768975,-1.2206327
3980,0.41979027,-0.21835901,0.10493003,1.7027572,-1.4720696
2248,0.6815107,-0.32088336,-0.26945,2.180679,-1.4942855
2892,-0.05547348,0.43750882,0.8438053,-1.3278975,-0.56617737
3133,0.4670102,-0.13564007,-0.10576984,-0.18467316,-0.88796693
2752,-1.0138252,1.721816,-0.33398175,0.605469,-1.1023641
3919,0.43169832,-0.018817604,0.29680735,0.2795963,-1.1348413
2903,1.8394808,-0.8759119,4.291563,0.19724844,-0.20672953
3454,0.9516219,-0.6075442,0.54818594,-0.9172948,-0.7931328
2206,-0.3711478,0.9986606,-0.29645726,-1.0553248,-0.82061964
3311,1.655672,-0.83871734,-0.7603087,0.54850096,-1.239997
2453,0.06588077,0.40079948,-0.9698207,2.3696225,-1.553488
3761,-0.5315441,2.160151,1.7971406,1.8507344,-0.026500816
2469,-0.019086892,0.5009119,0.29660994,1.1234732,-1.3020804
2601,-0.09658142,0.63139343,0.59938735,-0.011376593,-1.036814
2017,0.60579884,-0.40744224,-0.1261411,-2.4374223,-0.5917842
2713,0.19085804,0.08463004,-2.5099971,-0.5244578,-1.235934
3564,-0.3484927,1.0169916,1.6908514,0.3803589,-0.5730834
2354,-0.5407709,2.0220854,2.0023892,-1.2100953,-0.29241547
2404,-0.039837196,0.5358043,-1.280131,-2.2102134,-0.81361264
3757,-1.5449765,0.8817971,1.863731,-0.8312961,0.52249056
3019,0.71979725,-0.677202,-2.2830236,-0.90889764,-1.3432515
3312,-0.313662,0.85074776,-1.4838752,0.23398067,-1.312171
2726,0.9749586,-0.8478037,-0.19971268,-0.30828843,-1.1877162
3584,-2.1785338,2.086149,-1.2792143,-1.7097489,-1.0016443
3460,0.81875217,-0.731487,-1.4201621,-1.0275143,-0.84595543
3802,0.84982747,-0.5368839,-1.2125208,-0.8764691,-1.1377654
3329,0.47126827,-0.42365295,-0.8743074,0.7002987,-1.4263486
3969,0.834255,-0.553331,-0.23130089,0.06353765,-1.1506275
2792,1.7156483,-0.9183764,1.5289371,-0.5959912,-1.4516981
3253,0.2640696,0.108562544,-0.4279341,-0.5420209,-0.97055554
3964,1.3661197,-0.99452883,0.22404917,-2.1897404,-1.4047841
2107,0.33986947,-0.048722263,0.28870553,-0.6676771,-0.91449475
2509,-0.17604555,1.862417,1.1480414,0.460975,0.34008262
3853,-0.1394161,1.7194328,1.4789441,1.4964767,-1.0416671
3492,1.4574257,-0.69561595,-0.502668,0.5514834,-1.1682286
2371,0.00095777155,0.59191054,-1.6533134,-1.3821056,-1.0628525
3021,0.9206946,-0.590339,-1.2805088,-0.6890162,-1.1755744
2747,0.16926144,0.2995984,-1.4168615,-1.0611867,-1.0141493
3423,-0.19517902,0.95687294,-1.058312,-0.32730484,-1.0448233
2308,0.58625543,-0.48604318,0.15319976,1.3724821,-1.2869613
2475,0.27205887,0.13953224,-1.4333785,0.7273188,-1.3914644
3902,-0.09658652,1.742763,0.5892624,0.85298884,-0.97201455
2909,-0.010108654,0.585965,0.017928682,1.0362322,-1.1447802
3889,-0.6460482,1.2995546,0.2503756,0.66406685,-0.982434
2164,-1.739338,1.9172648,-0.17390358,1.0858661,-1.390516
2140,-0.8129084,1.7411803,0.83704877,1.8814553,-1.36303
3523,1.3612735,-0.791121,-1.1636015,-0.55152124,-1.1314278
2795,0.4415435,-0.063300714,2.0934882,0.1052022,-1.4475393
3698,-0.053111166,0.48775187,-0.87995225,-0.1338341,-1.2809207
2994,0.2622009,0.14327309,0.44291154,0.31515747,-0.97256804
3338,-0.9176257,1.6237844,2.820315,-1.0884223,-0.21688654
3278,0.54257005,-0.1783678,-2.105363,1.3903389,-0.7601712
3832,0.074611224,0.4008982,-0.024560448,-0.6624336,-0.98459995
2384,-0.07543483,0.61632603,-1.2103981,-0.8725941,-0.87495726
2870,0.09765247,0.4026427,-0.7928001,2.6093936,-0.81038594
2252,-0.86651695,2.5502892,0.62019396,-0.56977963,0.13267377
3150,-0.9220776,1.5016229,0.5589182,-1.5423483,-0.52197456
3229,-1.4620523,1.7695026,3.2300704,-0.4664316,-1.2385954
3441,1.001896,-0.5514362,0.053146813,1.5824524,-1.3766383
3796,0.6690779,-0.4297168,0.48734832,-2.064425,-1.3394291
2211,-1.3556315,1.9315408,-0.59366894,0.6178432,-1.310388
2362,0.11821588,0.3649352,0.68147624,-1.0642034,-0.76499164
3586,-0.10246875,1.7347838,1.5925962,0.003648295,0.30658624
2350,0.29577538,0.27969158,-0.4517162,2.796833,-0.78455955
