,y_hat
2174,False
3836,False
2398,False
3818,False
2654,False
2001,False
3688,False
3781,False
3776,False
2219,False
2415,False
3137,False
3917,False
2882,False
2193,False
3976,False
3970,False
2868,False
2612,False
2171,False
2322,False
2476,False
2159,False
3909,False
2965,False
3891,False
3239,False
2103,False
3864,False
2590,False
2442,False
3354,False
3853,False
3823,False
3305,False
3757,False
2457,False
2632,False
3528,False
2781,False
3473,False
2731,False
2083,False
2015,False
2189,False
2895,False
3613,False
2269,False
3588,False
2147,False
2285,False
3459,False
3256,False
3709,False
3008,False
3143,False
2029,False
3604,False
2726,False
2801,False
3316,False
2707,False
2136,False
2352,False
3325,False
2177,False
2319,False
2823,False
3050,False
3089,False
3753,False
2007,False
3295,False
2483,False
2053,False
2694,False
2455,False
2321,False
2857,False
2647,False
3412,False
2966,False
2086,False
3063,False
2497,False
2481,False
3820,False
2203,False
3919,False
2055,False
2366,False
2076,False
3480,False
3687,False
3952,False
3194,False
3448,False
2725,False
3319,False
2141,False
3802,False
3944,False
3534,False
2286,False
3260,False
2353,False
2679,False
2797,False
2716,False
2838,False
2351,False
2176,False
3486,False
3244,False
2302,False
2187,False
2196,False
3851,False
2840,False
3107,False
2157,False
3932,False
3227,False
2290,False
3195,False
3874,False
3921,False
2625,False
3990,False
3999,False
2561,False
3416,False
3363,False
3750,False
2700,False
2258,False
2107,False
2613,False
3622,False
2633,False
2955,False
2198,False
3467,False
2130,False
2453,False
3747,False
2718,False
3098,False
3647,False
3070,False
3307,False
2879,False
3790,False
2894,False
2913,False
2406,False
3344,False
3186,False
3389,False
2885,False
2593,False
3511,False
2013,False
2704,False
2916,False
2030,False
3518,False
3666,False
3200,False
2811,False
3537,False
2644,False
3051,False
2699,False
3093,False
3134,False
2606,False
3122,False
3973,False
2288,False
3081,False
3725,False
2566,False
2601,False
2155,False
3243,False
3863,False
2900,False
2538,False
3581,False
3048,False
3450,False
2999,False
3589,False
2464,False
2207,False
3814,False
3298,False
3498,False
2261,False
