ix,goal_cost,intv_cost
2415,0.8320000171661377,1.0
3698,0.8539999723434448,3.0
3543,0.8420000076293945,2.0
3179,0.8519999980926514,2.0
2159,0.9999999776482585,0.0
3188,0.8140000104904175,2.0
2449,0.9399999976158142,1.0
2885,0.871999979019165,2.0
2030,0.8740000128746033,2.0
2453,0.906000018119812,2.0
3480,0.8119999766349792,2.0
2053,1.0,0.0
2723,0.9100000262260437,1.0
2868,0.9200000166893005,1.0
2132,0.972000002861023,1.0
3280,0.8500000238418579,2.0
3852,1.0,0.0
2461,0.8600000143051147,2.0
2050,0.9259999990463257,1.0
3248,0.777999997138977,1.0
3921,0.7960000038146973,1.0
3588,0.9380000233650208,1.0
3603,0.8519999980926514,2.0
2514,0.7879999876022339,1.0
2923,0.8519999980926514,2.0
3681,0.828000009059906,3.0
3776,0.8980000019073486,1.0
2635,0.7580000162124634,3.0
2864,0.8880000114440918,1.0
3008,0.9259999990463257,1.0
3239,0.9459999799728394,1.0
2051,0.8619999885559082,2.0
3041,0.8700000047683716,1.0
2961,0.8539999723434448,1.0
2082,0.8939999938011169,1.0
3647,0.7760000228881836,2.0
2633,0.7919999957084656,1.0
2516,0.9419999718666077,1.0
3824,0.7940000295639038,2.0
2001,0.8180000185966492,2.0
3858,0.8759999871253967,2.0
3960,0.8420000076293945,3.0
3435,0.8619999885559082,1.0
3515,0.9359999895095825,1.0
3928,0.8180000185966492,1.0
3367,0.8259999752044678,1.0
2908,0.8840000033378601,2.0
3170,0.8560000061988831,2.0
2343,1.0,0.0
3910,0.843999981880188,1.0
2485,1.0,0.0
3519,0.8379999995231628,1.0
3320,0.8320000171661377,2.0
2366,0.8519999980926514,2.0
2882,0.8600000143051147,3.0
3310,0.8040000200271606,1.0
2150,0.777999997138977,1.0
2481,0.8659999966621399,2.0
2933,0.8420000076293945,2.0
2287,0.8420000076293945,2.0
2955,0.7900000214576721,1.0
3780,1.0,0.0
2260,0.8960000276565552,1.0
3050,0.8920000195503235,2.0
3781,0.7599999904632568,2.0
2295,0.8579999804496765,1.0
3323,0.9480000138282776,1.0
2654,0.8539999723434448,2.0
2103,0.8320000171661377,1.0
3087,0.8140000104904175,2.0
2302,0.9259999990463257,1.0
3872,0.8339999914169312,3.0
2393,0.7860000133514404,2.0
2801,0.828000009059906,1.0
3605,0.7580000162124634,2.0
2174,0.8820000290870667,1.0
3547,0.8560000061988831,2.0
3794,0.765999972820282,2.0
3842,0.9120000004768372,1.0
3802,0.9419999718666077,1.0
3450,0.8700000047683716,1.0
2726,0.8140000104904175,2.0
2384,0.8679999709129333,2.0
3727,1.0,0.0
2182,0.878000020980835,1.0
2021,0.9120000004768372,1.0
2917,0.7580000162124634,2.0
3809,0.8299999833106995,2.0
3098,0.8539999723434448,1.0
2196,0.8939999938011169,1.0
3613,0.982,1.0
3866,0.843999981880188,1.0
3670,0.8740000128746033,4.0
3851,0.7979999780654907,1.0
3384,0.9020000100135803,2.0
2454,0.7519999742507935,2.0
3953,0.8240000009536743,2.0
2219,1.0000000596046466,0.0
2403,0.8560000061988831,2.0
2595,0.8999999761581421,2.0
3437,0.8999999761581421,2.0
3880,0.8640000224113464,1.0
2755,0.800000011920929,3.0
2759,0.8339999914169312,1.0
3615,0.8080000281333923,1.0
3264,0.7639999985694885,2.0
3697,0.765999972820282,1.0
2217,0.8799999952316284,2.0
3142,0.7879999876022339,1.0
3243,0.8360000252723694,1.0
3574,0.8420000076293945,1.0
2862,0.7940000295639038,2.0
2809,0.7820000052452087,1.0
3147,0.8799999952316284,1.0
3606,0.7699999809265137,1.0
