,h_post,h_post_individualized
2769,0.8943039878828778,
3086,0.8737937522407406,
3348,0.8943039878828778,
3895,0.597022670865957,
3975,0.8737937522407406,
3957,0.8384978123762205,
2913,0.8943039878828778,
3491,0.9562436744495912,
2512,0.8737937522407406,
3234,0.935733438807454,
3646,0.8737937522407406,
2333,0.7969361110253624,
2496,0.8943039878828778,
3557,0.8943039878828778,
3278,0.8737937522407406,
3986,0.7663414496522052,
2942,0.8943039878828778,
3485,0.8943039878828778,
2521,0.9097698427687391,
3264,0.7818311325177045,
2608,0.7969361110253624,
3967,0.5319935538596897,
3578,0.8943039878828778,
3186,0.8384978123762205,
2781,0.8943039878828778,
3100,0.7764258753832253,
3747,0.8935959308815896,
3392,0.8840873117255759,
2604,0.8384978123762205,
2296,0.8943039878828778,
2357,0.7969361110253624,
2723,0.8384978123762205,
2692,0.9097698427687391,
2956,0.9562436744495912,
3332,0.7969361110253624,
2593,0.8829376396002132,
2966,0.597022670865957,
2766,0.8737937522407406,
2125,0.5319935538596897,
2124,0.7969361110253624,
3756,0.7969361110253624,
3270,0.5319935538596897,
2583,0.5906066275050468,
2126,0.889259607126602,
3900,0.9562436744495912,
3649,0.8943039878828778,
3015,0.7764258753832253,
3584,0.9562436744495912,
2654,0.7764258753832253,
2866,0.8737937522407406,
2851,0.597022670865957,
3540,0.8943039878828778,
3387,0.8737937522407406,
2529,0.8943039878828778,
2402,0.8943039878828778,
3627,0.8943039878828778,
2282,0.8737937522407406,
3064,0.9137835792887694,
3442,0.7969361110253624,
3218,0.7969361110253624,
3974,0.05006768520439736,
2853,0.8384978123762205,
2606,0.7764258753832253,
2281,0.7650034034953644,
2042,0.8737937522407406,
3829,0.935733438807454,
3436,0.6175329065080941,
3892,0.9562436744495912,
2200,0.8943039878828778,
2321,0.7969361110253624,
2526,0.8943039878828778,
2067,0.8943039878828778,
3714,0.6175329065080941,
2304,0.7764258753832253,
2939,0.8943039878828778,
3662,0.7969361110253624,
2121,0.8943039878828778,
3081,0.8943039878828778,
3062,0.935733438807454,
2870,0.7650034034953644,
2371,0.9342938149309065,
2408,0.7650034034953644,
2092,0.8737937522407406,
2492,0.7764258753832253,
2300,0.8943039878828778,
3508,0.7969361110253624,
2099,0.7969361110253624,
3903,0.8943039878828778,
3848,0.7172252597233361,
2842,0.889259607126602,
3582,0.7969361110253624,
2020,0.9137835792887694,
3881,0.9562436744495912,
2944,0.8384978123762205,
3598,0.9562436744495912,
2202,0.7969361110253624,
2326,0.7969361110253624,
3176,0.7764258753832253,
2248,0.7969361110253624,
2294,0.7764258753832253,
2622,0.8384978123762205,
2051,0.7764258753832253,
3860,0.8943039878828778,
2116,0.8943039878828778,
3458,0.08012304897694995,
2500,0.8943039878828778,
3555,0.7969361110253624,
2218,0.8943039878828778,
2977,0.5906066275050468,
3423,0.7764258753832253,
3244,0.8179875767340832,
3398,0.9562436744495912,
3577,0.8943039878828778,
2348,0.8943039878828778,
3139,0.949162179782127,
2544,0.7969361110253624,
3074,0.8737937522407406,
2589,0.8943039878828778,
3057,0.7969361110253624,
3435,0.9562436744495912,
2364,0.8384978123762205,
3680,0.7969361110253624,
3299,0.8384978123762205,
3356,0.7764258753832253,
2984,0.8737937522407406,
2997,0.8943039878828778,
3044,0.7764258753832253,
2743,0.935733438807454,
3315,0.8943039878828778,
2242,0.8384978123762205,
3145,0.7969361110253624,
3834,0.6175329065080941,
3851,0.6175329065080941,
3286,0.7969361110253624,
3914,0.8384978123762205,
3514,0.9562436744495912,
2535,0.765177463486483,
2869,0.7969361110253624,
2532,0.8737937522407406,
3840,0.8943039878828778,
3120,0.7969361110253624,
2733,0.8943039878828778,
3003,0.8384978123762205,
3927,0.9562436744495912,
2171,0.8943039878828778,
3991,0.8943039878828778,
2148,0.8943039878828778,
3171,0.7764258753832253,
2087,0.889259607126602,
3702,0.8737937522407406,
3380,0.8943039878828778,
2436,0.935733438807454,
3663,0.7764258753832253,
2215,0.935733438807454,
2721,0.9562436744495912,
3033,0.9335857579296183,
2881,0.9562436744495912,
2716,0.8221476251588624,
2479,0.9562436744495912,
2876,0.8384978123762205,
2742,0.8943039878828778,
3160,0.8943039878828778,
2899,0.7969361110253624,
3101,0.8737937522407406,
3785,0.7969361110253624,
3923,0.597022670865957,
3965,0.8943039878828778,
3166,0.9562436744495912,
3164,0.7969361110253624,
2168,0.8943039878828778,
2340,0.7764258753832253,
2656,0.7171190939437619,
3823,0.6458635953187996,
2647,0.9562436744495912,
2182,0.9562436744495912,
2817,0.8943039878828778,
2614,0.8737937522407406,
2379,0.8737937522407406,
2083,0.7764258753832253,
2465,0.7969361110253624,
2917,0.9342938149309065,
2098,0.8943039878828778,
2729,0.7650034034953644,
3036,0.8943039878828778,
3274,0.8737937522407406,
3862,0.9137835792887694,
2862,0.3270326740553721,
2214,0.9097698427687391,
3341,0.7969361110253624,
3199,0.8943039878828778,
2889,0.8943039878828778,
3959,0.8943039878828778,
3273,0.8943039878828778,
2745,0.7969361110253624,
3385,0.7969361110253624,
3050,0.7969361110253624,
2141,0.8943039878828778,
2119,0.7969361110253624,
3344,0.7122076042881237,
2658,0.7969361110253624,
