,y_hat
2469,False
3072,False
3669,False
2534,False
2412,False
2853,False
3656,False
3544,False
2825,False
3389,False
2053,False
3976,False
2183,False
2707,False
2548,False
2170,False
2659,False
2802,False
3964,False
3188,False
2556,False
2090,False
2846,False
3596,False
3256,False
2117,False
3511,False
3320,False
2779,False
3633,False
3864,False
2650,False
3638,False
2745,False
2019,False
2948,False
2034,False
3767,False
3426,False
3328,False
3115,False
3936,False
3364,False
2135,False
2506,False
2972,False
2652,False
2024,False
3262,False
2287,False
3617,False
3532,False
2930,False
2045,False
3686,False
3322,False
3527,False
2128,False
2907,False
3934,False
2505,False
2217,False
2085,False
2263,False
3298,False
2918,False
2404,False
3052,False
2147,False
2166,False
3420,False
3580,False
2942,False
2464,False
3873,False
2983,False
3823,False
3048,False
3453,False
3417,False
2319,False
2193,False
2857,False
2894,False
3168,False
3520,False
2420,False
3085,False
3699,False
2328,False
2712,False
2601,False
2133,False
2400,False
2940,False
2290,False
2995,False
2880,False
2495,False
3189,False
2958,False
3894,False
3526,False
2987,False
2331,False
3177,False
2025,False
2390,False
3435,False
3825,False
3299,False
2436,False
3131,False
2820,False
3658,False
3366,False
2432,False
3966,False
2172,False
3895,False
3826,False
3615,False
3571,False
3182,False
3822,False
2253,False
3499,False
3030,False
2452,False
3612,False
2264,False
3896,False
2516,False
3431,False
3552,False
2480,False
3324,False
2472,False
3176,False
2914,False
3665,False
3214,False
2772,False
2951,False
2993,False
3395,False
3623,False
2190,False
3068,False
2780,False
3673,False
2883,False
2299,False
3494,False
3478,False
3974,False
3105,False
3047,False
3666,False
2763,False
3988,False
2794,False
2668,False
3253,False
2134,False
3015,False
2179,False
3857,False
2777,False
2660,False
3508,False
2755,False
3374,False
2354,False
3764,False
3819,False
3414,False
3351,False
3554,False
3694,False
3515,False
3631,False
3828,False
2340,False
2308,False
2738,False
3539,False
3714,False
2635,False
2023,False
3164,False
3684,False
2106,False
2809,False
2074,False
3862,False
3251,False
2837,False
3695,False
3719,False
