,y
3799,0.0
3751,0.0
3633,0.0
3752,0.0
2994,0.0
3756,0.0
3328,0.0
3726,0.0
2989,0.0
3962,0.0
3364,0.0
2118,0.0
2652,0.0
2724,0.0
2412,0.0
3544,0.0
3131,0.0
3645,0.0
3389,0.0
3269,0.0
2912,0.0
2078,0.0
3524,0.0
2009,0.0
3902,1.0
2795,0.0
3934,0.0
3703,1.0
2498,0.0
2100,0.0
2234,0.0
3329,0.0
2718,0.0
2176,0.0
3706,0.0
2404,0.0
3773,0.0
3580,0.0
2037,0.0
3739,0.0
2171,0.0
2601,0.0
2132,0.0
2700,1.0
2623,0.0
3614,0.0
2085,0.0
3694,0.0
2355,0.0
2247,0.0
3140,0.0
3510,0.0
2875,0.0
3015,0.0
3719,1.0
3842,0.0
2520,1.0
2534,0.0
2150,0.0
3298,0.0
2632,0.0
2350,0.0
3008,0.0
2331,0.0
3760,0.0
3539,0.0
3190,0.0
3258,0.0
3917,0.0
2322,0.0
3928,0.0
3316,0.0
2114,0.0
2266,0.0
3556,0.0
2582,0.0
3227,0.0
3604,0.0
3735,0.0
2647,0.0
3353,0.0
2383,0.0
3244,0.0
3587,0.0
2287,0.0
3137,0.0
2773,0.0
3224,0.0
3127,0.0
3422,0.0
3777,0.0
3864,0.0
2692,0.0
2794,0.0
2272,0.0
2060,0.0
3242,0.0
2626,0.0
3441,0.0
3635,0.0
3714,0.0
3722,0.0
3838,0.0
2516,0.0
3499,0.0
3299,0.0
3803,0.0
2351,1.0
3496,0.0
2244,0.0
2659,0.0
2177,0.0
2239,0.0
2263,0.0
3473,0.0
2635,0.0
2760,0.0
3037,0.0
2560,0.0
3028,0.0
2605,0.0
3800,0.0
3303,0.0
2361,0.0
3268,0.0
2218,1.0
2951,0.0
3597,0.0
2277,0.0
3357,0.0
3632,0.0
2852,0.0
3828,0.0
3684,0.0
2004,0.0
3480,0.0
2407,0.0
2172,0.0
3063,0.0
3003,0.0
3894,0.0
3105,0.0
3100,0.0
3656,0.0
3826,0.0
2299,0.0
3464,1.0
2264,0.0
3515,0.0
3767,0.0
2914,0.0
2956,0.0
3825,0.0
3362,0.0
3516,0.0
2793,0.0
3270,0.0
3819,0.0
3736,0.0
2668,0.0
2968,0.0
2249,0.0
2462,0.0
3293,0.0
2628,0.0
3139,0.0
2933,0.0
2025,0.0
2106,0.0
3636,0.0
3966,0.0
2755,0.0
2437,0.0
2702,0.0
2766,0.0
2850,0.0
2196,0.0
3453,0.0
3356,0.0
2940,0.0
2509,0.0
3210,0.0
2595,0.0
2905,0.0
2495,0.0
3631,0.0
3873,0.0
3999,0.0
3686,0.0
2366,0.0
3202,0.0
3998,0.0
3188,0.0
2697,0.0
2550,0.0
2439,0.0
2367,0.0
3116,0.0
2669,0.0
2400,0.0
