,u_x1,u_x2,u_x3,u_y,u_x4,u_x5
2000,0.75016946,-0.004419775,-0.012394124,0.14754713,-0.0007654852,0.09237439
2001,-0.5172947,-0.015199788,2.2807715,0.81854475,1.0898122,0.046073142
2002,0.2690071,0.008588589,1.0717342,0.47462487,-2.0101907,-0.09078613
2003,-0.99827045,0.07676501,-0.25174138,0.10246909,-0.20836489,-0.064293526
2004,-0.6280923,0.060706377,1.2170222,0.8421687,-0.22323988,-0.06998026
2005,0.83392024,0.12548195,0.21516778,0.119678736,-0.3677768,-0.015126094
2006,0.5270231,0.12414836,0.21212135,0.33779228,0.9769716,0.019222518
2007,-0.43400934,-0.03583335,1.134909,0.4833554,0.23295534,-0.10109345
2008,2.012924,-0.0044204923,-0.42718342,0.29048467,-0.4648084,0.035242677
2009,1.1923558,-0.19370483,0.9787352,0.3222618,0.49531746,0.0076406524
2010,-0.38429487,0.11268415,-1.1651707,0.8220215,-0.1534974,-0.046158537
2011,0.019529067,-0.19048378,-0.2444594,0.3943845,0.7998445,-0.15521683
2012,0.6067835,-0.020060398,0.70795023,0.64743924,-0.25221208,-0.058659732
2013,1.9553919,0.061124023,-0.8880583,0.62985396,2.6932592,-0.058737725
2014,-1.7398036,0.019206446,0.09642186,0.31318486,0.8293164,0.14468749
2015,0.27699554,0.03709888,0.7354893,0.5934824,-0.28747803,0.029373562
2016,0.9143436,-0.081837855,1.3411809,0.003939986,0.7194291,-0.11939861
2017,-1.3138657,-0.04338452,0.23057622,0.83591425,0.2950453,-0.0358099
2018,0.4879827,-0.013623654,-0.83165956,0.055645704,-0.8381713,-0.0138994595
2019,0.15086699,0.19247687,-0.6450648,0.09895861,2.1077986,-0.03917975
2020,0.1245988,0.013347666,-1.5731252,0.82421494,-0.7399896,0.07446749
2021,0.23804808,0.061716523,1.175718,0.47307038,-0.2843721,0.0036086333
2022,0.9978778,0.11253945,1.343962,0.7774153,-0.6521367,0.047943108
2023,-0.6572689,0.05979193,0.461092,0.16424513,0.3217099,0.016610494
2024,-0.1290104,-0.09288599,-0.4039934,0.54158294,0.30786717,-0.010459903
2025,0.0015586858,0.17897157,-0.32024112,0.79411364,-0.018847499,0.002052312
2026,1.2377763,-0.06567223,0.83449316,0.41633642,0.15169516,0.081866734
2027,0.9488712,-0.08587652,-0.78867906,0.67418253,-0.7258949,-0.12147778
2028,-0.71732336,-0.010352977,0.19169681,0.6664175,-0.9330744,-0.20333469
2029,0.68607366,-0.0039307284,0.7354051,0.42526376,-0.35903996,-0.010794516
2030,1.5372962,0.17116058,0.5646452,0.8494849,1.2762748,0.077089906
2031,0.20182718,0.095858075,-0.5592866,0.9934945,-0.40593883,-0.031926278
2032,-0.29186094,0.016775966,0.69194835,0.32767415,0.2506418,-0.046942677
2033,-0.49861914,-0.16935317,-1.1738045,0.9279436,-0.62414956,0.006579572
2034,0.5159635,-0.073032714,-0.7745839,0.115154505,1.5290459,-0.13669899
2035,-0.55620265,-0.07019667,-0.3258591,0.21945322,0.39498743,-0.11990257
2036,-0.35686377,-0.042995322,1.9200716,0.64507794,-1.8202814,0.04679751
2037,0.8666098,0.22623718,-1.925843,0.77266395,-0.7447003,0.25085765
2038,-0.34687445,0.05235922,0.1112785,0.36994398,-0.17704833,0.08506128
2039,-1.5625534,-0.05910445,1.2531146,0.79548097,0.18991876,-0.052831806
2040,-0.4606399,0.12604223,-0.2884713,0.044127584,-0.44975433,-0.024914397
2041,0.39508924,0.008050569,1.3955959,0.04966712,-0.91705084,-0.081877194
2042,0.9310755,0.059169818,-0.47706264,0.48210216,2.556045,-0.20165317
2043,0.39155665,-0.17328781,-0.15510702,0.06277692,-1.6256832,0.16187052
2044,1.0171847,0.044721942,1.3401967,0.39985156,0.9631754,-0.05332629
2045,0.57708395,0.015076603,0.10472386,0.2096343,-0.69417113,0.091561206
2046,-1.0539757,-0.12114834,1.4970938,0.8684447,-1.9461656,-0.186307
2047,1.8704827,-0.05098782,0.5242215,0.07950413,-0.6613806,-0.10902714
2048,0.7628297,-0.029857034,0.31101972,0.39747143,-0.3181709,0.02885643
2049,-0.40020064,0.06079432,0.22483703,0.7271801,-0.916631,-0.10631628
2050,1.2021686,-0.07744213,0.87901735,0.36643052,-1.6635998,0.03373117
2051,-1.1096961,-0.026863797,-1.104628,0.027402759,-0.87499326,0.060269535
2052,0.60783494,0.055190027,-0.47696024,0.31474495,-1.6205229,0.012091367
2053,0.14595236,-0.018995449,-0.6212363,0.049474955,-1.3245897,-0.07107288
2054,1.1699798,0.043021265,0.95790595,0.84213877,1.0194627,0.08259713
2055,1.5004325,0.13339299,-0.1839258,0.3311901,-0.16377242,0.019451039
2056,-0.74224997,-0.014779172,0.8675459,0.22443974,-0.7677201,0.08980189
2057,0.5505715,-0.037127297,1.6984042,0.23899662,-0.17112733,-0.08873014
2058,1.0118331,0.016739238,0.43566817,0.33181238,0.58243454,-0.21462296
2059,-0.33801126,0.046625286,0.12934412,0.8723265,-0.10536851,-0.011879139
2060,-0.47931057,0.19818075,-2.9252222,0.7176138,-1.5253003,0.06243683
2061,0.4199029,-0.055253875,-0.25687984,0.99419296,0.57733774,-0.05105242
2062,-2.1746485,0.099128716,-0.97901815,0.19868422,-0.95674384,-0.019858971
2063,-1.0915409,0.0053746006,0.13482776,0.9316617,-0.08943582,-0.021997748
2064,0.17393386,-0.10685422,0.19633357,0.06291652,0.5799735,-0.24202149
2065,1.705434,-0.12592702,0.78649974,0.23554349,0.035684165,0.19081625
2066,1.3301822,-0.068011306,-1.5111191,0.42934883,-0.058482032,0.036441557
2067,0.4484694,0.10002645,-0.81589717,0.54888237,-0.8759835,0.081464835
2068,-1.4824169,0.05566898,1.9393678,0.893329,-0.06677304,-0.15891638
2069,0.45844066,0.024916356,1.2843634,0.53282654,0.5163944,0.020434314
2070,0.08107829,0.034322586,1.4406642,0.7861475,-0.1649488,0.06534829
2071,-1.2927297,-0.04619906,1.4445944,0.81756556,2.0214813,0.12579386
2072,0.88423645,0.08931443,-0.5149777,0.35983884,0.28853157,-0.030515423
2073,3.5289762,-0.03487045,0.84162116,0.024635077,1.198624,-0.07865081
2074,0.18174338,0.01969642,0.1631763,0.45937717,1.088602,-0.2220053
2075,0.02256479,-0.14957505,-1.6655368,0.21241832,0.6787839,-0.029155288
2076,-1.3578727,-0.23186474,-0.7036583,0.10620999,-1.1902684,-0.21614645
2077,0.84018314,-0.114086725,0.5693426,0.31136203,-0.6664673,-0.015369818
2078,-0.9787625,0.054744132,0.95114267,0.7271805,-0.7540796,0.1845852
2079,0.8246002,-0.035943937,-2.3227215,0.33096838,-0.25200015,-0.026148114
2080,0.59742665,-0.123165645,0.26348457,0.28274715,1.9971426,-0.09839883
2081,1.7115102,0.17851348,-0.49901095,0.24193394,-0.43379727,-0.01777204
2082,-0.71843374,-0.12206703,-0.68413967,0.45689273,-2.1635513,-0.050667804
2083,-0.20162241,-0.16833079,0.39835042,0.429397,1.4142631,-0.24289699
2084,-1.2593099,0.0036212814,-0.43667725,0.1056205,-0.49481878,0.014532933
