,x1,x2,x3
2405,1.0,-0.0,0.0
2478,1.0,1.0,1.0
3816,1.0,-0.0,0.0
2561,0.0,2.0,0.0
3498,2.0,0.0,-0.0
2013,-0.0,2.0,1.0
2113,-0.0,1.0,2.0
3468,-0.0,0.0,1.0
3486,-0.0,1.0,1.0
2952,1.0,0.0,-0.0
2603,2.0,0.0,-0.0
2558,1.0,2.0,0.0
2323,1.0,-0.0,-0.0
2864,2.0,0.0,0.0
3749,0.0,-0.0,1.0
2930,1.0,-0.0,2.0
3596,1.0,1.0,2.0
2542,1.0,-0.0,-0.0
3135,-0.0,-0.0,2.0
2833,-0.0,1.0,-0.0
3800,1.0,1.0,1.0
3140,1.0,0.0,-0.0
3384,2.0,0.0,1.0
3293,1.0,0.0,0.0
3280,-0.0,1.0,-0.0
3325,2.0,0.0,1.0
3425,1.0,-0.0,-0.0
3353,2.0,-0.0,1.0
3757,1.0,0.0,-0.0
3386,2.0,-0.0,0.0
3423,1.0,-0.0,-0.0
2211,-0.0,1.0,1.0
2614,2.0,-0.0,1.0
3313,2.0,-0.0,0.0
3020,0.0,0.0,1.0
2995,1.0,1.0,0.0
2773,1.0,-0.0,0.0
2335,2.0,0.0,0.0
2615,1.0,0.0,1.0
3921,1.0,0.0,-0.0
3649,-0.0,1.0,0.0
3241,2.0,-0.0,0.0
3889,-0.0,-0.0,-0.0
2123,1.0,-0.0,0.0
3830,-0.0,2.0,-0.0
3046,1.0,2.0,-0.0
3828,1.0,-0.0,-0.0
2166,2.0,-0.0,1.0
3587,1.0,1.0,0.0
2286,2.0,0.0,0.0
2557,-0.0,1.0,2.0
3453,0.0,-0.0,-0.0
2712,-0.0,2.0,1.0
2673,2.0,0.0,1.0
3025,-0.0,3.0,0.0
2103,1.0,1.0,0.0
2527,2.0,1.0,-0.0
3079,-0.0,1.0,1.0
2748,2.0,0.0,1.0
2907,1.0,-0.0,0.0
2798,1.0,1.0,-0.0
3706,2.0,-0.0,-0.0
3496,1.0,-0.0,-0.0
2971,-0.0,0.0,1.0
2754,-0.0,0.0,-0.0
3056,2.0,1.0,0.0
2027,-0.0,1.0,2.0
2465,0.0,2.0,-0.0
3132,-0.0,-0.0,1.0
3791,1.0,1.0,2.0
2713,2.0,-0.0,-0.0
3902,2.0,1.0,0.0
3599,0.0,0.0,1.0
3194,2.0,-0.0,0.0
3644,1.0,1.0,0.0
2801,1.0,1.0,0.0
2515,2.0,-0.0,-0.0
3233,2.0,-0.0,0.0
3810,0.0,1.0,-0.0
2397,-0.0,1.0,0.0
2090,2.0,-0.0,1.0
3287,0.0,1.0,1.0
2610,2.0,-0.0,-0.0
3354,2.0,0.0,1.0
3131,-0.0,1.0,-0.0
2694,2.0,0.0,0.0
3359,0.0,2.0,0.0
3973,0.0,1.0,0.0
2196,1.0,-0.0,1.0
2275,-0.0,0.0,0.0
2127,-0.0,0.0,1.0
3801,1.0,-0.0,-0.0
3798,1.0,1.0,0.0
3139,1.0,1.0,0.0
3237,2.0,-0.0,1.0
2218,0.0,1.0,2.0
2531,2.0,0.0,0.0
2511,1.0,1.0,1.0
3955,1.0,-0.0,-0.0
2174,-0.0,2.0,-0.0
2010,1.0,-0.0,-0.0
2239,1.0,-0.0,-0.0
2028,2.0,-0.0,0.0
3544,0.0,2.0,-0.0
2872,-0.0,1.0,0.0
3276,1.0,0.0,2.0
2378,-0.0,1.0,1.0
2269,1.0,0.0,0.0
2530,0.0,0.0,2.0
3307,-0.0,1.0,-0.0
3586,2.0,-0.0,-0.0
2046,1.0,0.0,-0.0
2845,1.0,1.0,0.0
2863,1.0,1.0,-0.0
3169,1.0,1.0,0.0
2329,1.0,1.0,1.0
2623,2.0,-0.0,0.0
3595,1.0,-0.0,-0.0
3396,0.0,1.0,1.0
3578,1.0,0.0,-0.0
2607,1.0,-0.0,2.0
3536,1.0,-0.0,-0.0
2381,2.0,-0.0,0.0
2379,2.0,1.0,1.0
2119,2.0,-0.0,1.0
3774,1.0,1.0,1.0
2736,1.0,0.0,0.0
