ix,goal_cost,intv_cost
3979,1.0,2.0
2973,1.0,1.0
2105,1.0,2.0
2268,1.0,1.0
3853,1.0,1.0
2927,1.0,1.0
3368,1.0,1.0
2255,1.0,2.0
2480,1.0,1.0
3203,1.0,1.0
2550,1.0,1.0
3468,1.0,1.0
3405,1.0,1.0
2221,1.0,1.0
2840,1.0,2.0
3348,1.0,1.0
2990,1.0,1.0
3266,1.0,1.0
3305,1.0,1.0
2507,1.0,1.0
3067,1.0,1.0
3709,1.0,1.0
3715,1.0,2.0
2945,1.0,1.0
3493,1.0,1.0
3236,1.0,1.0
2644,1.0,1.0
3531,1.0,1.0
2980,1.0,1.0
2149,1.0,1.0
2111,1.0,2.0
2785,1.0,1.0
2226,1.0,1.0
2460,1.0,1.0
2802,1.0,1.0
3155,1.0,1.0
3041,1.0,1.0
3106,1.0,1.0
2426,1.0,1.0
3354,1.0,1.0
3963,1.0,1.0
2356,1.0,1.0
2407,1.0,1.0
2435,1.0,1.0
2088,1.0,1.0
2698,1.0,1.0
2127,1.0,1.0
3793,1.0,1.0
3834,1.0,1.0
3955,1.0,1.0
2283,1.0,1.0
2602,1.0,1.0
3814,1.0,2.0
2343,1.0,1.0
3377,1.0,1.0
2192,1.0,1.0
3665,1.0,1.0
3347,1.0,1.0
2922,1.0,1.0
3802,1.0,1.0
2642,1.0,1.0
2510,1.0,2.0
3438,1.0,1.0
3554,1.0,1.0
2930,1.0,1.0
2289,1.0,1.0
3044,1.0,1.0
3097,1.0,1.0
2291,1.0,1.0
3024,1.0,1.0
3610,1.0,1.0
3229,1.0,1.0
3703,1.0,1.0
2470,1.0,1.0
3467,1.0,1.0
3162,1.0,1.0
2829,1.0,1.0
3980,1.0,1.0
2918,1.0,3.0
3991,1.0,1.0
3443,1.0,2.0
2067,1.0,1.0
3189,1.0,2.0
2680,1.0,1.0
2849,1.0,1.0
2123,1.0,1.0
2832,1.0,1.0
2822,1.0,1.0
2979,1.0,1.0
2890,1.0,1.0
3113,1.0,1.0
2034,1.0,1.0
3073,1.0,1.0
3789,1.0,1.0
3191,1.0,2.0
2805,1.0,1.0
2103,1.0,1.0
3704,1.0,1.0
2032,1.0,1.0
2218,1.0,1.0
2587,1.0,1.0
2315,1.0,1.0
2898,1.0,1.0
3989,1.0,1.0
2069,1.0,1.0
2563,1.0,2.0
3982,1.0,1.0
3535,1.0,1.0
3281,1.0,2.0
3245,1.0,1.0
3088,1.0,2.0
2600,1.0,1.0
3039,1.0,1.0
2027,1.0,1.0
2843,1.0,1.0
3335,1.0,1.0
2531,1.0,1.0
2771,1.0,1.0
2864,1.0,1.0
2062,1.0,1.0
2023,1.0,1.0
2858,1.0,1.0
3836,1.0,1.0
2064,1.0,1.0
2752,1.0,2.0
3474,1.0,1.0
3445,1.0,1.0
3748,1.0,1.0
2176,1.0,1.0
2096,1.0,1.0
2941,1.0,2.0
3563,1.0,1.0
2172,1.0,1.0
3945,1.0,1.0
2608,1.0,1.0
2818,1.0,1.0
2355,1.0,1.0
2252,1.0,2.0
2781,1.0,1.0
2401,1.0,1.0
2125,1.0,1.0
2258,1.0,1.0
3860,1.0,1.0
3902,1.0,1.0
2047,1.0,1.0
2738,1.0,1.0
3641,1.0,1.0
3652,1.0,1.0
3066,1.0,1.0
2405,1.0,1.0
2348,1.0,1.0
3821,1.0,1.0
2344,1.0,1.0
2002,1.0,1.0
2169,1.0,1.0
3195,1.0,1.0
3100,1.0,2.0
2806,1.0,3.0
2104,1.0,1.0
3712,1.0,1.0
2122,1.0,1.0
2934,1.0,1.0
3495,1.0,1.0
2978,1.0,1.0
2969,1.0,1.0
3910,1.0,1.0
3940,1.0,1.0
2360,1.0,1.0
2867,1.0,1.0
3800,1.0,1.0
2101,1.0,1.0
3099,1.0,1.0
2526,1.0,2.0
2952,1.0,2.0
3855,1.0,1.0
3124,1.0,1.0
3389,1.0,1.0
3672,1.0,1.0
3993,1.0,1.0
3129,1.0,1.0
2521,1.0,1.0
2110,1.0,2.0
2533,1.0,1.0
2050,1.0,1.0
3059,1.0,1.0
3883,1.0,1.0
3302,1.0,1.0
2762,1.0,1.0
2508,1.0,1.0
3792,1.0,1.0
3787,1.0,1.0
3387,1.0,1.0
3951,1.0,1.0
3833,1.0,1.0
2074,1.0,1.0
3608,1.0,1.0
2239,1.0,1.0
3371,1.0,1.0
3875,1.0,2.0
3552,1.0,1.0
