,u_x1,u_x2,u_x3,u_y,u_x4,u_x5
2000,-0.3099625,0.010058056,-0.47584426,0.55000246,-0.92289937,-0.0739118
2001,2.3663478,0.044838317,0.20669433,0.34430385,-1.1328919,-0.046398167
2002,-0.039379958,0.13098574,-0.11287717,0.92294836,-0.22205569,0.10997444
2003,0.61832136,-0.06299376,0.33100235,0.7932892,0.28099796,-0.2572715
2004,-1.0005132,-0.05616487,-0.70984393,0.44896913,0.5309975,0.17185037
2005,1.5104535,-0.041528508,1.3767146,0.6597458,-0.83535886,-0.072931856
2006,0.2055354,0.019279594,0.8902436,0.55382085,1.2734326,0.18463628
2007,-0.8179208,-0.1265087,0.23779355,0.97743106,-0.18698914,-0.082385056
2008,-1.3270118,0.04418799,-1.0912118,0.50200784,0.12996486,0.07226335
2009,-1.0323501,0.11398434,0.31000093,0.7320266,-0.025354564,0.10286967
2010,-1.5467591,0.045152497,-0.44342408,0.075900316,3.0505512,-0.034084454
2011,-0.4831728,-0.12931882,-1.5282313,0.0838964,0.077996455,-0.23862688
2012,0.34472412,0.17108448,-0.15111285,0.9870416,0.10912237,0.12321495
2013,-0.9191013,-0.0049369,0.3185725,0.9326618,1.3030974,0.013147145
2014,-0.29271322,0.055022974,1.4252479,0.8811718,-0.263963,-0.09049409
2015,0.18209489,0.10609173,-1.917177,0.40346372,0.23843819,-0.063784026
2016,1.0933336,-0.096805386,-1.3590163,0.5638397,-0.013637891,0.047629755
2017,-0.19164702,-0.11124487,1.6797125,0.5940312,-2.1218624,-0.07078441
2018,-1.8303628,0.0139350165,0.16245957,0.6395134,-1.6067486,-0.031627327
2019,-1.4757711,-0.14365135,-1.1195811,0.50306165,1.1621393,0.0051468587
2020,1.4090883,0.045817807,-0.4112537,0.9747704,0.04092562,0.13987061
2021,0.08648965,-0.1425591,0.9006261,0.42157805,0.13541338,-0.34612417
2022,-1.1770989,-0.019158738,0.1683576,0.73876405,1.4487585,0.04925507
2023,0.4160189,0.16535705,0.8213909,0.81418276,-1.3307177,-0.15480493
2024,0.2337961,0.14019495,-1.714845,0.10438335,3.4814444,0.041757684
2025,-0.69920003,0.026154468,-0.294225,0.48239434,-1.7557718,0.05602255
