,x1,x2,x3,x4,x5
2335,0.9653655,-0.58479714,-0.90503293,-1.1412551,0.23566943
3530,-0.1574649,0.6958039,-0.84045917,1.2445401,-0.5162659
3668,-0.10424901,0.62647486,0.33593854,-0.43090028,0.2677644
2020,1.4090883,-0.78513277,-0.32759973,0.04092562,0.06616554
2424,0.12705259,0.10044484,0.14413734,0.5167771,-0.10118001
2949,-0.061235752,0.56792086,-0.30293947,0.45543513,-0.053292118
2762,0.51145804,-0.12554967,0.25196248,0.47376105,0.13193202
2454,0.7734874,-0.6218496,1.1341916,-1.2457347,0.50981367
3388,-0.11084601,0.6134744,-1.4105791,1.1646974,-0.57379186
2429,-1.5685905,2.128101,0.24989456,0.48010358,-0.048584826
2710,0.76107335,-0.46996823,0.5256612,1.3595254,-0.31011882
3331,-0.35049412,1.0969871,-2.0644004,-0.25744072,-0.22192718
2976,-0.29909152,1.0645323,-0.75626284,-0.13671279,-0.2564953
2697,2.6724102,-0.89082295,-0.67989385,0.27525097,-0.24835855
3685,-1.7695901,1.8103955,0.9120164,0.5935777,0.02088188
3737,-1.6021526,1.826395,-0.29571545,0.5608734,-0.07386625
2692,1.4653726,-1.0084198,-0.43773812,0.53816646,-0.30958742
2086,1.3899871,-0.7692922,0.9529363,0.512219,-0.074589185
3040,-0.4239915,1.0617036,-1.2965602,-0.550636,-1.1975371
3124,-0.18982276,0.7431564,-1.0344598,1.2740366,-0.44505963
3659,0.59171486,-0.28567967,-1.5298355,-0.6937313,-0.16119085
2953,-1.0489333,1.6790018,0.96279144,1.7573096,-0.25978222
3545,0.42241582,0.05835317,0.46937832,-1.0073481,0.21849833
2019,-1.4757711,1.7073575,-0.31702507,1.1621393,-0.290686
3526,-0.5793219,1.1434596,-0.7123648,0.701788,-0.3551791
3830,-0.5010619,1.102163,-1.8464613,-0.056901067,-0.38948277
2370,-0.6057556,1.3778698,1.4323984,-2.0792139,-0.20503592
3705,1.4368317,-0.7799809,-1.6228802,-0.5077587,-1.334004
3588,0.89894736,-0.44369113,-1.5801245,-0.40075073,-1.2973602
2932,0.5291326,-0.15041032,-1.3813679,-0.47563446,-0.14773838
2744,1.7980759,-0.8596609,-0.85266113,2.1540124,-0.6616442
3939,-2.55167,1.9820881,0.2794444,-0.30734196,0.09256051
2709,0.29031327,0.1524721,-1.2459008,0.0727134,-0.21220322
3858,0.6438149,-0.21764298,-1.2831123,1.261446,-0.40502515
3733,0.7902683,-0.60154337,-0.24394605,0.81449676,-0.1666383
2458,1.1064198,-0.5668702,-0.8110185,-1.5253576,0.02054888
3722,-0.56602603,1.1246974,-1.1290867,1.2838469,-0.34487084
2363,-1.8849478,1.9258908,1.0792699,-0.835486,0.370538
3599,0.03724561,0.43166482,-1.8698022,-2.299336,-0.03454262
2593,0.12343978,0.2125139,-0.16238216,1.2709587,-0.36088595
2357,0.3309411,-0.07755079,-0.85026133,0.36269844,-0.23365946
2060,0.19938716,-0.01928699,-0.027321596,0.57698727,-0.23407272
2104,0.8732924,-0.5949651,-0.003902305,0.36092752,-0.20084894
3123,0.8090381,-0.68719405,-0.5734153,-0.018658018,0.005277522
3486,0.36151186,-0.045688786,-0.38345152,-0.8577364,0.10309414
2247,0.96013033,-0.72755104,-0.5176748,0.02583028,-0.07120286
3191,-1.7863837,1.9474485,1.4571775,0.04106887,0.39033568
2863,1.2116077,-0.9444803,-0.13033807,0.745253,-0.4053372
2185,0.05744176,0.48638,-2.0778832,0.20926687,-0.51279396
2913,-0.021182895,0.41855508,-0.68142444,-1.7563248,0.21377452
3774,0.20170398,0.22865461,-1.2110883,0.014273976,-0.15656067
3474,-0.6468153,1.3367188,-0.04526505,-1.0615252,0.15931666
3760,-2.803538,2.085545,2.489077,-0.12693916,0.67252475
2980,1.0182395,-0.5914519,0.025924897,-1.0548171,0.09331546
2889,-0.8136367,1.5532235,-0.78114116,-1.2616906,0.15094109
3856,-0.71166426,1.4636168,1.194319,-0.758001,0.35138914
3343,0.7751041,-0.39498737,-1.5751393,0.6047649,-0.5724453
2476,0.9271376,-0.37978026,0.48324582,0.7260771,-0.122339286
2321,0.50784963,-0.07724173,-0.63698184,-2.2726307,0.35711682
3285,-0.5348061,1.167438,-0.18460551,-0.034645896,-0.09286839
2515,-0.7173488,1.4737442,-2.1571722,-0.6001148,-0.27275452
2910,1.303869,-0.7225539,0.60099524,0.7296311,-0.014511284
3221,-0.5307238,1.3762447,-0.09390962,0.5686104,-0.2879281
2811,-0.7813436,1.3059579,0.20601827,0.7034414,-0.038475793
2023,0.4160189,0.07500017,0.80199623,-1.3307177,0.2717378
3688,0.3509655,-0.024518734,0.6260861,-0.40475282,0.15755236
3402,-0.64303076,1.3442609,-0.54156196,-0.7524422,-0.004605286
2232,0.5293667,-0.2327813,-1.557765,0.6320245,-0.3504413
2203,0.31448492,0.118847504,-1.0632088,-1.135965,-0.07632481
2262,-0.3674673,0.99268615,-0.3611601,1.1862209,-0.3622185
3135,1.6617457,-1.0556388,-0.37394467,0.28066567,-0.18823573
3347,-1.0146114,1.6137284,0.090936005,-0.3434856,-0.015515268
2911,0.47128665,-0.19612072,0.7672854,-0.111924514,0.28822532
3777,-0.7736343,1.4348979,-1.0446608,-0.010439757,-0.23307452
2261,0.31157205,0.031357467,1.0137149,0.7933865,-0.022754513
3466,1.6586255,-0.8890394,0.007288769,-0.21402648,-0.15839148
3177,-1.0953813,1.6229544,0.5748185,-0.6148188,0.33543074
2003,0.61832136,-0.38793105,0.33770892,0.28099796,-0.2459293
3308,0.34466258,0.11706733,-0.30414626,0.22377342,-0.06039752
3956,0.85829276,-0.5102774,-2.1771452,1.482796,-0.7154647
3321,-2.7230315,1.8725864,0.61004066,0.02732338,0.12249579
2146,1.7796121,-0.86763257,-1.5509267,-0.23205076,-0.19726133
3069,1.0642074,-0.9326395,-0.5470737,-1.9378935,0.2247495
2012,0.34472412,0.17355199,-0.160819,0.10912237,0.06922668
2868,0.44929928,-0.19408208,-1.9820335,1.4212536,-0.8055525
3796,0.030861635,0.5590536,0.6134298,-1.7962799,0.36462077
3434,-0.57554704,1.1559746,0.70589256,-1.617898,0.34685147
3678,-0.05707287,0.59559405,-0.957398,0.6555444,-0.27480277
3021,0.17951006,0.30718523,-0.16151746,-0.5941357,0.24001022
3362,-1.0819124,1.6285095,1.1991179,-0.90187687,0.5995264
3818,-1.0744597,1.7341775,-0.33417952,-0.2438283,-0.10043336
3954,-0.7570646,1.5901124,1.5436859,-1.712498,0.54590183
3803,-0.13415037,0.8386489,0.09230635,-0.29067284,0.17857945
3604,-0.30534926,0.8205185,-0.2635371,0.23723845,-0.15120281
3108,0.22620651,0.04163278,-0.6655195,0.048848286,-0.12108015
2707,1.0577959,-0.7753751,-0.48707187,0.60024595,-0.3890342
3403,1.8762621,-0.79852337,-1.0074949,-0.51862496,-0.09184795
2274,-1.7745864,1.8429663,-1.2842455,-2.0533574,0.12413693
2354,1.6699553,-1.1485655,-0.4847364,-0.7264461,0.025575856
3915,0.057057455,0.44371662,-1.6022828,0.490715,-0.45519662
2253,0.5037375,-0.1684698,-0.14201757,0.6826143,-0.11760357
2606,0.1278057,0.38437948,-0.40517825,0.6480027,-0.31037703
2894,-0.04746422,0.7275194,0.5223447,0.026579365,0.025691696
3836,0.354618,-0.00066553056,1.1390525,0.9563163,0.047547802
2927,0.79183525,-0.51575685,0.42390814,-0.71586895,0.28464743
3262,0.023155997,0.41919252,-1.0691669,-0.71199375,-0.08956225
2377,-0.09884466,0.666112,0.09252677,-1.3721905,0.21962199
3622,-1.7026421,1.8749126,0.26561964,0.013015257,0.021123432
3955,-0.14407183,0.6152081,-0.58221,-0.07745652,-0.012503892
3843,-0.5010074,1.1069417,-0.25452787,-0.5264891,0.11092287
3215,0.34285128,0.050358355,1.3553774,0.96730685,-0.015958913
3749,-0.20723334,0.91608065,-0.22528528,1.0266659,-0.10045281
2179,0.52026045,-0.25202796,0.017740807,-0.6128292,0.06464891
3782,1.264987,-0.7530328,0.56127155,0.086984545,0.07556659
3736,-0.53782475,1.3125886,-0.32452106,0.13279474,-0.15502468
2966,0.29573637,0.09446353,-0.56294477,-0.47920364,-0.10814045
3869,-0.35628736,1.0578344,-1.0853826,-1.1005485,-0.12025122
3351,1.5811507,-0.752866,-1.5257753,-2.0748708,-0.8645332
3132,0.7666924,-0.5286854,-1.5968866,-0.14768507,-0.19384885
3053,-2.455554,1.8380574,2.0512984,0.6446162,0.1864076
3286,0.9694052,-0.82104266,-0.016607925,0.98002446,-0.16569206
2102,-0.392641,1.0451858,-0.8474997,-0.14074746,-0.07406985
3426,-1.1820731,1.797221,-0.6605412,1.0213033,-0.3140507
3636,0.3736387,-0.14775378,-1.2188289,-1.773056,0.06278488
2275,1.3983048,-0.8516006,-0.16430897,-0.2444911,-0.14639103
3165,-1.0261581,1.5515882,-0.34731328,0.57600176,-0.18165216
3194,-0.6758153,1.288018,0.78850216,-1.636083,0.33342016
3218,-0.30710793,0.8914152,0.4644681,-0.53444105,0.10964713
3412,1.1786729,-0.5843182,-0.6361153,0.7845759,-0.040907413
3225,0.5440794,-0.1637347,-1.077428,-1.7138423,0.193398
2287,0.07726636,0.4391386,-1.0404462,0.36442322,-0.255975
2128,-1.1412163,1.7517074,-0.77760977,0.76165825,-0.28449175
3905,0.6100761,-0.47592956,0.74257565,-0.32060257,0.22980341
2973,-1.7005426,2.0290327,0.72453594,1.0405511,0.071614906
3643,1.6526974,-1.1179549,-0.77947754,0.949038,-0.3738218
3593,0.4099476,-0.050231695,0.5517886,-0.45900977,0.28519863
3506,-0.61332613,1.3559997,0.36807266,-0.48302504,0.07799852
2631,0.22471629,0.05771873,0.07124767,0.84992266,-0.112697974
2100,0.8580864,-0.38879776,-1.0809845,-0.30492723,-0.09586679
2840,-0.326884,0.9822904,-1.4000045,0.1379005,-0.2959516
2417,0.5394379,-0.3662653,-0.4892176,-1.641773,0.24766
3991,-1.1987101,1.7435504,0.035642028,0.12120834,0.06115719
3150,1.925831,-0.8916855,-1.5373381,-0.5915065,-0.1625326
2408,1.6937795,-0.7453154,-0.30200136,-0.31221345,0.04545693
3422,0.68896025,-0.30186665,-1.9058002,-1.6389655,-1.0620953
3001,1.2306551,-0.7669999,-2.1336746,0.09965949,-0.40603545
2116,1.1550785,-0.69350404,-0.85963804,1.5332876,-0.43505847
3373,1.0474263,-0.702829,-1.916761,1.3597084,-0.6355327
3093,-2.3881953,1.9585478,-0.013559341,-2.305084,0.5977214
3349,-0.8152841,1.488105,-0.11272228,0.77250564,-0.23385626
3882,1.2238914,-0.6696096,-0.55403227,0.055867482,-0.016370334
2810,1.1329972,-0.517944,0.4883673,-1.3267207,0.24961412
2533,-0.14600475,0.7455223,-0.58433354,1.5231413,-0.3896518
2926,-0.7128396,1.5399373,1.1202518,1.4905345,-0.14036015
2404,0.33625,0.05751303,1.1442714,1.044991,-0.03980615
2393,0.78854555,-0.39893183,-1.0765976,-1.1580201,-0.056474566
3978,0.44886962,-0.12226781,-0.46113142,-0.90809,0.013294414
3211,0.07915734,0.36520875,-0.9897407,-0.79198956,0.0023838654
2742,-1.9016863,1.8529813,0.16771382,0.05422421,0.06129149
2896,-0.85054916,1.5311534,1.0124351,1.2502388,-0.03110702
3271,1.0073448,-0.59748197,0.084634624,1.1424811,-0.270509
3401,-0.24599415,0.873409,-0.4077124,-0.14530532,-0.17779568
3485,1.521079,-0.94852567,-0.702765,-0.3429189,-0.18099743
3274,-1.6745414,2.023691,1.4506166,-0.34409332,0.3693415
2680,-1.2019829,1.7955693,1.857053,-1.7602036,-0.2597907
3213,-0.36916727,0.9867201,0.42334598,0.9049239,-0.16947187
3943,1.4871843,-0.8708149,0.21029386,-0.5019443,0.08097572
3560,-0.33987597,1.0931758,-0.37369493,0.78741074,-0.3967884
3463,1.1252689,-0.6674797,-0.104974486,-0.36050895,-0.103757665
2470,0.41177842,0.07061401,-0.28052974,2.6126885,-0.52678347
2518,-0.24620327,0.80908334,-0.7657773,0.41554812,-0.21047245
3078,0.085636966,0.29628754,-0.36393848,-0.3070462,0.002219853
3592,-1.0998616,1.6002156,0.11623168,-2.8129067,0.50773925
3207,0.55716753,-0.2994795,-0.43613043,1.6611315,-0.5209954
3603,0.8897498,-0.5926021,-1.1316524,-0.43753532,-0.20491593
3880,1.16277,-0.7472175,2.1561887,-0.21143912,0.3277703
2721,0.5513906,-0.36303562,-1.0393469,1.0742275,-0.3957128
3950,0.2959274,0.0502306,1.0806342,0.6506303,0.02702389
2359,0.38176632,-0.2628821,-1.4081702,-0.655209,-0.15297966
2098,-0.08672675,0.5373503,-1.405463,-0.0020336504,-0.32331565
2871,2.0900357,-1.0676811,1.1428177,-0.5663918,0.429146
2284,-0.57271975,1.2471526,0.87176335,-0.35090944,0.28721267
2271,-0.342154,0.9415092,-0.7444638,1.1474802,-0.34134933
3967,-0.14314465,0.6766971,-1.6044245,-0.026278505,-0.3506403
3385,0.029157631,0.38524085,-1.01903,0.07246563,-0.118333764
3779,-0.9804208,1.4539614,0.34502363,1.1120163,-0.10179554
3431,-1.3974876,2.0228012,0.66416126,-1.093141,0.4433377
2480,1.4686829,-0.8909139,1.4783988,0.8884396,-0.0563571
3646,0.6446056,-0.35116053,-0.44168392,0.9074176,-0.3176258
3665,-1.6658778,1.9494327,2.4428525,0.7875065,0.16608699
3651,-1.0313213,1.6478496,0.6075165,0.61181045,-0.14401717
3540,-0.46206075,1.0559348,-0.18539864,-0.12982187,-0.024370577
3045,0.48699942,-0.20998283,0.50012696,0.45511928,0.012626796
3509,-0.165053,0.9140067,-0.2603953,-0.2075383,0.03391089
3251,-1.1020149,1.6052814,-0.9489381,0.20517497,-0.27734214
3353,0.31854892,0.04469179,-1.0475639,0.6875055,-0.39039463
3295,0.7951192,-0.42974257,1.0884545,0.24574329,0.23106965
3735,-1.7081606,1.9455254,0.44996625,0.23867339,0.2082736
3787,-0.20199752,0.98797876,-0.19582167,-0.13655081,0.0019623358
3768,0.016465733,0.5733974,-0.14013095,-0.72932833,-0.034041494
