,x1,x2,x3
2686,1.0,1.0,-0.0
3538,-0.0,2.0,-0.0
3702,0.0,2.0,-0.0
2211,-0.0,2.0,0.0
2273,1.0,1.0,0.0
3342,1.0,1.0,0.0
2783,-0.0,2.0,-0.0
3093,1.0,-0.0,2.0
3663,0.0,2.0,0.0
3631,1.0,1.0,0.0
2479,-0.0,0.0,2.0
3735,1.0,2.0,-0.0
3485,2.0,1.0,-0.0
3382,-0.0,2.0,0.0
3291,2.0,1.0,-0.0
3688,0.0,2.0,0.0
3866,0.0,-0.0,2.0
2871,1.0,2.0,0.0
2975,-0.0,3.0,0.0
3566,1.0,2.0,1.0
2500,0.0,-0.0,3.0
3023,1.0,1.0,-0.0
3794,0.0,0.0,3.0
3305,0.0,2.0,0.0
2926,1.0,2.0,0.0
3939,-0.0,0.0,3.0
2371,1.0,1.0,0.0
3127,1.0,1.0,-0.0
3461,1.0,1.0,1.0
3047,0.0,0.0,3.0
2880,-0.0,3.0,0.0
2967,1.0,1.0,0.0
2143,0.0,2.0,2.0
3265,-0.0,0.0,0.0
2096,-0.0,2.0,-0.0
3616,-0.0,2.0,0.0
2427,-0.0,2.0,-0.0
2003,-0.0,2.0,0.0
2519,-0.0,2.0,1.0
3871,0.0,-0.0,3.0
2243,1.0,1.0,1.0
3633,1.0,1.0,1.0
3004,-0.0,2.0,0.0
3032,1.0,1.0,-0.0
2099,0.0,-0.0,3.0
2811,-0.0,1.0,-0.0
2412,-0.0,2.0,0.0
3803,-0.0,3.0,0.0
3218,0.0,2.0,0.0
3971,1.0,1.0,-0.0
3323,1.0,2.0,0.0
3285,1.0,-0.0,2.0
3467,0.0,2.0,0.0
2701,1.0,2.0,0.0
2172,0.0,2.0,0.0
2507,-0.0,3.0,0.0
3511,-0.0,2.0,0.0
2339,1.0,1.0,1.0
2349,0.0,2.0,2.0
3878,2.0,1.0,0.0
3417,0.0,-0.0,2.0
3359,1.0,1.0,-0.0
3718,0.0,-0.0,3.0
2231,1.0,1.0,-0.0
2324,1.0,1.0,1.0
3704,0.0,-0.0,-0.0
2623,-0.0,3.0,-0.0
2631,0.0,2.0,0.0
2433,0.0,2.0,-0.0
2918,-0.0,2.0,0.0
3680,-0.0,0.0,3.0
2445,0.0,2.0,0.0
2965,-0.0,3.0,0.0
2167,0.0,-0.0,3.0
3466,1.0,1.0,1.0
2883,-0.0,-0.0,4.0
2675,1.0,1.0,0.0
2763,-0.0,2.0,0.0
2140,-0.0,2.0,1.0
3716,0.0,2.0,2.0
3343,-0.0,2.0,-0.0
2532,0.0,3.0,-0.0
3433,1.0,1.0,1.0
3602,2.0,1.0,0.0
3483,-0.0,2.0,-0.0
2392,1.0,1.0,-0.0
3455,-0.0,2.0,0.0
3651,2.0,1.0,-0.0
3012,2.0,-0.0,1.0
2360,-1.0,0.0,4.0
3175,1.0,1.0,0.0
2309,2.0,1.0,-0.0
2941,-0.0,2.0,2.0
2462,1.0,2.0,-0.0
3401,1.0,2.0,2.0
2058,1.0,2.0,0.0
3567,-0.0,2.0,-0.0
2311,0.0,0.0,3.0
2189,-0.0,0.0,-0.0
2748,0.0,1.0,2.0
2578,1.0,1.0,-0.0
2859,0.0,2.0,0.0
3872,1.0,-0.0,2.0
3784,1.0,1.0,0.0
2536,-0.0,2.0,0.0
2594,1.0,1.0,-0.0
2174,0.0,2.0,0.0
3157,-0.0,2.0,-0.0
3151,0.0,1.0,2.0
3086,0.0,2.0,0.0
2473,0.0,-0.0,3.0
3081,-0.0,2.0,0.0
2495,1.0,1.0,-0.0
3270,-0.0,2.0,0.0
2289,-0.0,2.0,0.0
2032,1.0,2.0,0.0
3581,-0.0,2.0,0.0
2902,1.0,1.0,1.0
2395,-0.0,2.0,0.0
2110,-0.0,2.0,0.0
3302,0.0,3.0,0.0
3154,1.0,1.0,0.0
3712,-0.0,2.0,-0.0
2809,-0.0,2.0,0.0
3685,1.0,1.0,1.0
2590,0.0,-0.0,0.0
3943,-0.0,2.0,-0.0
2468,1.0,1.0,1.0
3452,-0.0,2.0,0.0
2298,0.0,-0.0,0.0
3832,0.0,2.0,1.0
2620,-0.0,0.0,3.0
2725,-0.0,1.0,2.0
2179,2.0,1.0,0.0
3955,0.0,2.0,0.0
2818,1.0,1.0,-0.0
3498,1.0,1.0,1.0
3448,1.0,1.0,0.0
2350,-0.0,3.0,0.0
3308,1.0,1.0,0.0
3994,1.0,1.0,1.0
2229,1.0,1.0,0.0
2954,1.0,1.0,0.0
3088,1.0,1.0,1.0
2944,1.0,1.0,2.0
3201,1.0,1.0,0.0
3107,1.0,2.0,0.0
2484,1.0,1.0,0.0
2640,-0.0,0.0,3.0
3210,1.0,1.0,1.0
2778,1.0,1.0,0.0
2545,1.0,1.0,0.0
3408,-0.0,3.0,0.0
2301,0.0,2.0,-0.0
2151,-0.0,2.0,1.0
3030,0.0,2.0,0.0
2276,-0.0,2.0,-0.0
3594,-0.0,2.0,0.0
3592,0.0,2.0,-0.0
3464,-0.0,0.0,0.0
3822,0.0,-0.0,3.0
3358,0.0,2.0,0.0
2086,1.0,1.0,0.0
3759,1.0,1.0,-0.0
2983,1.0,1.0,-0.0
3155,-0.0,0.0,3.0
2525,0.0,3.0,1.0
2916,0.0,-0.0,0.0
2642,2.0,1.0,1.0
2045,1.0,1.0,-0.0
3439,-0.0,-0.0,3.0
3017,1.0,2.0,0.0
2112,-0.0,3.0,-0.0
3040,-0.0,3.0,0.0
3267,1.0,1.0,-0.0
2416,1.0,1.0,0.0
3379,1.0,1.0,0.0
3319,1.0,1.0,-0.0
3242,-0.0,3.0,0.0
2958,0.0,2.0,0.0
3197,1.0,2.0,-0.0
2069,1.0,-0.0,2.0
2094,0.0,-0.0,3.0
3515,0.0,2.0,0.0
3135,-0.0,2.0,0.0
2283,-0.0,2.0,0.0
2698,1.0,2.0,0.0
2879,-0.0,2.0,0.0
2782,0.0,1.0,2.0
3137,1.0,1.0,-0.0
3488,0.0,-0.0,4.0
3295,0.0,2.0,-0.0
3749,0.0,0.0,3.0
2614,1.0,1.0,-0.0
3886,0.0,2.0,0.0
2428,0.0,0.0,-0.0
3812,0.0,2.0,0.0
2001,1.0,2.0,0.0
3067,1.0,1.0,2.0
3926,-0.0,0.0,0.0
