,y
2806,0.0
2094,0.0
3374,1.0
2879,0.0
3821,0.0
2535,0.0
3078,0.0
3746,0.0
2580,0.0
2425,0.0
3938,0.0
2281,0.0
2759,0.0
3633,0.0
2154,0.0
2264,0.0
2912,0.0
2983,0.0
2149,0.0
3521,0.0
2325,0.0
2427,0.0
3004,0.0
2657,0.0
3289,0.0
3179,0.0
2584,0.0
3996,0.0
2058,0.0
3231,0.0
3089,0.0
2492,0.0
3928,0.0
2544,0.0
3233,0.0
2195,0.0
3706,0.0
3209,0.0
3815,0.0
3922,0.0
3786,0.0
3037,0.0
3267,0.0
2527,0.0
3808,0.0
3698,0.0
2280,0.0
2333,0.0
3961,0.0
2675,0.0
3886,0.0
2796,0.0
2599,0.0
3749,0.0
2324,0.0
3571,0.0
3020,0.0
3353,0.0
3464,0.0
2849,1.0
3732,0.0
3246,0.0
2804,0.0
2496,0.0
2373,0.0
3388,0.0
3022,0.0
2319,0.0
3733,0.0
3713,0.0
3861,1.0
2478,0.0
3780,0.0
3405,0.0
3711,0.0
3268,0.0
3113,0.0
3820,0.0
2255,0.0
2747,0.0
3728,0.0
3122,0.0
2392,0.0
2620,0.0
2946,0.0
3195,0.0
2284,0.0
2120,0.0
3784,0.0
3875,0.0
2228,0.0
2765,0.0
3906,0.0
2791,0.0
3554,0.0
3105,0.0
3794,0.0
2419,0.0
2408,0.0
3604,0.0
3831,0.0
2877,0.0
2436,0.0
2437,0.0
2229,0.0
2861,0.0
2293,0.0
3445,0.0
3491,0.0
3905,0.0
3029,1.0
3990,0.0
2970,0.0
2140,0.0
3718,1.0
3413,0.0
3637,0.0
3109,1.0
3499,0.0
3544,0.0
2188,0.0
2523,0.0
2625,0.0
3094,0.0
3999,0.0
3926,1.0
3555,0.0
3983,0.0
3065,0.0
2103,0.0
3364,0.0
3068,0.0
2830,0.0
2214,0.0
3543,0.0
2710,0.0
3972,0.0
2213,1.0
3787,0.0
2119,0.0
3516,0.0
2466,0.0
3910,0.0
2967,0.0
3282,0.0
2007,0.0
2850,0.0
3115,0.0
2928,0.0
2415,0.0
2145,0.0
3174,1.0
2891,0.0
2825,0.0
2056,0.0
2921,0.0
2318,0.0
3406,0.0
3238,0.0
3239,0.0
2299,0.0
3855,0.0
3129,0.0
3495,0.0
2685,0.0
3889,0.0
3853,0.0
3688,0.0
2893,0.0
2114,0.0
3659,0.0
2144,0.0
3715,0.0
2752,0.0
2888,0.0
2581,0.0
3536,0.0
2994,0.0
3070,0.0
2827,0.0
2817,0.0
2295,0.0
2016,0.0
2533,0.0
3436,0.0
2674,0.0
2347,0.0
3507,0.0
2061,0.0
2772,0.0
2030,0.0
2097,0.0
3152,0.0
2200,0.0
2915,0.0
3691,0.0
2707,0.0
2532,0.0
3180,0.0
2829,0.0
