,x1,x2,x3,x4,x5
2591,0.9149265,-0.5410024,-0.5688061,-0.35943776,-0.9399554
2537,-0.6570248,1.24438,-0.4055851,0.70903134,-1.2912465
2562,-0.81916225,1.5263523,-0.4842502,0.419868,-1.0748607
2275,1.7485658,-0.8667765,0.5520973,-0.8991464,-0.82701004
3792,0.4001846,0.023683205,2.3295221,-0.73537123,0.6034887
3392,0.17106956,0.24971381,-0.49261224,-0.3446596,-0.9748812
2329,0.093487464,0.24435583,-2.1737773,-0.5375347,-1.3088312
3826,1.0071222,-0.6953007,2.0914354,-0.5650856,-0.43517405
3358,-1.5698433,1.7995955,1.0754483,-0.13951506,-0.7712043
2509,1.0241541,-0.73633903,0.09433603,0.2012795,-1.1408919
2795,0.7351216,-0.39244783,-1.1342696,0.5702466,-1.3423235
3848,-2.0284755,1.8229083,2.1142697,1.4901099,0.17902255
2600,-1.7774501,1.7695514,1.6146188,-3.2171042,-0.011216718
2632,-0.7546606,1.4310372,-0.5629591,1.5896653,-1.3031876
3581,-0.31557125,1.0252501,-0.29403248,-0.85907155,-0.8186747
2423,0.3740841,-0.08951533,-1.7364901,0.26519975,-1.3432351
2586,0.8381295,-0.63704205,1.564493,-1.6974992,-0.16428594
3727,0.4940788,-0.30554873,1.8679295,1.3598771,0.37437126
2448,0.5080026,-0.40767324,-0.05853974,0.6203202,-0.9786858
3362,-0.86941177,1.5653216,-0.075158834,-0.964725,-1.1471347
3705,0.95317614,-0.5785386,2.7079198,-0.8303129,-0.3007843
2919,0.19198807,0.35168654,-0.60451686,-1.9707593,-1.5534245
3242,0.73603654,-0.37994236,-1.210421,-0.12269806,-1.2839129
2154,-0.26479727,0.7487126,0.5276512,-2.1612637,-0.5821456
3099,0.38603768,0.041477576,-2.1513753,-0.18618764,-1.4612278
2583,0.21501364,0.16973373,-0.8973791,-0.29332244,-1.2824138
3844,0.35531753,-0.018384539,0.43200532,0.15915225,-0.9395776
3220,-0.3139241,0.8963315,-0.54955107,-0.4199954,-0.9722581
2710,1.1570168,-0.70735145,-0.4994091,0.19662023,-0.98021936
2176,0.5045617,-0.11735763,-0.5453762,0.93751717,-1.0610758
3371,0.9642057,-0.42984995,-0.06255396,-0.5163088,-0.8356769
2322,-0.4684698,1.1695143,-0.14466903,0.35617036,-1.1547952
2390,-0.8381786,1.4383116,-0.04075855,-0.41054064,-0.8320955
3814,1.1840967,-0.62969124,1.0091293,0.5415089,-0.777254
3864,0.9910547,-0.6386956,0.41125304,-0.024808759,-0.80201954
3441,1.0874153,-0.68574625,-0.82599556,-0.46537778,-0.9964426
2335,0.8944144,-0.7826642,-1.2745807,0.7550915,-1.4661081
2324,-0.33538806,1.0656523,1.5190669,0.12749963,-0.79469496
2114,0.9402315,-0.7495448,-0.7136981,-1.454795,-1.0362767
3609,0.87862337,-0.59087485,-1.3319407,0.6553348,-1.3870616
3381,0.98402447,-0.56187856,0.2977399,-1.4944321,-1.4809415
3073,-1.1569242,1.6658629,1.2558783,-0.5240565,-0.6718203
3085,0.0946703,0.3186428,1.3887094,-0.27057624,-0.74925315
3972,0.43372032,-0.018104859,0.1305303,-0.94711655,-0.784142
3938,0.37303928,0.09626584,-0.1160717,-0.6170685,-0.92626005
3191,0.1247325,0.13640632,-0.78797746,-1.5049067,-0.9651664
3877,-0.361541,1.0292733,-1.4396504,0.9666596,-1.4456532
2062,1.8133494,-0.8738692,0.2854256,-0.288048,-0.7814784
2530,-0.858156,1.6199504,0.98887324,0.1611747,-0.8745673
3608,1.5358163,-0.73011845,-2.0839522,-0.6173429,-1.3011366
3165,-0.32197315,0.8486382,-0.82605106,1.2250841,-1.3174065
2473,0.89877015,-0.651407,-0.9854397,-0.084931746,-1.1253096
2964,1.4138652,-0.74974537,2.332583,-1.7706783,-0.2063785
2488,1.194889,-0.81470096,-1.2308953,-0.011144699,-1.2921813
