,x1,x2,x3,x4,x5
3900,2.6149266,-0.7598975,0.8035809,-0.27941686,-0.72514254
2926,0.73277414,-0.3882497,-0.3698885,-0.5743844,0.21790263
2486,2.959124,-0.9124952,0.049163163,-1.1291938,-0.72549725
3630,-0.15032102,2.606184,2.4440467,-0.9877532,-0.44380563
3891,1.4791362,-0.7605284,-0.111358166,-0.6570293,0.03489548
2593,0.8969674,-0.51336545,-0.69557357,0.88726616,-0.44174114
2402,-1.8482085,1.9266424,3.2147908,0.56636393,0.6889708
2589,0.97244084,0.40962577,1.8826346,1.0114484,0.24809678
2013,0.9877618,0.2567783,1.7339664,1.0612535,-0.83137643
2112,1.5925413,-0.811281,1.937515,-0.7556823,-0.43299764
3970,-2.1000254,2.1117587,3.4776125,-0.11502308,-0.43845004
3608,1.5358163,1.2698815,0.9160478,-0.6173429,-0.70113665
2890,3.1791677,-1.1072569,-0.38905984,0.95368165,-1.2755967
2200,0.3285005,2.548758,1.7975465,-0.6631472,0.49516484
3277,1.1744272,-0.7290124,1.9915358,0.6794146,0.20727171
2279,-1.4041545,1.6382644,3.2469864,-0.14286269,-0.15160525
2458,2.0162594,1.1118741,0.39590883,-0.70606387,-0.72776204
2152,2.3911893,0.90572906,-0.18418396,-1.6833262,-0.8341068
3864,0.9910547,0.3613044,1.411253,-0.024808759,-0.60201955
3738,-0.7488544,2.6452022,1.3561227,-0.77414024,-0.47229072
3817,-1.2364061,1.6621225,2.9506679,0.6000183,-0.486149
2751,0.6714634,2.4702759,1.2921121,1.5985465,-1.079625
2136,1.5552989,-0.7373109,0.77218443,-3.0760112,-0.18091974
2536,0.7198186,0.6394099,1.4195604,-0.21133159,-0.50118995
3977,1.4248333,0.8343215,1.085474,-0.15646204,-0.66369987
2335,0.8944144,1.2173358,0.7254193,0.7550915,-1.0661081
3081,0.766797,-0.50512874,3.2279215,0.44282594,-0.20076756
2587,2.2392967,0.21862358,1.1000971,-0.05838086,-0.6977059
2711,3.2610924,-0.9928871,0.37592393,-0.89063907,-0.73233783
3198,2.3032644,-1.0065511,1.431511,-2.3570163,-0.34019476
2763,3.2301798,-1.0865473,-1.6818379,-0.6034787,-0.15801544
2534,3.2155914,-0.8396424,0.8295032,-1.8255101,-0.5965355
3429,0.8335371,-0.6846623,0.83408415,1.3731644,-0.14285295
3787,0.9631209,0.38767612,2.1118157,-0.15315665,-0.75869125
2627,1.0509675,-0.74623054,-0.34656608,1.3309389,-0.103524335
3882,1.4773092,-0.7519528,1.4083632,1.2763584,0.029262058
2341,1.1009722,-0.6693121,2.0157683,0.2595477,-0.72417563
3311,0.40820944,2.404177,1.061336,-0.19296657,-0.7237807
3962,2.8180912,-1.2287008,-0.444098,0.3855458,-1.2576921
2998,2.077538,-0.91715884,0.6349821,0.17799467,-0.84698325
3059,2.3180416,-1.0550952,1.3936651,-0.016295237,0.42511994
3531,1.1511837,1.2814409,0.44721246,-1.1108656,-0.70771587
3253,1.8426627,2.5162106,0.42110175,0.8991045,-1.0818342
2325,1.2495275,0.25010866,1.6093602,0.92233026,0.17720993
2709,2.445075,-0.034974575,1.3647361,-1.6019046,-0.41777107
2582,0.51610947,2.08595,0.5883435,0.6421549,-0.9485204
2884,2.4002903,-0.9852598,0.8283094,0.7867033,-1.0841041
2334,1.5155146,1.688372,0.22909033,0.08797681,-0.9501759
2515,1.8126862,-0.76492536,2.5183797,0.1790224,-0.57391495
3472,0.760776,-0.51975787,-0.20830835,-2.5403655,-0.572817
2574,0.5614533,2.0721927,0.65528876,-1.5516512,-0.62792146
2521,3.0957727,-0.9671144,1.0367534,-2.0905125,-0.3498174
2908,1.2704353,-0.8339831,0.98945904,1.1694095,-1.007782
3182,1.8239594,-1.0025896,0.41590726,2.3485494,-0.28553277
3220,1.6860759,1.8963315,0.048614673,-0.4199954,-0.85262495
3031,2.4510741,1.0413085,-0.41727513,-0.32093728,-0.8974815
2695,1.9817638,0.39920968,0.9437224,-1.294043,0.49849284
2906,2.1563735,-0.891871,1.2101611,1.5968022,-1.0898591
2292,1.0757514,-0.7417516,3.3307812,-0.5528938,-0.18856981
3150,2.974921,-1.1104459,-0.026482422,-0.036043122,-0.016072197
2583,0.21501364,0.16973373,3.1026208,-0.29332244,-0.4824138
2899,-0.9151621,2.6122031,2.0658092,1.8859613,-0.8227678
2698,2.6290658,-1.14022,0.05577225,-2.2257512,0.42808172
2877,1.8873082,-0.8986804,0.31145382,-1.2322065,0.4447097
2882,1.6740505,1.9769709,0.23367363,-0.66410947,-0.9177599
2338,-1.9065329,1.823065,3.152047,0.41256988,-0.6228707
2142,1.8427486,0.49472767,1.0207683,-2.594524,-0.2568876
3394,1.0774922,-0.6484716,-0.004700474,-0.65925163,-0.18128134
3191,0.1247325,2.1364064,1.2120225,-1.5049067,-0.56516635
3333,1.7627225,0.44979095,1.1484351,1.5258749,-1.0443767
3140,0.70269805,1.6098037,0.5561374,-0.3447208,0.23893225
2745,2.1778162,-0.94486517,0.17309213,-0.5830413,-0.8299586
3835,0.6725858,-0.54735976,3.4829338,0.58581513,0.6876112
3941,0.5470066,-0.26043665,1.8136853,0.53355974,0.2637665
3301,2.8414168,-1.0349965,-0.17514081,-2.4910896,-0.42473575
2535,0.99461246,-0.58244103,1.3769249,-0.8173632,0.29514787
3913,0.98858577,2.2375596,0.8575768,0.6118051,-1.0696254
3728,2.7968528,-0.8578779,-0.7089293,0.15653329,-0.25866738
3160,0.10763724,2.4206114,0.6269914,0.47227156,-1.1091634
3408,1.1935108,-0.6930598,1.654606,0.28824067,-0.63712925
3848,-2.0284755,1.8229083,4.1142697,1.4901099,-0.42097744
3292,2.6346395,1.1971142,-0.88667774,-0.2697537,-1.2739033
2233,1.7823563,-0.847921,1.7408944,1.0387442,-0.75366986
2288,1.7524018,1.815887,-0.18023503,1.0908799,-1.3340063
3443,1.080003,1.1726376,0.5995573,-1.7808763,0.5205658
3230,0.59775424,-0.3318769,2.742478,-0.36668068,-0.50662005
2703,0.24939287,0.13366245,1.6911775,-0.9874083,-0.39222372
2318,3.1640995,-1.007087,0.13528861,0.34291783,-1.0447094
3875,0.8185836,-0.5155357,1.7988389,-0.36639148,-0.7813803
2585,-0.1783545,0.73430854,1.8525234,1.3985313,0.17922208
2885,2.0010748,0.98645926,0.19985926,-0.6938013,-0.76687086
2414,1.4669718,2.0620332,0.22200143,-0.37313038,-0.9275559
3556,3.6799932,-0.9362563,0.4618194,-1.7216554,-0.63182604
3044,1.6996036,1.9619489,-0.25555843,-0.18456708,-0.97656775
2825,2.943089,-0.84465533,0.39996076,-0.17687987,-0.8824437
3021,2.8303506,-0.8512956,0.070461094,-2.5234106,0.49808413
3435,0.8227466,2.5116668,-0.03044033,0.553881,-1.141646
