,h_post,h_post_individualized
3258,0.772224926833714,1.0
3593,0.9884304264422645,1.0
3850,0.7678442287856796,1.0
3382,0.8063871246146785,1.0
3818,0.772224926833714,1.0
3793,0.45531514472503665,1.0
2050,0.9884304264422645,1.0
2951,0.6478227015395646,1.0
2963,0.9246894078096624,1.0
2818,0.7251829115004907,1.0
3610,0.22822947141302097,1.0
3839,0.7251829115004907,1.0
2753,0.7251829115004907,1.0
2110,0.8354000838892339,1.0
3695,0.7678442287856796,1.0
3219,0.44481908466178144,1.0
2231,0.4243999096178192,1.0
3524,0.9522685848125064,1.0
3135,0.4790760539443564,1.0
3093,0.8638801304110046,1.0
2493,0.4261628665282943,9.473473998148918e-25
3517,0.4335546694706993,1.0
3029,0.7251829115004907,1.0
3281,0.8638801304110046,1.0
2254,0.7613447531302489,1.0
3455,0.9522685848125064,1.0
3019,0.9522685848125064,1.0
3463,0.9522685848125064,1.0
3692,0.4455904338720772,1.0
3515,0.4790760539443564,1.0
2564,0.9884304264422645,1.0
2042,0.9522685848125064,1.0
2386,0.9884304264422645,1.0
2706,0.19729721871350941,1.0
3234,0.7678442287856796,1.0
3709,0.4790760539443564,1.0
2587,0.9522685848125064,1.0
2183,0.9884304264422645,1.0
2174,0.9884304264422645,1.0
3774,0.772224926833714,1.0
2106,0.9522685848125064,1.0
2673,0.6478227015395646,1.0
2893,0.8048140234207803,1.0
2950,0.9884304264422645,1.0
2423,0.21773341134976576,1.0
3756,0.4790760539443564,1.0
3346,0.8063871246146785,1.0
3840,0.7678442287856796,1.0
3086,0.9522685848125064,1.0
3744,0.4790760539443564,1.0
3561,0.6606381843436196,1.0
2585,0.8063871246146785,1.0
2721,0.7678442287856796,1.0
2381,0.45523232669972574,1.0
2942,0.4363481445838673,1.0
2976,0.7412849270516725,1.0
2806,0.4790760539443564,1.0
2447,0.7678442287856796,1.0
3079,0.9522685848125064,1.0
2527,0.9884304264422645,1.0
3471,0.39346765691830765,1.0
3372,0.19055808653504974,2.629809190812161e-30
3494,0.772224926833714,1.0
2511,0.4790760539443564,1.0
2004,0.9522685848125064,1.0
2255,0.6124493188844201,1.0
3321,0.4414616650439827,1.0
2521,0.8063871246146785,1.0
3663,0.21773341134976576,1.0
3889,0.19055808653504974,1.0
3763,0.4790760539443564,1.0
2851,0.6478227015395646,1.0
2766,0.9522685848125064,1.0
2060,0.3818335504077599,1.1441003885920006e-19
2312,0.7412849270516725,1.0
2715,0.8638801304110046,1.0
3975,0.6313329516451274,1.0
3170,0.44705171713632125,1.0
2969,0.4790760539443564,1.0
2860,0.44481908466178144,1.0
2135,0.4790760539443564,1.0
3245,0.9884304264422645,1.0
2420,0.4126748918333888,1.0
3226,0.8063871246146785,1.0
2297,0.45531514472503665,1.0
2151,0.8638801304110046,1.0
3429,0.9892424218824333,1.0
2945,0.45531514472503665,1.0
3297,0.8002871825155129,1.0
2165,0.9884304264422645,1.0
2221,0.7678442287856796,1.0
3815,0.9522685848125064,1.0
3151,0.08868467751840232,2.2443443228509296e-17
2458,0.4455904338720772,1.0
2834,0.6124493188844201,1.0
2212,0.8056260188609491,1.0
3292,0.7678442287856796,1.0
2132,0.9246894078096624,1.0
3981,0.9892424218824333,1.0
2074,0.772224926833714,1.0
2219,0.9664498555759248,1.0
2866,0.8063871246146785,1.0
3065,0.7251829115004907,1.0
3920,0.28289724196886873,1.0
2308,0.9522685848125064,1.0
2501,0.9884304264422645,1.0
2880,0.9884304264422645,1.0
3621,0.9884304264422645,1.0
3108,0.8048140234207803,1.0
3123,0.9522685848125064,1.0
2038,0.9237885382907358,1.0
3475,0.9522685848125064,1.0
2107,0.7251829115004907,1.0
3940,0.7678442287856796,1.0
