,y_hat
3653,False
2890,False
2585,False
3397,False
3438,False
3127,False
2450,False
3958,False
2761,False
2994,False
3006,False
2175,False
3081,False
2254,False
3566,False
3258,False
3399,False
3351,False
3428,False
2023,False
2908,False
2173,False
3208,False
3799,False
2967,False
3685,False
3281,False
2153,False
2533,False
2107,False
2790,False
2110,False
3226,False
3455,False
2770,False
3248,False
3265,False
3152,False
3558,False
2587,False
3331,False
2505,False
3749,False
3707,False
3211,False
2825,False
3322,False
2753,False
3357,False
3488,False
3940,False
2842,False
2198,False
2926,False
2892,False
3503,False
3266,False
2333,False
2970,False
2962,False
2472,False
3101,False
3541,False
3737,False
2098,False
2452,False
3496,False
3370,False
3174,False
3511,False
2638,False
2155,False
2663,False
3766,False
2976,False
2350,False
2996,False
3117,False
3644,False
3168,False
3775,False
3463,False
3578,False
3540,False
3917,False
3781,False
2007,False
3920,False
3801,False
2912,False
3678,False
3706,False
3431,False
2463,False
2794,False
3636,False
3121,False
2760,False
3252,False
3304,False
3336,False
2885,False
3855,False
3812,False
3592,False
2353,False
2004,False
2485,False
2355,False
3805,False
2386,False
2200,False
3323,False
3731,False
3912,False
3183,False
3108,False
2415,False
2338,False
2715,False
2721,False
2773,False
3535,False
3420,False
2236,False
2393,False
2424,False
2834,False
3137,False
3223,False
2952,False
3170,False
2328,False
3758,False
3694,False
3791,False
2042,False
3369,False
3012,False
3970,False
2440,False
3319,False
2392,False
3840,False
2755,False
3658,False
2886,False
2361,False
3651,False
3342,False
2696,False
2853,False
3287,False
3990,False
2078,False
2285,False
3623,False
2264,False
2729,False
2918,False
2481,False
3617,False
3976,False
3663,False
2800,False
3335,False
2979,False
2610,False
3774,False
3466,False
2033,False
2297,False
3673,False
2176,False
2456,False
2948,False
3739,False
2013,False
2991,False
2916,False
2521,False
2049,False
2868,False
3691,False
3244,False
3854,False
2026,False
3321,False
3878,False
3991,False
3656,False
3856,False
3366,False
2172,False
3668,False
2052,False
3572,False
3112,False
3510,False
2281,False
