,x1,x2,x3,x4,x5
3751,-0.0,0.0,-0.0,-0.0,-1.0
3288,-0.0,-0.0,-0.0,0.0,-1.0
2076,0.0,-0.0,-0.0,-0.0,-1.0
3367,0.0,-0.0,-0.0,-0.0,-1.0
3533,0.0,-0.0,0.0,0.0,-1.0
2209,0.0,0.0,-0.0,0.0,-1.0
3384,0.0,-0.0,0.0,-0.0,-1.0
3551,0.0,-0.0,0.0,0.0,-1.0
3236,-0.0,-0.0,0.0,-0.0,-1.0
2671,-0.0,0.0,0.0,-0.0,-1.0
3658,0.0,-0.0,-0.0,0.0,-1.0
3153,-0.0,0.0,-0.0,0.0,-1.0
3498,0.0,-0.0,-0.0,0.0,-1.0
2101,-0.0,-0.0,0.0,0.0,-2.0
2535,0.0,-0.0,0.0,0.0,-1.0
3332,-0.0,0.0,-0.0,0.0,-1.0
3471,0.0,0.0,-0.0,0.0,-1.0
3231,-0.0,0.0,0.0,0.0,-1.0
2464,-0.0,0.0,0.0,-0.0,-1.0
3570,0.0,0.0,-0.0,0.0,-1.0
2519,0.0,-0.0,-0.0,0.0,-1.0
2300,-0.0,-0.0,-0.0,-0.0,-1.0
2963,0.0,0.0,-0.0,0.0,-1.0
2135,0.0,-0.0,-0.0,0.0,-1.0
2330,-0.0,0.0,0.0,-0.0,-1.0
3130,0.0,0.0,-0.0,0.0,-1.0
2025,-0.0,0.0,-0.0,0.0,-1.0
3472,-0.0,0.0,0.0,-0.0,-1.0
3252,-0.0,0.0,0.0,-0.0,-1.0
2952,0.0,-0.0,0.0,0.0,-1.0
2502,0.0,-0.0,-0.0,0.0,-1.0
3640,-0.0,0.0,-0.0,-0.0,-1.0
2088,0.0,-0.0,-0.0,-0.0,-1.0
3554,-0.0,0.0,0.0,0.0,-1.0
2527,-0.0,0.0,-0.0,-0.0,-1.0
2162,-0.0,0.0,0.0,0.0,-1.0
3544,-0.0,0.0,0.0,-0.0,-1.0
3605,-0.0,0.0,-0.0,-0.0,-1.0
2361,-0.0,-0.0,0.0,-0.0,-1.0
2723,0.0,-0.0,-0.0,0.0,-1.0
3034,0.0,-0.0,0.0,0.0,-1.0
3449,-1.0,-0.0,0.0,-0.0,0.0
3992,-0.0,0.0,-0.0,0.0,-1.0
2606,0.0,-0.0,-0.0,0.0,-1.0
2254,-0.0,0.0,0.0,-0.0,-1.0
2187,-0.0,0.0,0.0,0.0,-1.0
3291,0.0,-0.0,-0.0,-0.0,-1.0
2401,0.0,-0.0,0.0,-0.0,-1.0
2232,0.0,-0.0,0.0,-0.0,-1.0
3768,0.0,-0.0,-0.0,-0.0,-1.0
