,x1,x2,x3,x4,x5
2099,-0.14031139,0.65692747,1.8573809,-1.8807217,-0.18148492
3285,0.26400492,0.2927397,-1.2503864,-1.1193776,-1.0360907
2908,0.2780803,0.026714116,0.110948786,0.8521434,-1.1580102
3095,-1.4916803,2.1154459,1.0347099,0.89066076,-0.93273115
3905,-0.9958531,1.6361536,-0.22227138,-0.27177903,-0.99323267
2151,1.4164395,-0.894504,-2.3305483,-1.5318223,-1.1858175
2645,-1.057619,1.6377317,3.2975507,-1.8721514,-1.116244
3091,0.59827524,-0.35179383,-1.1167457,-0.9438866,-1.1262887
2164,-0.65902364,1.3867044,0.2977875,-1.2023718,-0.5645848
2126,-1.5438381,1.8542924,1.755753,-1.5574242,-1.2346283
3027,1.8532565,-0.83493316,-0.9429175,-0.2121588,-1.2388942
3851,1.1585904,-0.8268068,3.8562963,0.28941298,-1.1649532
3297,0.27214292,0.17923726,-1.5240331,0.39967224,-1.2018763
3954,0.9154544,-0.75573915,-0.28964716,-0.48447448,-0.9171512
2550,-0.328738,1.1342717,1.0791703,1.3859191,-1.0333571
3858,0.66388804,-0.46551612,-0.32480296,-0.7813878,-0.9050412
3967,1.3461406,-0.68931127,-0.9700894,0.66681415,-1.2201004
2835,0.5185725,-0.116963305,-1.8713539,-0.113989,-1.328826
3602,1.765754,-0.8024462,0.83477193,-0.7204271,-0.7516206
2044,0.07360654,0.37286472,0.91135883,-1.0720168,-1.4081211
3484,0.43732834,-0.06405218,-1.2880572,0.61100864,-1.347429
3714,-0.5700893,1.3609128,0.13939857,2.1264818,-1.3099666
3988,0.5974631,-0.38305447,-3.1505218,-1.0119561,-1.3450857
3023,-0.61399484,1.3207875,0.11857179,0.68602115,-1.296322
2328,0.027970264,0.50687844,-0.4964082,0.8985017,-1.1296774
2369,0.39124724,-0.09484587,-0.56846243,0.8019343,-1.1756614
2759,-0.95075625,1.5701416,-0.021098375,0.8132155,-1.2543842
3302,1.3130455,-0.801155,-0.33251488,0.2683773,-1.3839357
3647,0.24431823,0.1316929,-0.7434797,0.940984,-1.4504063
2525,0.79613286,-0.46881393,1.2102437,-0.67326456,-1.4318547
2354,0.35870808,0.02099749,-0.7081423,0.18345125,-1.2153881
2626,0.52141,-0.3122048,-1.0721023,-0.74869424,-1.1551832
3788,0.5991596,-0.24810836,0.27138904,-2.5053065,-1.3292122
3874,0.25926217,0.16088954,0.31896925,-0.3309015,-0.82448256
