,y
2117,0.0
3877,0.0
2055,0.0
3081,0.0
3604,0.0
3161,0.0
2056,0.0
2173,0.0
2641,0.0
2243,0.0
2673,0.0
2723,0.0
3434,0.0
2234,1.0
3473,0.0
3694,0.0
3979,0.0
3103,1.0
2175,0.0
2057,0.0
2134,1.0
2435,0.0
3976,0.0
3176,0.0
2460,0.0
2982,0.0
2788,0.0
3724,0.0
2783,0.0
3151,0.0
2818,0.0
3232,0.0
2312,0.0
3188,0.0
3021,0.0
2433,0.0
2750,0.0
3197,0.0
2672,0.0
3772,0.0
3756,1.0
3036,0.0
3168,0.0
2215,0.0
2682,0.0
3422,0.0
2996,0.0
3569,0.0
3322,0.0
2974,0.0
3980,0.0
2925,0.0
2462,0.0
2238,0.0
2121,0.0
3645,0.0
2372,0.0
2052,0.0
3843,0.0
2727,1.0
2948,0.0
2644,0.0
2118,0.0
3553,0.0
3326,0.0
2314,0.0
2093,0.0
3519,0.0
2035,0.0
3807,0.0
3566,0.0
3025,0.0
3632,0.0
3692,0.0
3340,0.0
3910,0.0
2374,0.0
3890,0.0
2443,0.0
3734,0.0
2478,0.0
3384,0.0
3909,0.0
2946,0.0
3118,0.0
2240,0.0
3211,0.0
3107,0.0
3746,1.0
2763,0.0
2610,0.0
3550,0.0
2106,0.0
2516,0.0
2286,0.0
3812,0.0
3472,0.0
3883,0.0
3629,0.0
3809,0.0
3601,1.0
2237,0.0
2310,0.0
2965,0.0
3482,0.0
2245,0.0
2972,0.0
3814,0.0
3195,0.0
2001,0.0
2295,0.0
2211,0.0
2423,0.0
3024,0.0
3227,0.0
3246,0.0
2046,0.0
2802,0.0
3307,0.0
2754,0.0
3810,0.0
3978,0.0
2809,0.0
3341,0.0
2077,0.0
2248,0.0
2987,0.0
2445,0.0
2710,1.0
3646,0.0
3637,0.0
2459,0.0
3965,0.0
3301,0.0
3225,0.0
3567,0.0
3480,0.0
2490,0.0
2005,1.0
2786,0.0
2919,0.0
3483,0.0
2645,0.0
3182,0.0
2627,0.0
2836,0.0
2097,1.0
3651,0.0
3332,0.0
2339,0.0
2300,0.0
3936,0.0
2176,0.0
3390,1.0
2830,0.0
3147,0.0
3204,0.0
3186,0.0
2416,0.0
3538,0.0
2570,0.0
2084,0.0
2507,0.0
2569,0.0
3164,0.0
3775,0.0
3043,0.0
2597,0.0
2852,0.0
2256,0.0
2398,0.0
3275,0.0
3763,0.0
2402,0.0
2517,0.0
2630,0.0
2782,0.0
3410,0.0
3533,0.0
2829,1.0
3532,0.0
3740,0.0
2838,0.0
3546,0.0
3180,0.0
3667,0.0
2714,0.0
3729,0.0
3266,0.0
3142,0.0
2505,0.0
3394,0.0
2594,0.0
3741,0.0
2920,0.0
3284,0.0
2772,0.0
2800,0.0
2546,0.0
2016,1.0
