,x1,x2,x3,x4,x5
2632,0.25536078,0.10080415,-0.06804971,0.4938293,-0.14247966
2540,-0.90708405,1.6858735,-0.86508834,-0.089276515,-0.2136083
2770,0.19369829,0.23820528,-1.4984924,0.3864714,-0.27955276
2671,-0.53379107,1.3806918,0.9393712,1.1777805,-0.022804996
3999,-0.45935073,1.0336912,-1.3114725,0.80972135,-0.271254
2784,-1.1373725,1.6423365,0.30335066,0.4164992,0.09181824
3794,0.22251526,0.23557764,-0.29204202,1.8410697,-0.48754665
3867,0.5593172,-0.44986475,-1.4594127,-0.71534437,-0.2507595
2270,-0.03643034,0.6256089,-2.0982113,0.9117654,-0.6318489
2790,-0.52011555,1.1518565,0.1118584,0.75252295,-0.14406084
3170,0.99545366,-0.6166899,0.215929,-2.24892,-0.24336728
3395,0.9010014,-0.76883924,-0.7059576,0.74200624,-0.21506408
3904,-1.0740378,1.7444547,-0.6012049,-0.5106066,-0.07098569
2329,1.982372,-0.9071067,-0.32210037,1.0069811,-0.1983534
3494,-0.27453026,0.7895178,-2.8779142,1.1018002,-0.81986374
3053,0.42573246,-0.24981439,-0.21573167,-1.7714094,0.19896343
2232,-0.30327296,0.8939021,0.55873865,-1.7158391,0.5425236
2664,-1.5254439,1.8548647,0.08730179,-0.364622,0.0792746
2767,-0.891444,1.366396,0.9240291,1.66142,-0.1969083
3093,-0.032442402,0.6297652,0.27543485,-0.58838564,0.107400246
3005,-0.26823866,0.91633743,2.17785,-1.2932343,-0.2409139
3052,1.0092281,-0.68969935,-0.45334604,-1.8970248,0.44067067
2662,1.2157974,-0.84602785,0.033709787,-0.35568506,0.12805176
2326,-0.15856352,0.77972716,1.8964453,-1.0422564,-0.18261237
3298,-1.0553823,1.5535898,0.9867737,1.056883,-0.080536135
3791,-0.6536003,1.48856,-1.739388,-1.8094628,-0.012701711
3835,0.2969578,0.011419605,-1.800192,-0.93202114,-0.23681927
3258,-0.3001854,0.99269265,-0.11832267,-0.037864137,-0.2569423
3819,1.4683254,-0.8071822,-2.4061356,-0.7324012,-0.3656846
2466,-0.43044946,1.3144635,-0.85329103,0.43389168,-0.28239948
3945,-0.2963019,1.0858347,0.10218625,0.37403986,-0.097854376
3958,0.48592007,0.04592669,-0.60877496,-1.698008,0.1954577
3365,1.8633133,-1.0725696,-0.013181359,1.5104957,-0.37286747
2654,0.5640838,-0.1648832,-1.516203,0.7658663,-0.51887786
3082,-1.1465448,1.8104348,0.9808745,-0.75166476,0.27548724
2489,1.5790035,-0.7566721,-0.32763952,-0.90688485,0.22384664
3771,0.83195966,-0.47252753,-0.54096603,1.2587721,-0.2671498
3245,0.17867506,0.21781252,1.109276,-0.0655024,0.17916703
3855,-0.84826845,1.5285597,-1.0074089,-0.55297667,-0.17341033
