,x1,x2,x3,x4,x5
2195,0.25460145,0.020364024,-0.17783237,-0.42364565,-0.056614514
3380,0.40778726,0.061712846,0.30117553,-0.4990983,0.301656
3176,-0.12148574,0.7398596,-0.7688515,-0.18530025,-0.058188025
2491,0.078623794,0.28658998,-0.44927776,-0.35425487,-0.114721425
2991,-1.3576001,1.8621415,1.4522254,1.1919909,0.100435555
2817,0.14944242,0.25384915,0.6399688,1.1476511,-0.12517768
2561,1.4976432,-0.85255647,-1.3960398,0.16953245,-0.30858877
2133,-0.28282636,0.6720611,-0.2428776,0.5298597,-0.39576477
3071,-2.3547447,2.0423942,-0.8532722,0.16501227,-0.13447598
2756,0.73307705,-0.5141858,0.5411682,-1.4688249,0.3252292
3108,-0.7586734,1.5578266,-0.66635895,-1.507752,0.26566273
2952,-0.06464029,0.57281554,2.164619,-1.9074442,-0.20959741
2338,-0.7720561,1.4711112,0.4912809,0.41370437,0.014441304
2803,-1.9034424,1.7958434,0.18306166,-0.3021099,-0.04191915
2162,-0.072178766,0.71013564,0.86531436,-2.9697876,0.86907554
3525,-0.3692895,1.2111055,0.9713619,-1.8794827,-0.2487806
2419,0.27597943,-0.04293315,-0.41317332,-0.3199395,-0.15781018
3957,-0.9508339,1.5254581,-0.16566682,0.4067701,-0.19926974
3095,-1.4432158,1.9718726,-0.45672512,0.9584516,-0.15267731
3815,-0.22429445,0.7077455,-0.077096686,-0.2726938,-0.08404602
2698,1.3919636,-0.9048034,-0.012691185,-0.49633813,0.017329179
2104,0.07810556,0.3485493,-2.712594,-0.21124603,-0.5347996
2900,-0.21669847,0.70689106,-0.9756278,0.08591979,-0.32547215
2811,0.41742095,-0.17470494,-1.6910619,0.3135645,-0.48349693
2256,2.0156345,-0.8851901,-0.5684898,0.36834326,-0.124883175
3399,0.78227913,-0.4519863,-2.8094358,0.12788221,-0.55843055
3941,-0.6808299,1.3191619,0.7908938,-0.07500062,0.10425278
2762,-1.2930316,1.8722636,2.7794297,-1.0009362,0.8384592
3856,-1.0357362,1.7101746,2.1397328,0.74739,0.32434508
3835,-0.5186428,1.2949574,2.0520098,1.0385213,0.28267738
3565,-0.44021553,1.1319988,-0.07034159,0.28219458,-0.05924287
2303,-0.5213862,1.1025261,0.7646508,-1.2131351,0.27992955
2934,0.76388824,-0.35283995,0.49942732,-0.34505126,0.281098
3092,0.38649744,0.03509129,1.2411957,-1.0917485,-0.44581467
2093,-1.2150228,1.6664854,-0.0035881996,-0.52538383,0.013574727
2590,-1.993469,1.8502312,1.6124591,-1.3705697,0.501492
3530,-1.3275887,1.8993864,0.82552385,0.35842222,0.18981874
3441,-2.1499455,2.0992022,-0.6698376,-2.276729,0.46074563
3772,-0.90684867,1.574834,1.7769281,-0.45537063,0.4418694
2890,-1.5259376,1.913452,-0.03047961,-1.0149308,0.24575216
2757,0.31881458,0.0169465,-1.2477531,-0.2534233,-0.2192675
2336,1.3185648,-0.7573599,-0.4880034,-0.6170816,0.06809554
3450,0.0917823,0.4494698,-1.2826182,-0.103222445,-0.14912125
3812,-0.35157016,1.0953981,0.11324483,0.06307027,0.09878204
3600,0.47897622,-0.3107444,-0.29849517,-0.63375586,-0.07555733
2482,1.1033362,-0.6347237,0.78660244,-0.8116782,0.3874737
2004,-0.73985404,1.4803581,-1.620029,-0.47791028,-0.19165103
2584,0.7957683,-0.6148811,0.0063052587,0.9071357,-0.30255058
3718,1.0680735,-0.71007013,-0.34996873,-0.07357883,-0.08224672
3993,0.98146546,-0.54995376,1.0232637,0.44799396,0.19564958
3193,-1.0286137,1.7948263,-0.0019637346,0.39503717,0.05539853
3577,0.86728036,-0.5732057,-0.9680609,-0.884999,-0.03983353
3241,0.54757595,-0.4476505,-0.23442805,0.034409843,-0.25336617
3430,-1.056145,1.6645263,0.5218578,0.5116743,-0.009712682
2110,-0.8425636,1.5800328,-0.001321733,1.5853992,-0.26805836
2805,-0.046767812,0.4979663,-0.45378983,-0.44671604,-0.073548995
3137,-1.038182,1.6987518,0.2866369,-1.8864118,0.46760792
2883,-0.28079048,0.90003747,-0.33547282,1.818381,-0.44118804
2054,-0.1762067,0.66047996,-0.41403395,-1.4512572,0.1063166
3682,0.23348194,0.13334471,-0.1512509,-0.5289644,0.05288215
2743,-0.22234204,0.86040217,-1.0290322,-0.8125492,-0.011018224
2390,-1.0621762,1.65115,-1.2949209,-1.524233,0.017269121
2580,0.5879755,-0.2710089,-0.5044156,0.9954277,-0.27832055
2048,0.9530054,-0.70731735,-1.0282291,-0.43736398,-0.21377948
3740,0.35947043,0.058225997,-1.8937329,-1.9323472,0.08307005
2567,-0.8011793,1.498476,2.0878959,0.96725196,0.22556171
2631,-0.12446614,0.69369817,-0.051089585,-0.9105274,0.17984478
2003,1.2068928,-0.7215959,-0.72895145,0.67769134,-0.24930692
3826,1.4810748,-0.741146,1.2148863,-1.7749572,-0.29067355
3322,1.0615728,-0.6623902,0.046814866,-0.4475901,0.11588839
3607,0.74883753,-0.40723848,-1.3563031,-0.7529258,-0.07623154
2252,-0.49365127,1.2587515,-0.40273237,0.23989166,-0.055437952
2788,0.8849555,-0.4689098,1.1831721,2.4751506,-0.1639657
3900,-0.69082415,1.544754,2.5441997,-0.6673803,-0.21069677
3479,-0.11283747,0.58390236,-0.5547049,-1.293248,0.06306953
3789,-0.030445045,0.4728077,1.0437297,-2.2089572,0.5776915
2047,-1.0688845,1.6446892,-0.015696883,-0.29048517,0.016086016
2719,-0.19646806,0.7839417,-2.58512,-1.4015055,-0.24374901
2778,0.9747333,-0.56521094,-1.5825983,-0.73876774,-0.10781166
2916,0.05817957,0.35692683,-1.0775895,0.37040153,-0.34550044
2705,0.4996411,-0.28367648,-0.9802252,0.9218698,-0.47134325
3303,-0.30718377,0.58839107,0.15642917,-0.82563704,-0.162005
3075,0.1648405,0.23564732,-1.5287262,-2.2498238,0.12491202
3722,2.1529315,-0.986075,0.08665498,-0.94119406,0.17956576
3081,-0.37490767,1.0978317,-0.21695116,-1.2759991,0.27222604
3184,1.088529,-0.65505475,-0.34136623,0.6425354,-0.15732412
2520,1.1563984,-0.7414553,-1.0006621,-0.064613044,-0.19887106
2773,0.7178167,-0.44823578,-0.17684674,1.3651602,-0.33330452
3784,-0.46786866,1.1002443,-0.35281757,1.4115196,-0.4073366
3977,-0.9671362,1.4909958,1.4118872,1.358091,-0.119409785
2360,1.1790465,-0.6802534,-1.7434943,-2.2990167,0.17157722
3511,-0.42613414,1.063094,-1.6840632,0.6638281,-0.50961244
3274,0.883375,-0.45400256,1.3196975,-1.7995216,-0.26799962
2250,0.8979358,-0.5104604,2.1873314,-0.83120865,-0.33381546
3123,-0.22511055,0.71571195,-0.2413453,1.1589564,-0.39642373
3798,-0.4318349,1.2227002,-1.1708473,-0.47268504,-0.027212448
2070,-1.7081581,2.0666413,0.26486367,0.19598843,0.17578451
3655,-0.100815274,0.59700626,-1.2420256,-0.16162741,-0.269786
3612,0.5420543,-0.31388474,-0.3359749,1.3465216,-0.40857196
2626,0.047952887,0.51213753,-0.17833555,-1.3291851,0.31418175
2507,-0.2539729,0.8537271,1.1796603,-0.10599322,0.23788343
3964,2.5210764,-1.0119036,-0.5289224,-0.39567158,-0.057808854
3119,-0.7085441,1.4975262,0.68978834,-0.38729823,0.29829898
3276,-0.80951595,1.3711443,1.4267557,-1.4307991,0.43867034
2637,1.1427048,-0.77450526,1.2594649,1.020094,-0.0036467724
3855,0.9577093,-0.5665874,-0.052753832,0.7979348,-0.1218451
3544,0.5290223,-0.2532152,-0.5205789,1.0848763,-0.34735626
3557,-0.28329816,0.9617526,-0.6601704,0.5966653,-0.20354685
2595,0.0025797333,0.537566,-0.24599586,0.3796337,-0.083690405
2862,0.27856922,0.21855424,-1.0118669,-0.16885059,-0.04267846
2686,-0.3133004,1.0746278,0.8769056,0.097826615,0.2752887
2785,0.38254806,-0.30003923,-0.29525435,-2.5513372,0.1985547
2701,0.33001584,-0.0075023677,-2.207606,0.9935517,-0.6699314
2924,-0.6089335,1.2533534,0.6823509,-0.227886,0.12033673
2734,0.49964717,-0.21508378,-1.3812616,-0.18010604,-0.2625555
2945,1.3396841,-0.85431105,-1.5608987,0.35809055,-0.43071437
2861,0.22510396,0.1748375,-1.1676898,0.09398687,-0.2454319
3839,1.1003156,-0.7576518,-0.33915892,-0.80285144,0.03600529
2857,2.4811924,-1.0241588,-1.065986,-0.511794,-0.15584007
2308,-0.2518367,0.8314669,0.69639385,-0.6707333,0.23492584
3042,0.62462324,-0.41213658,-0.8379149,0.5403402,-0.35627943
2691,0.3823211,0.10617751,2.921603,-1.2125335,-0.019913003
2018,-0.9526532,1.6443793,-0.4506899,0.38682878,-0.13459738
2136,0.6054654,-0.38436168,0.8317287,-0.8047746,0.2543298
3349,0.7210085,-0.35385832,-0.63623536,0.1590778,-0.08662056
3427,-0.67439663,1.4118906,1.1657922,0.59055436,0.14514138
3388,0.122666,0.35223374,-0.5434873,-0.9725327,0.12112445
3546,-0.39858156,1.258438,1.3674886,-1.3147898,-0.27320844
3065,0.11301714,0.355411,-0.10021708,1.9041424,-0.37665313
2466,0.18672872,0.2569676,2.820978,-1.2370352,-0.15454736
2928,-1.0385159,1.7753495,0.1313355,0.86902785,-0.038140997
2968,1.0336893,-0.49719557,-1.1498352,-1.1841387,0.17274074
3201,-0.1679077,0.7108334,-1.6735651,0.44472158,-0.462345
2359,1.0319448,-0.6933898,-0.71810824,0.8639538,-0.3477715
2422,-0.5165997,1.1628956,-2.2094173,-0.6696003,-0.35767508
3237,0.08730909,0.24939893,-1.6037947,0.6581954,-0.57236713
2875,0.08004733,0.27251384,0.6245421,0.38329053,-0.059420623
2885,1.296528,-0.8815881,-1.7390603,0.39262053,-0.5166843
2981,0.0042279977,0.41530123,-0.11114698,-2.484767,0.39636728
3819,-0.9521645,1.4754277,-0.88224655,1.0774115,-0.527646
2896,0.6427312,-0.26779345,-0.36942536,0.35341263,-0.06222657
2115,0.33367607,0.086972795,-1.6686512,-0.17259389,-0.22950876
2903,-1.3928399,1.8344585,-1.083185,-1.1172979,0.015589881
3501,0.5542537,-0.36885232,-0.7875842,1.1466753,-0.50015193
3816,0.61541367,-0.47521335,-2.1568406,-0.55274653,-0.47414213
2400,-0.011410063,0.5468096,-0.46866605,-0.2061661,-0.022804804
2527,2.7731578,-0.85200787,-1.2197764,0.12654501,-0.1329321
3262,0.003783957,0.50844854,1.4503919,-0.37829438,0.3798616
3814,0.08154509,0.4304518,3.4016845,0.089450665,-0.28505424
3726,-1.5953707,1.8038989,0.5065278,-0.55608094,0.13496768
3695,0.39223322,0.015368223,-0.9977007,1.7299504,-0.47023618
2784,0.439197,0.036034927,-1.3035908,-0.59668475,0.014121577
2001,0.5199608,-0.08131161,0.40450168,-1.681315,-0.4476436
2411,-2.2676384,1.9331703,-0.31558752,-0.05441678,-0.08723323
