,x1,x2,x3,x4,x5
3643,-1.1260141,1.628187,-1.2078167,-0.33025202,-0.26180214
2839,-0.26802027,0.8078464,0.9389595,-2.6514688,0.6332593
2182,0.94618267,-0.63586336,-0.6088096,0.015219525,-0.15359421
3997,1.2408568,-0.66731095,-0.31474078,-0.97672766,0.23363611
3725,0.044583146,0.29359597,-0.73291904,0.8498352,-0.45612448
2802,-0.5525474,1.2407728,-0.1434905,1.0192425,-0.24541415
3016,1.89219,-0.88123775,-0.4461771,-0.24103509,0.011079568
3108,-0.7586734,1.5578266,-0.66635895,-1.507752,0.26566273
3599,-1.7746226,1.880343,0.9436957,1.1567863,-0.078446046
3798,-0.4318349,1.2227002,-1.1708473,-0.47268504,-0.027212448
2970,-1.0219134,1.6647167,-0.07507604,0.035471577,-0.013359808
2092,0.023570862,0.36792156,-0.7757255,1.239242,-0.4997221
2807,-2.161032,2.0093784,-0.41611612,1.6300781,-0.36056483
2566,0.8233524,-0.35837013,0.30823392,-1.3446652,0.48754525
3283,0.4937051,-0.23397063,-0.6405248,0.54831624,-0.28601053
2491,0.078623794,0.28658998,-0.44927776,-0.35425487,-0.114721425
2299,-1.1082858,1.7211784,3.6343665,-0.56266254,-0.1445993
2003,1.2068928,-0.7215959,-0.72895145,0.67769134,-0.24930692
2129,1.7839614,-0.6751324,-1.8852518,-0.7484605,0.015188798
3388,0.122666,0.35223374,-0.5434873,-0.9725327,0.12112445
2813,-0.51280594,1.3092713,-0.1533612,-0.37152904,0.14471214
2371,0.69704145,-0.4532852,-0.14752322,0.7216003,-0.22338009
2015,0.68687963,-0.36849177,1.226878,-2.842024,0.8392492
3642,-0.7279127,1.4833059,2.3627906,-1.0729957,-0.2622169
3888,0.55153316,-0.37353483,0.9806134,1.6237843,-0.2496664
3419,0.049906477,0.52973294,3.0174894,-0.14965045,-0.26204142
2422,-0.5165997,1.1628956,-2.2094173,-0.6696003,-0.35767508
2655,1.7166177,-0.89775586,-0.52856094,1.0263343,-0.30255324
3077,-0.1646468,0.6678547,0.062863596,0.41361386,-0.14705774
3316,-0.10144269,0.5569811,-0.0891708,-1.0094746,0.089397624
2309,0.41177744,-0.09569922,-0.52993083,0.3080871,-0.17833163
