ix,goal_cost,intv_cost
3995,0.9399999976158142,3.0
3898,1.0,0.0
3176,0.9100000262260437,3.0
3449,0.949999988079071,3.0
2867,0.9670000076293945,3.0
3265,0.9340000152587891,2.0
2323,0.9750000238418579,3.0
2227,1.0,0.0
2297,0.9629999995231628,2.0
2879,0.902999997138977,3.0
3343,0.9330000281333923,4.0
3869,0.9129999876022339,2.0
2675,0.9089999794960022,2.0
3682,0.9340000152587891,2.0
3049,0.9350000023841858,3.0
3069,1.0,0.0
2557,0.9470000267028809,2.0
3227,0.9039999842643738,3.0
3700,1.0,0.0
2461,0.954,3.0
3988,0.9269999861717224,3.0
3704,0.961,2.0
3155,0.9539999961853027,2.0
3735,0.921999990940094,4.0
2440,0.9639999866485596,3.0
2098,0.9380000233650208,2.0
2414,0.953000009059906,3.0
3586,0.9020000100135803,2.0
2037,0.9559999704360962,3.0
2313,0.9100000262260437,2.0
3201,0.9589999914169312,3.0
3400,0.9470000267028809,4.0
2463,0.9599999785423279,3.0
3165,0.9229999780654907,3.0
3537,0.9539999961853027,3.0
2308,0.9470000267028809,4.0
2539,0.9399999976158142,2.0
3642,0.9139999747276306,4.0
3206,0.9470000267028809,2.0
3939,0.9010000228881836,2.0
2362,0.9359999895095825,2.0
2815,0.9229999780654907,3.0
3943,0.9010000228881836,2.0
3603,0.9390000104904175,3.0
2988,0.949999988079071,3.0
2209,0.991,2.0
2803,0.9010000228881836,3.0
2381,0.9549999833106995,3.0
3191,0.9580000042915344,3.0
2634,0.901,3.0
2773,0.9269999861717224,2.0
2997,0.9449999928474426,2.0
3902,0.9300000071525574,4.0
3051,0.9300000071525574,3.0
3288,0.9049999713897705,3.0
3117,0.9319999814033508,2.0
2614,1.0,0.0
2193,0.9750000238418579,3.0
3292,0.9470000267028809,3.0
2167,0.9070000052452087,2.0
3549,0.9850000143051147,3.0
3504,0.9369999766349792,2.0
2149,0.9279999732971191,4.0
2210,0.9419999718666077,3.0
3675,0.9350000023841858,3.0
3469,0.986,3.0
3143,0.921999990940094,3.0
2573,0.9670000076293945,3.0
3919,0.9369999766349792,2.0
3985,0.9589999914169312,3.0
2102,0.9319999814033508,3.0
2851,0.9240000247955322,3.0
3981,0.9490000009536743,3.0
3698,0.9369999766349792,3.0
3623,0.9710000157356262,3.0
2643,0.9300000071525574,3.0
2810,0.9229999780654907,2.0
2354,1.0,0.0
2090,1.0,0.0
3464,0.9139999747276306,3.0
3239,0.9380000233650208,3.0
3015,1.0,0.0
2041,0.9559999704360962,3.0
3003,0.9200000166893005,2.0
3650,0.9319999814033508,3.0
3659,0.9570000171661377,4.0
3654,0.9039999842643738,3.0
2192,1.0,0.0
3565,0.9200000166893005,3.0
2625,0.9269999861717224,2.0
2382,0.9459999799728394,3.0
2141,1.0,0.0
