,y
3970,0.0
3318,0.0
3675,0.0
3070,0.0
3571,0.0
3125,0.0
2974,0.0
3625,1.0
3191,0.0
2588,0.0
2100,0.0
3216,0.0
2393,0.0
2163,0.0
3585,0.0
3023,0.0
2664,0.0
2265,0.0
2801,1.0
2818,1.0
3145,0.0
3052,0.0
3925,0.0
3004,0.0
2792,0.0
3838,0.0
3082,1.0
3557,1.0
2117,0.0
2183,0.0
2040,0.0
3739,0.0
2224,0.0
3909,0.0
2380,0.0
2039,0.0
2759,0.0
3511,0.0
3470,0.0
3313,0.0
2858,0.0
2159,0.0
2162,0.0
2520,0.0
3035,0.0
2346,0.0
2938,0.0
2819,0.0
3821,0.0
2887,0.0
3417,0.0
3614,0.0
2050,0.0
2861,0.0
2053,0.0
2587,0.0
3605,0.0
3096,0.0
3282,0.0
2785,0.0
2828,1.0
3410,0.0
2361,0.0
2012,0.0
2390,0.0
2602,0.0
2285,1.0
3054,0.0
2687,0.0
3852,0.0
3033,0.0
2340,0.0
3626,0.0
2072,0.0
2278,0.0
2618,0.0
2102,0.0
3686,0.0
3653,0.0
2138,0.0
3018,0.0
2873,0.0
3641,0.0
2784,0.0
3355,0.0
3894,0.0
3695,0.0
2392,0.0
3933,0.0
2236,0.0
2760,0.0
2451,0.0
2120,0.0
3352,0.0
3278,0.0
2182,0.0
3566,0.0
3723,0.0
3787,0.0
2276,0.0
2487,0.0
3490,0.0
3268,0.0
3040,0.0
2010,0.0
3262,1.0
2461,0.0
3336,0.0
3136,0.0
2421,1.0
3624,0.0
3286,0.0
3542,0.0
2563,0.0
3801,0.0
3814,0.0
2268,1.0
2949,0.0
2058,0.0
2204,0.0
2232,0.0
2275,0.0
3192,0.0
2509,0.0
3426,0.0
3486,0.0
3920,0.0
2195,0.0
3343,0.0
3900,0.0
2750,0.0
2103,0.0
2979,0.0
2300,0.0
3302,0.0
3010,0.0
3812,0.0
3293,0.0
2144,0.0
3764,0.0
3697,0.0
2134,0.0
3391,0.0
2250,0.0
3581,0.0
3689,0.0
2529,0.0
2264,0.0
2922,0.0
3733,0.0
3423,0.0
2668,0.0
2280,0.0
3332,0.0
3044,0.0
2420,0.0
2607,0.0
2661,0.0
3756,0.0
2000,0.0
2964,0.0
2983,0.0
3499,0.0
2201,1.0
2238,0.0
2235,1.0
3243,0.0
2404,0.0
2178,0.0
3306,0.0
3540,0.0
3440,0.0
3413,0.0
3831,0.0
3810,0.0
3233,0.0
3550,0.0
2364,0.0
3126,0.0
2825,1.0
3359,1.0
2866,1.0
3298,0.0
2492,0.0
3067,0.0
3500,0.0
2329,0.0
2720,0.0
2419,0.0
3078,0.0
3477,0.0
3745,1.0
3325,0.0
3107,0.0
2962,0.0
2933,0.0
3038,0.0
2311,0.0
3415,0.0
2994,1.0
